CNTYVTD,VTDKEY,SessionsR_18G_U.S. Rep 32,AllredD_18G_U.S. Rep 32,BakerL_18G_U.S. Rep 32,SessionsR_18G_U.S. Rep 32_Percentage,AllredD_18G_U.S. Rep 32_Percentage,BakerL_18G_U.S. Rep 32_Percentage
1131700,2170,347,638,28,0.3425468904244817,0.629812438302073,0.027640671273445213
1131701,2171,395,549,29,0.40596094552929085,0.5642343268242549,0.029804727646454265
1131702,2172,529,856,38,0.37174982431482784,0.6015460295151089,0.026704146170063246
1131703,2173,430,882,40,0.3180473372781065,0.6523668639053254,0.029585798816568046
1131704,2174,246,451,21,0.3426183844011142,0.628133704735376,0.02924791086350975
1131705,2175,382,643,24,0.36415633937082936,0.6129647283126788,0.022878932316491896
1131706,2176,420,888,29,0.31413612565445026,0.6641735228122663,0.02169035153328347
1131708,2178,119,187,9,0.37777777777777777,0.5936507936507937,0.02857142857142857
1131709,2179,342,1317,37,0.2016509433962264,0.7765330188679245,0.021816037735849055
1131710,2180,67,593,10,0.1,0.8850746268656716,0.014925373134328358
1131711,2181,306,670,26,0.30538922155688625,0.6686626746506986,0.02594810379241517
1131712,2182,574,568,21,0.4935511607910576,0.4883920894239037,0.018056749785038694
1131713,2183,301,249,22,0.5262237762237763,0.4353146853146853,0.038461538461538464
1131714,2184,433,548,27,0.42956349206349204,0.5436507936507936,0.026785714285714284
1131715,2185,177,512,24,0.2482468443197756,0.7180925666199158,0.033660589060308554
1131716,2186,813,556,36,0.5786476868327403,0.39572953736654803,0.025622775800711744
1131717,2187,633,1052,47,0.365473441108545,0.6073903002309469,0.027136258660508082
1131718,2188,455,405,17,0.5188141391106044,0.4618015963511973,0.019384264538198404
1131721,2191,612,644,40,0.4722222222222222,0.49691358024691357,0.030864197530864196
1131722,2192,453,953,42,0.31284530386740333,0.6581491712707183,0.029005524861878452
1131723,2193,23,59,4,0.26744186046511625,0.686046511627907,0.046511627906976744
1131724,2194,10,42,0,0.19230769230769232,0.8076923076923077,0.0
1131725,2195,201,124,9,0.6017964071856288,0.3712574850299401,0.02694610778443114
1131726,2196,441,555,22,0.43320235756385067,0.5451866404715128,0.021611001964636542
1131727,2197,38,74,7,0.31932773109243695,0.6218487394957983,0.058823529411764705
1131729,2199,221,499,16,0.30027173913043476,0.6779891304347826,0.021739130434782608
1131732,2202,240,366,18,0.38461538461538464,0.5865384615384616,0.028846153846153848
1131733,2203,754,1009,51,0.41565600882028664,0.5562293274531422,0.028114663726571114
1131734,2204,428,345,18,0.5410872313527181,0.4361567635903919,0.022756005056890013
1131735,2205,1290,1306,53,0.4869762174405436,0.49301623254058136,0.020007550018875046
1131736,2206,780,425,21,0.636215334420881,0.3466557911908646,0.017128874388254486
1131737,2207,2031,1237,47,0.6126696832579186,0.3731523378582202,0.014177978883861237
1131738,2208,553,764,29,0.41084695393759285,0.5676077265973254,0.021545319465081723
1131739,2209,673,930,37,0.41036585365853656,0.5670731707317073,0.022560975609756097
1131740,2210,816,1364,49,0.36608344549125166,0.6119336025123374,0.021982951996410947
1131741,2211,1077,1468,59,0.41359447004608296,0.5637480798771122,0.022657450076804916
1131742,2212,805,1410,52,0.3550948389942655,0.6219673577415086,0.02293780326422585
1131743,2213,914,1296,56,0.40335392762577227,0.5719329214474845,0.02471315092674316
1131745,2215,604,765,38,0.4292821606254442,0.5437100213219617,0.02700781805259417
1131746,2216,302,551,21,0.34553775743707094,0.6304347826086957,0.02402745995423341
1131747,2217,627,781,16,0.44030898876404495,0.5484550561797753,0.011235955056179775
1131748,2218,370,723,22,0.33183856502242154,0.6484304932735426,0.019730941704035873
1131749,2219,610,1134,41,0.34173669467787116,0.6352941176470588,0.02296918767507003
1131750,2220,791,789,26,0.4925280199252802,0.4912826899128269,0.0161892901618929
1131751,2221,1269,1290,38,0.4886407393145938,0.496726992683866,0.014632268001540239
1131752,2222,761,1125,50,0.3930785123966942,0.581095041322314,0.025826446280991736
1132007,2230,1282,914,20,0.5785198555956679,0.41245487364620936,0.009025270758122744
1132008,2231,664,470,9,0.5809273840769904,0.4111986001749781,0.007874015748031496
1132011,2234,817,659,14,0.5483221476510067,0.44228187919463086,0.009395973154362415
1132016,2236,1363,927,23,0.5892779939472547,0.40077821011673154,0.009943795936013834
1132017,2237,281,602,23,0.31015452538631344,0.6644591611479028,0.025386313465783666
1132018,2238,367,271,8,0.5681114551083591,0.4195046439628483,0.01238390092879257
1132019,2239,695,587,13,0.5366795366795367,0.4532818532818533,0.010038610038610039
1132020,2240,765,1036,22,0.4196379594075699,0.5682940208447613,0.012068019747668678
1132021,2241,1669,1009,26,0.6172337278106509,0.3731508875739645,0.009615384615384616
1132022,2242,283,253,4,0.524074074074074,0.4685185185185185,0.007407407407407408
1132023,2243,435,458,15,0.4790748898678414,0.5044052863436124,0.016519823788546256
1132024,2244,497,547,18,0.467984934086629,0.5150659133709982,0.01694915254237288
1132025,2245,1158,734,21,0.6053319393622583,0.3836905384213278,0.01097752221641401
1132026,2246,1430,747,19,0.651183970856102,0.3401639344262295,0.008652094717668488
1132027,2247,773,423,13,0.6393713813068652,0.34987593052109184,0.010752688172043012
1132030,2249,1043,367,16,0.7314165497896213,0.2573632538569425,0.011220196353436185
1132031,2250,778,1407,51,0.3479427549194991,0.6292486583184258,0.022808586762075134
1132032,2251,369,736,39,0.32255244755244755,0.6433566433566433,0.03409090909090909
1132033,2252,565,756,30,0.41820873427091043,0.5595854922279793,0.02220577350111029
1132035,2253,378,607,28,0.37314906219151034,0.5992102665350444,0.027640671273445213
1132037,2254,308,355,7,0.4597014925373134,0.5298507462686567,0.010447761194029851
1132038,2255,877,1363,48,0.3833041958041958,0.5957167832167832,0.02097902097902098
1132039,2256,731,1198,32,0.37276899541050484,0.6109127995920449,0.01631820499745028
1132040,2257,578,659,22,0.45909451945988883,0.5234312946783162,0.017474185861795076
1132042,2259,954,1198,23,0.4386206896551724,0.5508045977011494,0.010574712643678161
1132043,2260,707,865,18,0.4446540880503145,0.5440251572327044,0.011320754716981131
1132044,2261,340,356,13,0.4795486600846262,0.5021156558533145,0.018335684062059238
1132045,2262,576,771,16,0.42259721203228173,0.5656639765223771,0.01173881144534116
1132046,2263,741,592,15,0.5497032640949555,0.4391691394658754,0.01112759643916914
1132047,2264,836,812,39,0.4955542382928275,0.48132780082987553,0.023117960877296978
1132049,2266,503,598,21,0.4483065953654189,0.5329768270944741,0.01871657754010695
1132050,2267,532,570,28,0.47079646017699117,0.504424778761062,0.024778761061946902
1132051,2268,920,828,30,0.5174353205849269,0.46569178852643417,0.01687289088863892
1132052,2269,657,372,12,0.6311239193083573,0.3573487031700288,0.011527377521613832
1132056,2273,553,393,11,0.5778474399164054,0.4106583072100313,0.011494252873563218
1132057,2274,214,159,7,0.5631578947368421,0.41842105263157897,0.018421052631578946
1132058,2275,345,411,12,0.44921875,0.53515625,0.015625
1132077,2278,454,438,9,0.5038845726970034,0.48612652608213097,0.009988901220865706
1132080,2280,35,83,5,0.2845528455284553,0.6747967479674797,0.04065040650406504
1132082,2282,267,1169,43,0.18052738336713997,0.7903989181879648,0.0290736984448952
1132083,2283,288,676,20,0.2926829268292683,0.6869918699186992,0.02032520325203252
1132085,2285,47,121,4,0.27325581395348836,0.7034883720930233,0.023255813953488372
1132086,2286,496,1327,38,0.26652337452982267,0.7130574959699086,0.02041912950026867
1132087,2287,488,1279,48,0.26887052341597795,0.7046831955922865,0.026446280991735537
1132090,2288,14,17,0,0.45161290322580644,0.5483870967741935,0.0
1132091,2289,243,284,10,0.45251396648044695,0.5288640595903166,0.0186219739292365
1132092,2290,0,0,0,0.0,0.0,0.0
1132094,2291,120,288,11,0.2863961813842482,0.6873508353221957,0.026252983293556086
1132095,2292,0,0,0,0.0,0.0,0.0
1132098,2295,379,722,21,0.33778966131907306,0.64349376114082,0.01871657754010695
1132099,2296,590,1880,51,0.23403411344704483,0.745735819119397,0.02023006743355811
1132101,2299,343,585,20,0.3618143459915612,0.6170886075949367,0.02109704641350211
1132102,2300,904,1537,67,0.36044657097288674,0.6128389154704944,0.02671451355661882
1132103,2301,91,423,16,0.17169811320754716,0.7981132075471699,0.03018867924528302
1132108,2306,198,248,11,0.43326039387308535,0.5426695842450766,0.024070021881838075
1132109,2307,0,0,0,0.0,0.0,0.0
1132111,2309,3,11,0,0.21428571428571427,0.7857142857142857,0.0
1132112,2310,20,71,1,0.21739130434782608,0.7717391304347826,0.010869565217391304
1132113,2311,1,7,0,0.125,0.875,0.0
1132114,2312,824,984,10,0.45324532453245325,0.5412541254125413,0.005500550055005501
1132115,2313,78,105,2,0.42162162162162165,0.5675675675675675,0.010810810810810811
1132116,2314,41,61,1,0.39805825242718446,0.5922330097087378,0.009708737864077669
1132117,2315,0,0,0,0.0,0.0,0.0
1132119,2317,131,147,8,0.458041958041958,0.513986013986014,0.027972027972027972
1132120,2318,389,770,14,0.3316283034953112,0.6564364876385337,0.011935208866155157
1132121,2319,28,394,9,0.06496519721577726,0.91415313225058,0.02088167053364269
1132122,2320,258,546,12,0.3161764705882353,0.6691176470588235,0.014705882352941176
1132123,2321,138,609,11,0.1820580474934037,0.8034300791556728,0.014511873350923483
1132125,2323,148,1565,30,0.08491107286288009,0.897877223178428,0.01721170395869191
1132126,2324,91,263,10,0.25,0.7225274725274725,0.027472527472527472
1132127,2325,495,1302,52,0.2677122769064359,0.7041644131963224,0.028123309897241752
1132128,2326,535,1042,27,0.3335411471321696,0.6496259351620948,0.01683291770573566
1132129,2327,48,219,7,0.17518248175182483,0.7992700729927007,0.025547445255474453
1132130,2328,158,435,12,0.2611570247933884,0.71900826446281,0.019834710743801654
1132131,2329,171,714,31,0.18668122270742357,0.7794759825327511,0.03384279475982533
1132132,2330,96,351,13,0.20869565217391303,0.7630434782608696,0.02826086956521739
1132133,2331,104,70,2,0.5909090909090909,0.3977272727272727,0.011363636363636364
1132134,2332,123,296,13,0.2847222222222222,0.6851851851851852,0.03009259259259259
1132143,2339,94,118,2,0.4392523364485981,0.5514018691588785,0.009345794392523364
1132144,2340,273,464,35,0.3536269430051813,0.6010362694300518,0.04533678756476684
1132145,2341,452,1073,29,0.2908622908622909,0.6904761904761905,0.01866151866151866
1132146,2342,298,896,44,0.2407108239095315,0.7237479806138933,0.035541195476575124
1132147,2343,532,847,33,0.37677053824362605,0.5998583569405099,0.023371104815864022
1132148,2344,72,321,14,0.1769041769041769,0.7886977886977887,0.0343980343980344
1132150,2346,0,0,0,0.0,0.0,0.0
1132151,2347,53,115,4,0.3081395348837209,0.6686046511627907,0.023255813953488372
1132153,2349,154,533,22,0.21720733427362482,0.7517630465444288,0.031029619181946404
1132200,2352,977,410,11,0.6988555078683834,0.2932761087267525,0.007868383404864092
1132201,2353,887,396,15,0.6833590138674884,0.3050847457627119,0.011556240369799691
1132202,2354,996,414,13,0.6999297259311315,0.29093464511595224,0.009135628952916374
1132203,2355,761,375,19,0.6588744588744588,0.3246753246753247,0.01645021645021645
1132220,2356,1004,300,7,0.7658276125095347,0.2288329519450801,0.005339435545385202
1132221,2357,1849,672,19,0.7279527559055118,0.26456692913385826,0.007480314960629921
1132222,2358,1545,580,25,0.7186046511627907,0.26976744186046514,0.011627906976744186
1132223,2359,721,435,16,0.6151877133105802,0.371160409556314,0.013651877133105802
1132224,2360,550,624,36,0.45454545454545453,0.515702479338843,0.02975206611570248
1132225,2361,843,374,11,0.6864820846905537,0.30456026058631924,0.008957654723127036
1132226,2362,1351,595,18,0.6878818737270875,0.3029531568228106,0.009164969450101833
1132500,2392,303,476,23,0.3778054862842893,0.5935162094763092,0.028678304239401497
1132501,2393,558,451,19,0.5428015564202334,0.438715953307393,0.01848249027237354
1132502,2394,876,498,26,0.6257142857142857,0.3557142857142857,0.018571428571428572
1132503,2395,1156,809,23,0.5814889336016097,0.40694164989939635,0.011569416498993963
1132504,2396,440,424,24,0.4954954954954955,0.4774774774774775,0.02702702702702703
1132505,2397,568,783,36,0.40951694304253783,0.5645277577505408,0.02595529920692141
1132506,2398,786,742,29,0.5048169556840078,0.4765574823378292,0.018625561978163133
1132507,2399,774,736,40,0.4993548387096774,0.47483870967741937,0.025806451612903226
1132508,2400,577,1127,58,0.3274687854710556,0.6396140749148694,0.032917139614074914
1132509,2401,1042,946,37,0.5145679012345679,0.4671604938271605,0.018271604938271607
1132510,2402,464,610,23,0.422971741112124,0.5560619872379216,0.020966271649954422
1132511,2403,598,659,27,0.4657320872274143,0.5132398753894081,0.02102803738317757
1132512,2404,467,478,20,0.48393782383419687,0.49533678756476685,0.02072538860103627
1132513,2405,680,979,37,0.4009433962264151,0.5772405660377359,0.021816037735849055
1132514,2406,776,893,37,0.4548651817116061,0.5234466588511137,0.021688159437280186
1132515,2407,174,249,7,0.4046511627906977,0.5790697674418605,0.01627906976744186
1132517,2408,336,996,16,0.24925816023738873,0.7388724035608308,0.011869436201780416
1132518,2409,603,741,22,0.44143484626647145,0.5424597364568082,0.016105417276720352
1132519,2410,401,880,32,0.3054074638233054,0.6702208682406702,0.024371667936024372
1132520,2411,664,1406,40,0.31469194312796206,0.6663507109004739,0.018957345971563982
1132521,2412,560,856,35,0.3859407305306685,0.5899379738111648,0.024121295658166782
1132523,2413,347,561,23,0.3727175080558539,0.602577873254565,0.024704618689581095
1133000,2449,851,1283,41,0.391264367816092,0.5898850574712644,0.01885057471264368
1133081,2530,397,587,17,0.3966033966033966,0.5864135864135864,0.016983016983016984
1133086,2535,800,1230,60,0.3827751196172249,0.5885167464114832,0.028708133971291867
1133501,2613,5,1,0,0.8333333333333334,0.16666666666666666,0.0
1133701,2638,2,0,0,1.0,0.0,0.0
1133702,2639,0,0,0,0.0,0.0,0.0
1133960,2657,1003,892,38,0.5188825659596482,0.46145887221934817,0.01965856182100362
1133961,2658,649,691,36,0.47165697674418605,0.5021802325581395,0.02616279069767442
1133962,2659,1349,1187,36,0.5244945567651633,0.4615085536547434,0.013996889580093312
1133963,2660,739,658,27,0.5189606741573034,0.46207865168539325,0.018960674157303372
1133964,2661,567,593,22,0.4796954314720812,0.5016920473773265,0.018612521150592216
1133965,2662,832,890,52,0.4689966178128523,0.5016910935738444,0.029312288613303268
1133966,2663,974,1055,39,0.4709864603481625,0.5101547388781431,0.018858800773694392
1133967,2664,405,352,23,0.5192307692307693,0.4512820512820513,0.029487179487179487
1133968,2665,1052,963,46,0.5104318292091218,0.4672489082969432,0.022319262493934983
1133969,2666,1250,647,31,0.6483402489626556,0.3355809128630705,0.016078838174273857
1133970,2667,1264,755,38,0.614487117160914,0.3670393777345649,0.018473505104521146
1133971,2668,585,566,35,0.49325463743676223,0.4772344013490725,0.02951096121416526
1133980,2669,1119,818,57,0.5611835506519559,0.4102306920762287,0.028585757271815445
1133981,2670,660,298,23,0.672782874617737,0.3037716615698267,0.023445463812436288
1133982,2671,1035,722,43,0.575,0.4011111111111111,0.02388888888888889
1133983,2672,631,436,27,0.576782449725777,0.39853747714808047,0.024680073126142597
1133984,2673,438,322,20,0.5615384615384615,0.4128205128205128,0.02564102564102564
1134014,2688,706,633,18,0.5202652910832719,0.4664701547531319,0.013264554163596167
1134018,2692,274,479,13,0.3577023498694517,0.6253263707571801,0.016971279373368148
1134020,2694,95,407,9,0.18590998043052837,0.7964774951076321,0.01761252446183953
1134021,2695,201,1223,41,0.1372013651877133,0.8348122866894198,0.027986348122866895
1134100,2770,3,11,1,0.2,0.7333333333333333,0.06666666666666667
1134126,2788,648,508,7,0.5571797076526225,0.43680137575236455,0.0060189165950128975
1134127,2789,258,124,3,0.6701298701298701,0.3220779220779221,0.007792207792207792
1134128,2790,544,355,16,0.594535519125683,0.3879781420765027,0.017486338797814208
1134129,2791,841,413,12,0.6642969984202212,0.32622432859399686,0.009478672985781991
1134131,2793,147,885,30,0.1384180790960452,0.8333333333333334,0.02824858757062147
