CNTYVTD,VTDKEY,CarterR_18G_U.S. Rep 31,HegarD_18G_U.S. Rep 31,HopeL_18G_U.S. Rep 31,CarterR_18G_U.S. Rep 31_Percentage,HegarD_18G_U.S. Rep 31_Percentage,HopeL_18G_U.S. Rep 31_Percentage
4910123,9466,677,1255,36,0.3440040650406504,0.6377032520325203,0.018292682926829267
4910135,9467,490,1149,36,0.29253731343283584,0.6859701492537313,0.021492537313432834
4910136,9468,32,79,1,0.2857142857142857,0.7053571428571429,0.008928571428571428
4910138,9469,524,575,25,0.46619217081850534,0.5115658362989324,0.02224199288256228
4910139,9470,655,1097,35,0.36653609401231113,0.6138780078343593,0.019585898153329603
4910143,9471,87,187,5,0.3118279569892473,0.6702508960573477,0.017921146953405017
4910144,9472,152,225,8,0.3948051948051948,0.5844155844155844,0.02077922077922078
4910145,9473,528,848,35,0.37420269312544296,0.6009922041105599,0.024805102763997167
4910146,9474,677,1784,40,0.2706917233106757,0.7133146741303479,0.01599360255897641
4910147,9475,820,2134,65,0.2716131169261345,0.7068565750248427,0.021530308049022857
4910149,9476,434,775,13,0.35515548281505727,0.6342062193126022,0.010638297872340425
4910150,9477,684,1406,49,0.31977559607293127,0.6573165030388032,0.022907900888265546
4910151,9478,810,2035,57,0.27911784975878706,0.7012405237767058,0.019641626464507237
4910155,9479,569,1185,30,0.3189461883408072,0.6642376681614349,0.016816143497757848
4910162,9480,738,1781,42,0.2881686841077704,0.6954314720812182,0.016399843811011325
4910163,9481,491,989,30,0.3251655629139073,0.6549668874172185,0.019867549668874173
4910164,9482,73,144,6,0.3273542600896861,0.6457399103139013,0.026905829596412557
4910166,9483,484,658,23,0.41545064377682406,0.5648068669527897,0.019742489270386267
4910173,9484,672,892,41,0.41869158878504675,0.5557632398753894,0.02554517133956386
4910174,9485,333,844,27,0.276578073089701,0.7009966777408638,0.022425249169435217
4910175,9486,504,1163,31,0.2968197879858657,0.6849234393404005,0.018256772673733806
4910180,9487,750,1413,45,0.33967391304347827,0.6399456521739131,0.020380434782608696
4910181,9488,351,636,20,0.3485600794438927,0.631578947368421,0.019860973187686197
4910182,9489,360,307,7,0.5341246290801187,0.45548961424332346,0.010385756676557863
4910184,9490,307,413,16,0.4171195652173913,0.561141304347826,0.021739130434782608
4910186,9491,601,1134,33,0.3399321266968326,0.6414027149321267,0.018665158371040724
4910189,9492,775,1488,32,0.33769063180827885,0.6483660130718955,0.013943355119825708
4910191,9493,175,259,9,0.39503386004514673,0.5846501128668171,0.020316027088036117
4910192,9494,130,192,6,0.39634146341463417,0.5853658536585366,0.018292682926829267
4910198,9495,21,30,1,0.40384615384615385,0.5769230769230769,0.019230769230769232
4910201,9496,859,1078,35,0.4355983772819473,0.5466531440162272,0.017748478701825558
4910202,9497,189,156,5,0.54,0.44571428571428573,0.014285714285714285
4910203,9498,30,39,1,0.42857142857142855,0.5571428571428572,0.014285714285714285
4910204,9499,870,1100,38,0.43326693227091634,0.547808764940239,0.018924302788844622
4910205,9500,46,67,2,0.4,0.5826086956521739,0.017391304347826087
4910206,9501,722,258,23,0.7198404785643071,0.2572283150548355,0.022931206380857428
4910207,9502,1092,403,27,0.7174770039421814,0.2647831800262812,0.017739816031537452
4910208,9503,570,200,14,0.7270408163265306,0.25510204081632654,0.017857142857142856
4910209,9504,1216,457,39,0.7102803738317757,0.2669392523364486,0.0227803738317757
4910210,9505,494,318,22,0.592326139088729,0.381294964028777,0.026378896882494004
4910216,9506,365,457,23,0.4319526627218935,0.5408284023668639,0.027218934911242602
4910229,9507,71,58,1,0.5461538461538461,0.4461538461538462,0.007692307692307693
4910230,9508,1138,1319,55,0.45302547770700635,0.5250796178343949,0.021894904458598725
4910231,9509,524,486,15,0.511219512195122,0.4741463414634146,0.014634146341463415
4910243,9510,365,177,8,0.6636363636363637,0.32181818181818184,0.014545454545454545
4910244,9511,493,245,11,0.6582109479305741,0.32710280373831774,0.014686248331108143
4910245,9512,948,410,33,0.6815240833932422,0.29475197699496763,0.02372393961179008
4910251,9513,35,12,1,0.7291666666666666,0.25,0.020833333333333332
4910252,9514,972,818,27,0.53494771601541,0.45019262520638414,0.014859658778205834
4910253,9515,1429,1194,64,0.5318198734648306,0.44436174171938964,0.02381838481577968
4910254,9516,1024,1087,56,0.4725426857406553,0.5016151361329027,0.025842178126442086
4910255,9517,556,391,30,0.5690890481064483,0.4002047082906858,0.030706243602865915
4910256,9518,378,284,12,0.5608308605341247,0.42136498516320475,0.017804154302670624
4910257,9519,886,856,38,0.49775280898876406,0.48089887640449436,0.021348314606741574
4910258,9520,33,21,1,0.6,0.38181818181818183,0.01818181818181818
4910259,9521,372,330,17,0.5173852573018081,0.45897079276773295,0.02364394993045897
4910261,9522,635,626,29,0.49224806201550386,0.48527131782945737,0.02248062015503876
4910262,9523,525,456,23,0.5229083665338645,0.4541832669322709,0.022908366533864542
4910263,9524,688,674,29,0.49460819554277496,0.4845434938892883,0.020848310567936738
4910264,9525,750,645,33,0.5252100840336135,0.45168067226890757,0.023109243697478993
4910266,9526,714,971,35,0.41511627906976745,0.5645348837209302,0.020348837209302327
4910267,9527,462,309,18,0.5855513307984791,0.3916349809885932,0.022813688212927757
4910276,9528,496,512,23,0.481086323957323,0.49660523763336567,0.02230843840931135
4910277,9529,1200,1330,60,0.46332046332046334,0.5135135135135135,0.023166023166023165
4910278,9530,1257,1544,59,0.4395104895104895,0.5398601398601398,0.02062937062937063
4910279,9531,36,39,0,0.48,0.52,0.0
4910283,9532,902,1113,50,0.43680387409200966,0.5389830508474577,0.024213075060532687
4910284,9533,1103,1264,56,0.45522080066033843,0.5216673545191911,0.02311184482047049
4910287,9534,698,762,40,0.4653333333333333,0.508,0.02666666666666667
4910301,9535,1118,1577,41,0.40862573099415206,0.5763888888888888,0.014985380116959063
4910302,9536,209,176,1,0.5414507772020726,0.45595854922279794,0.0025906735751295338
4910303,9537,615,904,25,0.39831606217616583,0.5854922279792746,0.016191709844559584
4910305,9538,421,174,7,0.6993355481727574,0.28903654485049834,0.011627906976744186
4910306,9539,1732,716,31,0.6986688180718031,0.2888261395724082,0.012505042355788625
4910307,9540,285,155,4,0.6418918918918919,0.3490990990990991,0.009009009009009009
4910308,9541,397,187,9,0.6694772344013491,0.31534569983136596,0.01517706576728499
4910309,9542,1343,529,31,0.7057277982133473,0.27798213347346296,0.0162900683131897
4910310,9543,652,249,18,0.7094668117519043,0.27094668117519044,0.01958650707290533
4910311,9544,39,19,1,0.6610169491525424,0.3220338983050847,0.01694915254237288
4910312,9545,327,184,8,0.630057803468208,0.35452793834296725,0.015414258188824663
4910314,9546,928,1116,45,0.44423168980373384,0.5342269028243178,0.0215414073719483
4910317,9547,302,334,12,0.4660493827160494,0.5154320987654321,0.018518518518518517
4910318,9548,126,131,6,0.4790874524714829,0.49809885931558934,0.022813688212927757
4910319,9549,58,60,2,0.48333333333333334,0.5,0.016666666666666666
4910320,9550,423,451,18,0.4742152466367713,0.5056053811659192,0.020179372197309416
4910321,9551,8,9,0,0.47058823529411764,0.5294117647058824,0.0
4910322,9552,444,486,24,0.46540880503144655,0.5094339622641509,0.025157232704402517
4910323,9553,28,30,1,0.4745762711864407,0.5084745762711864,0.01694915254237288
4910331,9554,318,268,10,0.5335570469798657,0.44966442953020136,0.016778523489932886
4910332,9555,826,664,22,0.5462962962962963,0.43915343915343913,0.01455026455026455
4910333,9556,180,185,6,0.48517520215633425,0.49865229110512127,0.016172506738544475
4910338,9557,703,779,30,0.46494708994708994,0.5152116402116402,0.01984126984126984
4910340,9558,603,719,20,0.4493293591654247,0.5357675111773472,0.014903129657228018
4910341,9559,969,648,32,0.5876288659793815,0.39296543359611885,0.019405700424499697
4910342,9560,295,370,16,0.4331864904552129,0.5433186490455213,0.023494860499265784
4910343,9561,1032,802,43,0.5498135322322856,0.4272775705913692,0.02290889717634523
4910344,9562,541,269,12,0.6581508515815085,0.32725060827250607,0.014598540145985401
4910345,9563,304,185,12,0.6067864271457086,0.36926147704590817,0.023952095808383235
4910346,9564,438,221,14,0.6508172362555721,0.32838038632986627,0.020802377414561663
4910360,9565,1105,1625,48,0.39776817854571633,0.5849532037437005,0.017278617710583154
4910367,9566,21,27,0,0.4375,0.5625,0.0
4910368,9567,669,854,20,0.4335709656513286,0.5534672715489306,0.012961762799740765
4910369,9568,684,675,29,0.49279538904899134,0.48631123919308356,0.02089337175792507
4910370,9569,632,580,34,0.507223113964687,0.4654895666131621,0.027287319422150885
4910371,9570,1183,648,33,0.634656652360515,0.34763948497854075,0.017703862660944206
4910372,9571,1242,1246,47,0.48994082840236686,0.4915187376725838,0.01854043392504931
4910379,9572,1555,739,40,0.6662382176520995,0.3166238217652099,0.01713796058269066
4910380,9573,18,25,2,0.4,0.5555555555555556,0.044444444444444446
4910381,9574,1716,956,27,0.6357910337161912,0.3542052612078548,0.010003705075954057
4910390,9575,963,1015,42,0.4767326732673267,0.5024752475247525,0.020792079207920793
4910390,9576,0,0,0,0.0,0.0,0.0
4910391,9577,694,356,16,0.651031894934334,0.3339587242026266,0.0150093808630394
4910392,9578,1426,732,44,0.6475930971843779,0.33242506811989103,0.019981834695731154
4910393,9579,1708,881,19,0.6549079754601227,0.3378067484662577,0.0072852760736196315
4910394,9580,1767,957,21,0.6437158469945355,0.34863387978142074,0.007650273224043716
4910395,9581,123,51,5,0.6871508379888268,0.2849162011173184,0.027932960893854747
4910396,9582,915,529,11,0.6288659793814433,0.363573883161512,0.007560137457044674
4910397,9583,945,540,13,0.6308411214953271,0.3604806408544726,0.008678237650200267
4910398,9584,881,1239,46,0.4067405355493998,0.5720221606648199,0.02123730378578024
4910399,9585,212,301,9,0.4061302681992337,0.5766283524904214,0.017241379310344827
4910401,9586,855,1201,52,0.4055977229601518,0.5697343453510436,0.024667931688804556
4910402,9587,870,1163,53,0.4170661553211889,0.5575263662511984,0.025407478427612654
4910403,9588,315,391,15,0.4368932038834951,0.5423023578363384,0.020804438280166437
4910409,9589,81,41,3,0.648,0.328,0.024
4910410,9590,986,525,37,0.6369509043927648,0.3391472868217054,0.023901808785529714
4910411,9591,939,428,39,0.6678520625889047,0.30440967283072545,0.027738264580369845
4910412,9592,303,154,6,0.6544276457883369,0.3326133909287257,0.012958963282937365
4910413,9593,1148,439,21,0.7139303482587065,0.27300995024875624,0.013059701492537313
4910415,9594,651,314,19,0.6615853658536586,0.31910569105691056,0.019308943089430895
4910418,9595,4,3,0,0.5714285714285714,0.42857142857142855,0.0
4910419,9596,132,155,4,0.4536082474226804,0.5326460481099656,0.013745704467353952
4910420,9597,587,703,16,0.44946401225114857,0.5382848392036753,0.01225114854517611
4910421,9598,325,285,18,0.517515923566879,0.4538216560509554,0.028662420382165606
4910422,9599,807,945,29,0.45311622683885455,0.5306007860752386,0.016282987085906794
4910424,9600,1489,1151,36,0.5564275037369207,0.43011958146487295,0.013452914798206279
4910425,9601,207,127,4,0.6124260355029586,0.3757396449704142,0.011834319526627219
4910426,9602,303,259,12,0.5278745644599303,0.45121951219512196,0.020905923344947737
4910427,9603,794,648,19,0.5434633812457221,0.44353182751540043,0.013004791238877482
4910428,9604,815,629,22,0.5559345156889495,0.42905866302864937,0.015006821282401092
4910429,9605,450,671,25,0.39267015706806285,0.5855148342059336,0.02181500872600349
4910432,9606,103,111,5,0.4703196347031963,0.5068493150684932,0.0228310502283105
4910433,9607,1308,1257,61,0.49809596344249807,0.47867479055597867,0.023229246001523228
4910434,9608,470,152,10,0.7436708860759493,0.24050632911392406,0.015822784810126583
4910436,9609,377,235,9,0.607085346215781,0.3784219001610306,0.014492753623188406
4910437,9610,1412,1606,35,0.46249590566655746,0.526039960694399,0.011464133639043564
4910456,9611,334,466,9,0.41285537700865266,0.5760197775030902,0.011124845488257108
4910468,9612,209,261,10,0.4354166666666667,0.54375,0.020833333333333332
4910470,9613,602,426,21,0.5738798856053384,0.40610104861773116,0.02001906577693041
4910471,9614,68,47,0,0.591304347826087,0.40869565217391307,0.0
4910472,9615,152,107,7,0.5714285714285714,0.40225563909774437,0.02631578947368421
4910473,9616,326,221,14,0.5811051693404634,0.3939393939393939,0.024955436720142603
4910482,9617,1153,974,31,0.5342910101946247,0.45134383688600554,0.014365152919369786
4910484,9618,718,959,38,0.4186588921282799,0.5591836734693878,0.022157434402332362
4910485,9619,429,582,19,0.41650485436893203,0.5650485436893203,0.018446601941747572
4910486,9620,288,275,10,0.5026178010471204,0.4799301919720768,0.017452006980802792
4910487,9621,34,37,1,0.4722222222222222,0.5138888888888888,0.013888888888888888
4910488,9622,848,901,28,0.4772087788407428,0.5070343275182893,0.015756893640967922
4910489,9623,849,1041,30,0.4421875,0.5421875,0.015625
4910490,9624,1044,1251,43,0.446535500427716,0.5350727117194183,0.018391787852865698
4910491,9625,791,1172,37,0.3955,0.586,0.0185
