CNTYVTD,VTDKEY,GrimesD_20P_U.S. Rep 31,HankeD_20P_U.S. Rep 31,ImamD_20P_U.S. Rep 31,JanjigianD_20P_U.S. Rep 31,MannD_20P_U.S. Rep 31,YoungD_20P_U.S. Rep 31,GrimesD_20P_U.S. Rep 31_Percentage,HankeD_20P_U.S. Rep 31_Percentage,ImamD_20P_U.S. Rep 31_Percentage,JanjigianD_20P_U.S. Rep 31_Percentage,MannD_20P_U.S. Rep 31_Percentage,YoungD_20P_U.S. Rep 31_Percentage
270211,217,9,6,24,1,25,18,0.10843373493975904,0.07228915662650602,0.2891566265060241,0.012048192771084338,0.30120481927710846,0.21686746987951808
270212,218,15,6,49,4,32,26,0.11363636363636363,0.045454545454545456,0.3712121212121212,0.030303030303030304,0.24242424242424243,0.19696969696969696
270213,219,13,19,74,12,118,34,0.04814814814814815,0.07037037037037037,0.2740740740740741,0.044444444444444446,0.43703703703703706,0.1259259259259259
270214,220,61,27,149,16,105,110,0.13034188034188035,0.057692307692307696,0.31837606837606836,0.03418803418803419,0.22435897435897437,0.23504273504273504
270215,221,52,37,173,22,139,140,0.09236234458259325,0.06571936056838366,0.30728241563055064,0.03907637655417407,0.2468916518650089,0.24866785079928952
270216,222,31,13,97,10,81,64,0.10472972972972973,0.04391891891891892,0.3277027027027027,0.033783783783783786,0.27364864864864863,0.21621621621621623
270301,223,16,13,49,6,40,37,0.09937888198757763,0.08074534161490683,0.30434782608695654,0.037267080745341616,0.2484472049689441,0.22981366459627328
270302,224,40,35,124,21,111,76,0.09828009828009827,0.085995085995086,0.3046683046683047,0.051597051597051594,0.2727272727272727,0.18673218673218672
270303,225,44,31,148,33,171,79,0.08695652173913043,0.06126482213438735,0.2924901185770751,0.06521739130434782,0.33794466403162055,0.15612648221343872
270304,226,3,0,7,0,10,3,0.13043478260869565,0.0,0.30434782608695654,0.0,0.43478260869565216,0.13043478260869565
270305,227,21,19,56,9,66,30,0.1044776119402985,0.0945273631840796,0.27860696517412936,0.04477611940298507,0.3283582089552239,0.14925373134328357
270306,228,27,17,93,10,74,56,0.09747292418772563,0.061371841155234655,0.33574007220216606,0.036101083032490974,0.26714801444043323,0.20216606498194944
270307,229,47,20,95,10,86,70,0.14329268292682926,0.06097560975609756,0.2896341463414634,0.03048780487804878,0.2621951219512195,0.21341463414634146
270308,230,34,32,121,12,101,68,0.09239130434782608,0.08695652173913043,0.328804347826087,0.03260869565217391,0.27445652173913043,0.18478260869565216
270309,231,7,4,22,2,20,10,0.1076923076923077,0.06153846153846154,0.3384615384615385,0.03076923076923077,0.3076923076923077,0.15384615384615385
270310,232,0,2,3,1,5,3,0.0,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.35714285714285715,0.21428571428571427
270311,233,12,17,40,6,42,18,0.08888888888888889,0.1259259259259259,0.2962962962962963,0.044444444444444446,0.3111111111111111,0.13333333333333333
270312,234,7,3,24,1,27,17,0.08860759493670886,0.0379746835443038,0.3037974683544304,0.012658227848101266,0.34177215189873417,0.21518987341772153
270313,235,32,32,116,18,127,60,0.08311688311688312,0.08311688311688312,0.3012987012987013,0.046753246753246755,0.32987012987012987,0.15584415584415584
270314,236,22,23,59,11,56,42,0.10328638497652583,0.107981220657277,0.27699530516431925,0.051643192488262914,0.26291079812206575,0.19718309859154928
270315,237,17,20,73,10,85,48,0.06719367588932806,0.07905138339920949,0.2885375494071146,0.039525691699604744,0.3359683794466403,0.18972332015810275
270317,238,6,6,49,4,42,18,0.048,0.048,0.392,0.032,0.336,0.144
270318,239,27,26,103,12,96,65,0.08206686930091185,0.0790273556231003,0.3130699088145897,0.0364741641337386,0.2917933130699088,0.19756838905775076
270319,240,19,20,106,15,90,45,0.06440677966101695,0.06779661016949153,0.3593220338983051,0.05084745762711865,0.3050847457627119,0.15254237288135594
270401,241,8,3,25,2,31,14,0.0963855421686747,0.03614457831325301,0.30120481927710846,0.024096385542168676,0.37349397590361444,0.1686746987951807
270402,242,19,8,51,5,45,29,0.12101910828025478,0.050955414012738856,0.3248407643312102,0.03184713375796178,0.28662420382165604,0.18471337579617833
270404,243,46,25,111,20,84,67,0.13031161473087818,0.0708215297450425,0.31444759206798867,0.056657223796033995,0.23796033994334279,0.18980169971671387
270405,244,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
270406,245,24,13,64,9,66,54,0.10434782608695652,0.05652173913043478,0.2782608695652174,0.0391304347826087,0.28695652173913044,0.23478260869565218
270408,246,38,28,135,20,96,83,0.095,0.07,0.3375,0.05,0.24,0.2075
270409,247,26,13,89,10,60,74,0.09558823529411764,0.04779411764705882,0.3272058823529412,0.03676470588235294,0.22058823529411764,0.27205882352941174
270410,248,28,9,68,6,43,41,0.14358974358974358,0.046153846153846156,0.3487179487179487,0.03076923076923077,0.2205128205128205,0.21025641025641026
270412,249,10,4,27,2,20,18,0.12345679012345678,0.04938271604938271,0.3333333333333333,0.024691358024691357,0.24691358024691357,0.2222222222222222
270414,251,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
270415,252,38,25,114,22,89,78,0.10382513661202186,0.06830601092896176,0.3114754098360656,0.060109289617486336,0.24316939890710382,0.21311475409836064
270419,253,13,4,39,3,31,19,0.11926605504587157,0.03669724770642202,0.3577981651376147,0.027522935779816515,0.28440366972477066,0.1743119266055046
4910116,9460,27,18,83,12,106,29,0.09818181818181818,0.06545454545454546,0.3018181818181818,0.04363636363636364,0.38545454545454544,0.10545454545454545
4910116,9461,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4910117,9462,98,51,276,65,262,100,0.11502347417840375,0.05985915492957746,0.323943661971831,0.07629107981220658,0.3075117370892019,0.11737089201877934
4910118,9463,70,29,246,77,236,72,0.0958904109589041,0.03972602739726028,0.336986301369863,0.10547945205479452,0.3232876712328767,0.09863013698630137
4910119,9464,54,36,146,21,244,82,0.09262435677530018,0.06174957118353345,0.2504288164665523,0.036020583190394515,0.41852487135506006,0.14065180102915953
4910122,9465,8,4,23,3,31,10,0.10126582278481013,0.05063291139240506,0.2911392405063291,0.0379746835443038,0.3924050632911392,0.12658227848101267
4910123,9466,70,26,177,13,152,76,0.13618677042801555,0.05058365758754864,0.3443579766536965,0.02529182879377432,0.29571984435797666,0.14785992217898833
4910135,9467,68,23,205,17,141,76,0.12830188679245283,0.04339622641509434,0.3867924528301887,0.03207547169811321,0.2660377358490566,0.14339622641509434
4910136,9468,3,1,15,1,10,3,0.09090909090909091,0.030303030303030304,0.45454545454545453,0.030303030303030304,0.30303030303030304,0.09090909090909091
4910138,9469,34,18,83,11,119,43,0.11038961038961038,0.05844155844155844,0.2694805194805195,0.03571428571428571,0.38636363636363635,0.1396103896103896
4910139,9470,60,24,180,15,145,78,0.11952191235059761,0.04780876494023904,0.35856573705179284,0.029880478087649404,0.28884462151394424,0.1553784860557769
4910143,9471,11,5,25,2,21,8,0.1527777777777778,0.06944444444444445,0.3472222222222222,0.027777777777777776,0.2916666666666667,0.1111111111111111
4910144,9472,15,6,36,6,32,16,0.13513513513513514,0.05405405405405406,0.32432432432432434,0.05405405405405406,0.2882882882882883,0.14414414414414414
4910145,9473,52,24,116,12,114,52,0.14054054054054055,0.06486486486486487,0.31351351351351353,0.032432432432432434,0.3081081081081081,0.14054054054054055
4910146,9474,86,43,315,34,316,98,0.09641255605381166,0.04820627802690583,0.3531390134529148,0.03811659192825112,0.3542600896860987,0.10986547085201794
4910147,9475,114,59,395,47,363,126,0.10326086956521739,0.05344202898550725,0.35778985507246375,0.042572463768115944,0.328804347826087,0.11413043478260869
4910149,9476,44,24,109,12,96,63,0.12643678160919541,0.06896551724137931,0.3132183908045977,0.034482758620689655,0.27586206896551724,0.1810344827586207
4910150,9477,91,33,201,17,212,118,0.13541666666666666,0.049107142857142856,0.29910714285714285,0.025297619047619048,0.31547619047619047,0.17559523809523808
4910151,9478,91,48,386,40,411,116,0.08333333333333333,0.04395604395604396,0.3534798534798535,0.03663003663003663,0.37637362637362637,0.10622710622710622
4910155,9479,63,21,183,11,173,106,0.11310592459605028,0.03770197486535009,0.32854578096947934,0.019748653500897665,0.3105924596050269,0.19030520646319568
4910162,9480,86,43,376,28,366,95,0.08651911468812877,0.043259557344064385,0.3782696177062374,0.028169014084507043,0.3682092555331992,0.09557344064386318
4910163,9481,56,22,148,14,134,102,0.11764705882352941,0.046218487394957986,0.31092436974789917,0.029411764705882353,0.2815126050420168,0.21428571428571427
4910164,9482,11,3,22,3,19,16,0.14864864864864866,0.04054054054054054,0.2972972972972973,0.04054054054054054,0.25675675675675674,0.21621621621621623
4910166,9483,45,23,98,15,110,38,0.13677811550151975,0.06990881458966565,0.2978723404255319,0.04559270516717325,0.3343465045592705,0.11550151975683891
4910173,9484,42,28,154,20,197,53,0.08502024291497975,0.05668016194331984,0.3117408906882591,0.04048582995951417,0.39878542510121456,0.10728744939271255
4910174,9485,50,23,140,34,128,50,0.11764705882352941,0.05411764705882353,0.32941176470588235,0.08,0.30117647058823527,0.11764705882352941
4910175,9486,71,24,202,43,198,65,0.11774461028192372,0.03980099502487562,0.33499170812603646,0.07131011608623548,0.3283582089552239,0.1077943615257048
4910180,9487,77,31,266,18,215,116,0.10650069156293222,0.042876901798063624,0.367911479944675,0.024896265560165973,0.29737206085753803,0.16044260027662519
4910181,9488,37,13,119,9,97,57,0.11144578313253012,0.0391566265060241,0.35843373493975905,0.02710843373493976,0.2921686746987952,0.1716867469879518
4910182,9489,16,9,44,5,69,19,0.09876543209876543,0.05555555555555555,0.2716049382716049,0.030864197530864196,0.42592592592592593,0.11728395061728394
4910184,9490,31,11,65,7,62,29,0.15121951219512195,0.05365853658536585,0.3170731707317073,0.03414634146341464,0.3024390243902439,0.14146341463414633
4910186,9491,47,25,197,16,157,52,0.0951417004048583,0.05060728744939271,0.39878542510121456,0.032388663967611336,0.31781376518218624,0.10526315789473684
4910189,9492,83,36,266,12,238,82,0.11576011157601115,0.0502092050209205,0.37099023709902373,0.016736401673640166,0.3319386331938633,0.11436541143654114
4910191,9493,18,7,41,5,38,18,0.14173228346456693,0.05511811023622047,0.3228346456692913,0.03937007874015748,0.2992125984251969,0.14173228346456693
4910192,9494,14,5,30,4,28,12,0.15053763440860216,0.053763440860215055,0.3225806451612903,0.043010752688172046,0.3010752688172043,0.12903225806451613
4910198,9495,1,1,5,0,5,3,0.06666666666666667,0.06666666666666667,0.3333333333333333,0.0,0.3333333333333333,0.2
4910201,9496,57,31,200,10,211,48,0.10233393177737882,0.05565529622980251,0.3590664272890485,0.017953321364452424,0.37881508078994613,0.08617594254937164
4910202,9497,11,5,18,5,29,13,0.13580246913580246,0.06172839506172839,0.2222222222222222,0.06172839506172839,0.35802469135802467,0.16049382716049382
4910203,9498,1,0,7,0,7,1,0.0625,0.0,0.4375,0.0,0.4375,0.0625
4910204,9499,61,32,202,13,212,53,0.10645724258289703,0.055846422338568937,0.3525305410122164,0.02268760907504363,0.3699825479930192,0.0924956369982548
4910205,9500,3,2,10,1,11,4,0.0967741935483871,0.06451612903225806,0.3225806451612903,0.03225806451612903,0.3548387096774194,0.12903225806451613
4910206,9501,16,15,44,8,63,19,0.09696969696969697,0.09090909090909091,0.26666666666666666,0.048484848484848485,0.38181818181818183,0.11515151515151516
4910207,9502,26,10,57,8,78,19,0.13131313131313133,0.050505050505050504,0.2878787878787879,0.04040404040404041,0.3939393939393939,0.09595959595959595
4910208,9503,10,11,39,3,51,11,0.08,0.088,0.312,0.024,0.408,0.088
4910209,9504,27,13,65,11,86,18,0.12272727272727273,0.05909090909090909,0.29545454545454547,0.05,0.39090909090909093,0.08181818181818182
4910210,9505,26,14,59,5,70,28,0.12871287128712872,0.06930693069306931,0.29207920792079206,0.024752475247524754,0.3465346534653465,0.13861386138613863
4910216,9506,21,15,75,14,99,28,0.08333333333333333,0.05952380952380952,0.2976190476190476,0.05555555555555555,0.39285714285714285,0.1111111111111111
4910229,9507,3,1,8,1,12,4,0.10344827586206896,0.034482758620689655,0.27586206896551724,0.034482758620689655,0.41379310344827586,0.13793103448275862
4910230,9508,76,31,253,14,264,66,0.10795454545454546,0.04403409090909091,0.359375,0.019886363636363636,0.375,0.09375
4910231,9509,32,17,75,9,92,31,0.125,0.06640625,0.29296875,0.03515625,0.359375,0.12109375
4910243,9510,12,17,35,4,59,12,0.08633093525179857,0.1223021582733813,0.2517985611510791,0.02877697841726619,0.4244604316546763,0.08633093525179857
4910244,9511,16,21,47,4,79,23,0.08421052631578947,0.11052631578947368,0.24736842105263157,0.021052631578947368,0.41578947368421054,0.12105263157894737
4910245,9512,23,20,63,9,131,28,0.08394160583941605,0.072992700729927,0.22992700729927007,0.032846715328467155,0.4781021897810219,0.10218978102189781
4910251,9513,1,1,2,1,2,1,0.125,0.125,0.25,0.125,0.25,0.125
4910252,9514,49,27,118,14,170,52,0.11395348837209303,0.06279069767441861,0.2744186046511628,0.03255813953488372,0.3953488372093023,0.12093023255813953
4910253,9515,67,35,180,19,232,57,0.1135593220338983,0.059322033898305086,0.3050847457627119,0.03220338983050847,0.39322033898305087,0.09661016949152543
4910254,9516,55,38,153,9,209,67,0.10357815442561205,0.07156308851224105,0.288135593220339,0.01694915254237288,0.3935969868173258,0.12617702448210924
4910255,9517,36,26,74,5,77,32,0.144,0.104,0.296,0.02,0.308,0.128
4910256,9518,18,9,48,4,62,17,0.11392405063291139,0.056962025316455694,0.3037974683544304,0.02531645569620253,0.3924050632911392,0.10759493670886076
4910257,9519,61,29,153,17,183,55,0.12248995983935743,0.05823293172690763,0.3072289156626506,0.03413654618473896,0.3674698795180723,0.11044176706827309
4910258,9520,1,0,4,0,7,1,0.07692307692307693,0.0,0.3076923076923077,0.0,0.5384615384615384,0.07692307692307693
4910259,9521,18,9,58,7,69,18,0.1005586592178771,0.05027932960893855,0.3240223463687151,0.03910614525139665,0.3854748603351955,0.1005586592178771
4910261,9522,43,24,125,11,118,35,0.12078651685393259,0.06741573033707865,0.351123595505618,0.03089887640449438,0.33146067415730335,0.09831460674157304
4910262,9523,26,15,81,11,81,26,0.10833333333333334,0.0625,0.3375,0.04583333333333333,0.3375,0.10833333333333334
4910263,9524,47,25,133,9,142,34,0.12051282051282051,0.0641025641025641,0.34102564102564104,0.023076923076923078,0.3641025641025641,0.08717948717948718
4910264,9525,33,13,116,14,129,36,0.0967741935483871,0.03812316715542522,0.34017595307917886,0.04105571847507331,0.3782991202346041,0.10557184750733138
4910266,9526,62,32,153,20,174,53,0.12550607287449392,0.06477732793522267,0.3097165991902834,0.04048582995951417,0.3522267206477733,0.10728744939271255
4910267,9527,23,15,63,3,72,20,0.11734693877551021,0.07653061224489796,0.32142857142857145,0.015306122448979591,0.3673469387755102,0.10204081632653061
4910276,9528,29,20,79,8,111,23,0.10740740740740741,0.07407407407407407,0.29259259259259257,0.02962962962962963,0.4111111111111111,0.08518518518518518
4910277,9529,73,44,209,28,293,72,0.10152990264255911,0.061196105702364396,0.2906815020862309,0.03894297635605007,0.40751043115438107,0.10013908205841446
4910278,9530,85,49,258,34,326,93,0.10059171597633136,0.05798816568047337,0.30532544378698223,0.040236686390532544,0.3857988165680473,0.11005917159763313
4910279,9531,2,0,6,0,9,1,0.1111111111111111,0.0,0.3333333333333333,0.0,0.5,0.05555555555555555
4910283,9532,52,26,162,11,198,59,0.10236220472440945,0.051181102362204724,0.3188976377952756,0.021653543307086614,0.38976377952755903,0.11614173228346457
4910284,9533,75,32,180,17,248,73,0.12,0.0512,0.288,0.0272,0.3968,0.1168
4910287,9534,52,19,112,12,165,49,0.1271393643031785,0.04645476772616137,0.27383863080684595,0.029339853300733496,0.4034229828850856,0.1198044009779951
4910301,9535,79,48,258,16,307,81,0.10012674271229405,0.060836501901140684,0.3269961977186312,0.020278833967046894,0.38910012674271227,0.10266159695817491
4910302,9536,9,2,20,1,38,11,0.1111111111111111,0.024691358024691357,0.24691358024691357,0.012345679012345678,0.4691358024691358,0.13580246913580246
4910303,9537,41,31,136,10,168,68,0.09030837004405286,0.06828193832599119,0.29955947136563876,0.022026431718061675,0.3700440528634361,0.14977973568281938
4910305,9538,11,10,34,4,32,13,0.10576923076923077,0.09615384615384616,0.3269230769230769,0.038461538461538464,0.3076923076923077,0.125
4910306,9539,52,34,148,20,140,44,0.1187214611872146,0.0776255707762557,0.3378995433789954,0.045662100456621,0.319634703196347,0.1004566210045662
4910307,9540,11,5,20,2,35,5,0.14102564102564102,0.0641025641025641,0.2564102564102564,0.02564102564102564,0.44871794871794873,0.0641025641025641
4910308,9541,7,6,33,4,39,10,0.0707070707070707,0.06060606060606061,0.3333333333333333,0.04040404040404041,0.3939393939393939,0.10101010101010101
4910309,9542,41,13,105,14,112,31,0.12974683544303797,0.04113924050632911,0.3322784810126582,0.04430379746835443,0.35443037974683544,0.0981012658227848
4910310,9543,19,7,37,6,45,13,0.14960629921259844,0.05511811023622047,0.29133858267716534,0.047244094488188976,0.3543307086614173,0.10236220472440945
4910311,9544,1,1,1,0,3,1,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285
4910312,9545,13,9,28,6,53,16,0.104,0.072,0.224,0.048,0.424,0.128
4910314,9546,64,40,166,18,264,61,0.10440456769983687,0.06525285481239804,0.2707993474714519,0.02936378466557912,0.43066884176182707,0.09951060358890701
4910317,9547,17,8,47,4,74,19,0.10059171597633136,0.047337278106508875,0.2781065088757396,0.023668639053254437,0.4378698224852071,0.11242603550295859
4910318,9548,5,4,18,2,30,11,0.07142857142857142,0.05714285714285714,0.2571428571428571,0.02857142857142857,0.42857142857142855,0.15714285714285714
4910319,9549,2,2,8,0,15,4,0.06451612903225806,0.06451612903225806,0.25806451612903225,0.0,0.4838709677419355,0.12903225806451613
4910320,9550,19,15,62,5,101,36,0.07983193277310924,0.06302521008403361,0.2605042016806723,0.02100840336134454,0.42436974789915966,0.15126050420168066
4910321,9551,0,0,2,0,2,0,0.0,0.0,0.5,0.0,0.5,0.0
4910322,9552,26,15,72,10,108,32,0.09885931558935361,0.057034220532319393,0.2737642585551331,0.03802281368821293,0.41064638783269963,0.12167300380228137
4910323,9553,1,1,4,1,7,2,0.0625,0.0625,0.25,0.0625,0.4375,0.125
4910331,9554,16,9,33,6,57,16,0.11678832116788321,0.06569343065693431,0.24087591240875914,0.043795620437956206,0.41605839416058393,0.11678832116788321
4910332,9555,34,16,106,10,153,36,0.09577464788732394,0.04507042253521127,0.29859154929577464,0.028169014084507043,0.4309859154929577,0.10140845070422536
4910333,9556,10,3,23,2,36,14,0.11363636363636363,0.03409090909090909,0.26136363636363635,0.022727272727272728,0.4090909090909091,0.1590909090909091
4910338,9557,44,21,112,14,165,57,0.10653753026634383,0.05084745762711865,0.2711864406779661,0.03389830508474576,0.39951573849878935,0.13801452784503632
4910340,9558,37,25,113,12,179,59,0.08705882352941176,0.058823529411764705,0.26588235294117646,0.02823529411764706,0.4211764705882353,0.1388235294117647
4910341,9559,39,25,92,15,162,43,0.10372340425531915,0.06648936170212766,0.24468085106382978,0.0398936170212766,0.4308510638297872,0.11436170212765957
4910342,9560,23,13,60,7,82,26,0.10900473933649289,0.061611374407582936,0.2843601895734597,0.03317535545023697,0.3886255924170616,0.12322274881516587
4910343,9561,47,31,135,15,188,46,0.10173160173160173,0.0670995670995671,0.2922077922077922,0.032467532467532464,0.4069264069264069,0.09956709956709957
4910344,9562,18,26,50,5,84,20,0.08866995073891626,0.12807881773399016,0.24630541871921183,0.024630541871921183,0.41379310344827586,0.09852216748768473
4910345,9563,11,9,31,4,48,11,0.09649122807017543,0.07894736842105263,0.2719298245614035,0.03508771929824561,0.42105263157894735,0.09649122807017543
4910346,9564,17,19,43,7,64,20,0.1,0.11176470588235295,0.2529411764705882,0.041176470588235294,0.3764705882352941,0.11764705882352941
4910360,9565,78,30,233,23,296,146,0.0967741935483871,0.03722084367245657,0.2890818858560794,0.028535980148883373,0.36724565756823824,0.18114143920595532
4910367,9566,1,0,4,0,6,2,0.07692307692307693,0.0,0.3076923076923077,0.0,0.46153846153846156,0.15384615384615385
4910368,9567,44,16,133,10,192,38,0.10161662817551963,0.03695150115473441,0.3071593533487298,0.023094688221709007,0.44341801385681295,0.08775981524249422
4910369,9568,37,27,138,18,149,43,0.08980582524271845,0.06553398058252427,0.33495145631067963,0.043689320388349516,0.3616504854368932,0.10436893203883495
4910370,9569,38,26,88,9,119,39,0.11912225705329153,0.08150470219435736,0.27586206896551724,0.02821316614420063,0.3730407523510972,0.12225705329153605
4910371,9570,47,28,87,16,143,43,0.12912087912087913,0.07692307692307693,0.23901098901098902,0.04395604395604396,0.39285714285714285,0.11813186813186813
4910372,9571,68,38,164,16,255,82,0.10914927768860354,0.060995184590690206,0.26324237560192615,0.025682182985553772,0.40930979133226325,0.13162118780096307
4910379,9572,34,27,114,17,153,42,0.08785529715762273,0.06976744186046512,0.29457364341085274,0.04392764857881137,0.3953488372093023,0.10852713178294573
4910380,9573,3,3,4,0,4,2,0.1875,0.1875,0.25,0.0,0.25,0.125
4910381,9574,49,37,146,25,337,51,0.07596899224806201,0.05736434108527132,0.22635658914728682,0.03875968992248062,0.5224806201550387,0.07906976744186046
4910390,9575,45,36,147,14,219,79,0.08333333333333333,0.06666666666666667,0.2722222222222222,0.025925925925925925,0.40555555555555556,0.14629629629629629
4910390,9576,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4910391,9577,17,9,52,5,100,24,0.0821256038647343,0.043478260869565216,0.25120772946859904,0.024154589371980676,0.4830917874396135,0.11594202898550725
4910392,9578,47,27,108,15,185,52,0.10829493087557604,0.06221198156682028,0.2488479262672811,0.03456221198156682,0.42626728110599077,0.11981566820276497
4910393,9579,42,32,147,24,302,58,0.06942148760330578,0.05289256198347107,0.24297520661157024,0.03966942148760331,0.4991735537190083,0.09586776859504133
4910394,9580,54,30,161,17,380,58,0.07714285714285714,0.04285714285714286,0.23,0.024285714285714285,0.5428571428571428,0.08285714285714285
4910395,9581,4,1,11,2,11,3,0.125,0.03125,0.34375,0.0625,0.34375,0.09375
4910396,9582,37,26,83,10,206,39,0.09226932668329177,0.06483790523690773,0.20698254364089774,0.02493765586034913,0.513715710723192,0.09725685785536159
4910397,9583,37,25,87,13,212,39,0.08958837772397095,0.06053268765133172,0.2106537530266344,0.031476997578692496,0.513317191283293,0.09443099273607748
4910398,9584,49,36,208,23,247,116,0.07216494845360824,0.053019145802650956,0.30633284241531666,0.033873343151693665,0.3637702503681885,0.17083946980854198
4910399,9585,9,5,52,2,63,25,0.057692307692307696,0.03205128205128205,0.3333333333333333,0.01282051282051282,0.40384615384615385,0.16025641025641027
4910401,9586,100,38,182,17,176,94,0.16474464579901152,0.06260296540362438,0.29983525535420097,0.02800658978583196,0.2899505766062603,0.15485996705107083
4910402,9587,93,39,167,23,174,94,0.1576271186440678,0.06610169491525424,0.2830508474576271,0.03898305084745763,0.29491525423728815,0.15932203389830507
4910403,9588,30,11,58,8,58,34,0.1507537688442211,0.05527638190954774,0.2914572864321608,0.04020100502512563,0.2914572864321608,0.1708542713567839
4910409,9589,3,1,4,0,7,3,0.16666666666666666,0.05555555555555555,0.2222222222222222,0.0,0.3888888888888889,0.16666666666666666
4910410,9590,45,23,69,10,69,42,0.1744186046511628,0.08914728682170543,0.26744186046511625,0.03875968992248062,0.26744186046511625,0.16279069767441862
