CNTYVTD,VTDKEY,Von PfeilD_24P_U.S. Rep 31,WalbridgeD_24P_U.S. Rep 31,WhitlowD_24P_U.S. Rep 31,Von PfeilD_24P_U.S. Rep 31_Percentage,WalbridgeD_24P_U.S. Rep 31_Percentage,WhitlowD_24P_U.S. Rep 31_Percentage
530010,1362,13,20,28,0.21311475409836064,0.32786885245901637,0.45901639344262296
530011,1363,6,7,3,0.375,0.4375,0.1875
530012,1364,23,14,23,0.38333333333333336,0.23333333333333334,0.38333333333333336
530013,1365,14,13,8,0.4,0.37142857142857144,0.22857142857142856
530014,1366,2,7,7,0.125,0.4375,0.4375
530015,1367,5,9,8,0.22727272727272727,0.4090909090909091,0.36363636363636365
530016,1368,5,12,7,0.20833333333333334,0.5,0.2916666666666667
530017,1369,17,20,12,0.3469387755102041,0.40816326530612246,0.24489795918367346
530018,1370,7,22,14,0.16279069767441862,0.5116279069767442,0.32558139534883723
530019,1371,45,49,44,0.32608695652173914,0.35507246376811596,0.3188405797101449
530020,1372,36,35,53,0.2903225806451613,0.28225806451612906,0.4274193548387097
990101,1985,36,63,88,0.1925133689839572,0.33689839572192515,0.47058823529411764
990102,1986,4,4,7,0.26666666666666666,0.26666666666666666,0.4666666666666667
990103,1987,1,4,4,0.1111111111111111,0.4444444444444444,0.4444444444444444
990104,1988,46,59,48,0.3006535947712418,0.38562091503267976,0.3137254901960784
990205,1989,10,9,15,0.29411764705882354,0.2647058823529412,0.4411764705882353
990206,1990,19,9,17,0.4222222222222222,0.2,0.37777777777777777
990207,1991,43,71,68,0.23626373626373626,0.3901098901098901,0.37362637362637363
990308,1992,15,13,17,0.3333333333333333,0.28888888888888886,0.37777777777777777
990309,1993,4,6,5,0.26666666666666666,0.4,0.3333333333333333
990310,1994,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666
990311,1995,0,0,0,0.0,0.0,0.0
990412,1996,37,35,40,0.33035714285714285,0.3125,0.35714285714285715
990413,1997,11,13,15,0.28205128205128205,0.3333333333333333,0.38461538461538464
990414,1998,0,0,2,0.0,0.0,1.0
990415,1999,1,1,2,0.25,0.25,0.5
990416,2000,23,32,48,0.22330097087378642,0.3106796116504854,0.46601941747572817
1930001,4192,4,3,4,0.36363636363636365,0.2727272727272727,0.36363636363636365
1930004,4193,0,1,0,0.0,1.0,0.0
1930005,4194,0,0,0,0.0,0.0,0.0
1930007,4195,5,5,4,0.35714285714285715,0.35714285714285715,0.2857142857142857
1930009,4196,0,1,0,0.0,1.0,0.0
1930012,4197,0,0,0,0.0,0.0,0.0
1930014,4198,0,3,0,0.0,1.0,0.0
1930015,4199,4,1,0,0.8,0.2,0.0
1930017,4200,0,0,1,0.0,0.0,1.0
1930022,4201,3,3,1,0.42857142857142855,0.42857142857142855,0.14285714285714285
1930023,4202,3,10,2,0.2,0.6666666666666666,0.13333333333333333
4910119,9464,49,50,138,0.20675105485232068,0.2109704641350211,0.5822784810126582
4910182,9489,11,12,36,0.1864406779661017,0.2033898305084746,0.6101694915254238
4910184,9490,15,11,26,0.28846153846153844,0.21153846153846154,0.5
4910191,9493,16,14,25,0.2909090909090909,0.2545454545454545,0.45454545454545453
4910192,9494,9,9,11,0.3103448275862069,0.3103448275862069,0.3793103448275862
4910201,9496,46,44,93,0.25136612021857924,0.24043715846994534,0.5081967213114754
4910202,9497,3,6,10,0.15789473684210525,0.3157894736842105,0.5263157894736842
4910203,9498,2,0,0,1.0,0.0,0.0
4910204,9499,42,28,92,0.25925925925925924,0.1728395061728395,0.5679012345679012
4910205,9500,9,1,13,0.391304347826087,0.043478260869565216,0.5652173913043478
4910206,9501,16,15,38,0.2318840579710145,0.21739130434782608,0.5507246376811594
4910207,9502,29,24,36,0.3258426966292135,0.2696629213483146,0.4044943820224719
4910208,9503,11,15,23,0.22448979591836735,0.30612244897959184,0.46938775510204084
4910209,9504,16,28,53,0.16494845360824742,0.28865979381443296,0.5463917525773195
4910210,9505,24,31,72,0.1889763779527559,0.2440944881889764,0.5669291338582677
4910229,9507,8,0,4,0.6666666666666666,0.0,0.3333333333333333
4910230,9508,54,50,108,0.25471698113207547,0.2358490566037736,0.5094339622641509
4910231,9509,17,20,48,0.2,0.23529411764705882,0.5647058823529412
4910243,9510,19,21,34,0.25675675675675674,0.28378378378378377,0.4594594594594595
4910244,9511,48,56,74,0.2696629213483146,0.3146067415730337,0.4157303370786517
4910245,9512,43,31,69,0.3006993006993007,0.21678321678321677,0.4825174825174825
4910251,9513,1,0,4,0.2,0.0,0.8
4910252,9514,38,60,79,0.21468926553672316,0.3389830508474576,0.4463276836158192
4910253,9515,62,48,112,0.27927927927927926,0.21621621621621623,0.5045045045045045
4910254,9516,40,44,121,0.1951219512195122,0.2146341463414634,0.5902439024390244
4910255,9517,30,21,51,0.29411764705882354,0.20588235294117646,0.5
4910256,9518,26,28,59,0.23008849557522124,0.24778761061946902,0.5221238938053098
4910257,9519,39,53,91,0.21311475409836064,0.2896174863387978,0.4972677595628415
4910258,9520,6,5,17,0.21428571428571427,0.17857142857142858,0.6071428571428571
4910259,9521,19,28,48,0.2,0.29473684210526313,0.5052631578947369
4910261,9522,33,40,63,0.2426470588235294,0.29411764705882354,0.4632352941176471
4910262,9523,41,24,50,0.3565217391304348,0.20869565217391303,0.43478260869565216
4910263,9524,32,51,94,0.1807909604519774,0.288135593220339,0.5310734463276836
4910264,9525,41,40,54,0.3037037037037037,0.2962962962962963,0.4
4910267,9527,41,48,62,0.271523178807947,0.31788079470198677,0.4105960264900662
4910276,9528,24,15,39,0.3076923076923077,0.19230769230769232,0.5
4910277,9529,74,62,202,0.21893491124260356,0.1834319526627219,0.5976331360946746
4910278,9530,58,55,137,0.232,0.22,0.548
4910279,9531,3,1,3,0.42857142857142855,0.14285714285714285,0.42857142857142855
4910283,9532,41,43,98,0.22527472527472528,0.23626373626373626,0.5384615384615384
4910284,9533,48,55,130,0.20600858369098712,0.23605150214592274,0.5579399141630901
4910287,9534,30,31,67,0.234375,0.2421875,0.5234375
4910301,9535,62,59,108,0.27074235807860264,0.2576419213973799,0.47161572052401746
4910302,9536,5,7,27,0.1282051282051282,0.1794871794871795,0.6923076923076923
4910305,9538,15,21,41,0.19480519480519481,0.2727272727272727,0.5324675324675324
4910306,9539,45,40,104,0.23809523809523808,0.21164021164021163,0.5502645502645502
4910307,9540,13,16,46,0.17333333333333334,0.21333333333333335,0.6133333333333333
4910308,9541,7,7,15,0.2413793103448276,0.2413793103448276,0.5172413793103449
4910309,9542,51,37,63,0.33774834437086093,0.24503311258278146,0.41721854304635764
4910310,9543,9,14,23,0.1956521739130435,0.30434782608695654,0.5
4910311,9544,1,0,1,0.5,0.0,0.5
4910312,9545,15,10,25,0.3,0.2,0.5
4910314,9546,50,44,131,0.2222222222222222,0.19555555555555557,0.5822222222222222
4910318,9548,5,2,12,0.2631578947368421,0.10526315789473684,0.631578947368421
4910319,9549,1,5,5,0.09090909090909091,0.45454545454545453,0.45454545454545453
4910320,9550,19,14,51,0.2261904761904762,0.16666666666666666,0.6071428571428571
4910331,9554,4,12,23,0.10256410256410256,0.3076923076923077,0.5897435897435898
4910332,9555,28,20,53,0.27722772277227725,0.19801980198019803,0.5247524752475248
4910333,9556,8,4,15,0.2962962962962963,0.14814814814814814,0.5555555555555556
4910341,9559,31,39,74,0.2152777777777778,0.2708333333333333,0.5138888888888888
4910342,9560,13,24,52,0.14606741573033707,0.2696629213483146,0.5842696629213483
4910343,9561,56,49,139,0.22950819672131148,0.20081967213114754,0.569672131147541
4910344,9562,34,30,76,0.24285714285714285,0.21428571428571427,0.5428571428571428
4910345,9563,13,13,36,0.20967741935483872,0.20967741935483872,0.5806451612903226
4910346,9564,18,15,53,0.20930232558139536,0.1744186046511628,0.6162790697674418
4910360,9565,49,51,149,0.19678714859437751,0.20481927710843373,0.5983935742971888
4910367,9566,3,4,3,0.3,0.4,0.3
4910368,9567,48,34,123,0.23414634146341465,0.16585365853658537,0.6
4910369,9568,49,57,83,0.25925925925925924,0.30158730158730157,0.43915343915343913
4910370,9569,36,34,71,0.2553191489361702,0.24113475177304963,0.5035460992907801
4910371,9570,32,30,90,0.21052631578947367,0.19736842105263158,0.5921052631578947
4910372,9571,75,56,153,0.2640845070422535,0.19718309859154928,0.5387323943661971
4910379,9572,34,32,82,0.22972972972972974,0.21621621621621623,0.5540540540540541
4910380,9573,3,1,0,0.75,0.25,0.0
4910381,9574,95,78,167,0.27941176470588236,0.22941176470588234,0.49117647058823527
4910390,9575,53,50,107,0.2523809523809524,0.23809523809523808,0.5095238095238095
4910390,9576,0,0,0,0.0,0.0,0.0
4910391,9577,24,13,28,0.36923076923076925,0.2,0.4307692307692308
4910392,9578,55,52,105,0.25943396226415094,0.24528301886792453,0.49528301886792453
4910393,9579,92,72,176,0.27058823529411763,0.21176470588235294,0.5176470588235295
4910394,9580,82,70,202,0.23163841807909605,0.1977401129943503,0.5706214689265536
4910395,9581,39,32,76,0.2653061224489796,0.21768707482993196,0.5170068027210885
4910396,9582,63,42,129,0.2692307692307692,0.1794871794871795,0.5512820512820513
4910397,9583,74,66,138,0.26618705035971224,0.23741007194244604,0.49640287769784175
4910401,9586,59,67,91,0.271889400921659,0.3087557603686636,0.41935483870967744
4910402,9587,46,59,95,0.23,0.295,0.475
4910403,9588,32,45,74,0.2119205298013245,0.2980132450331126,0.4900662251655629
4910409,9589,10,13,12,0.2857142857142857,0.37142857142857144,0.34285714285714286
4910410,9590,27,53,49,0.20930232558139536,0.4108527131782946,0.3798449612403101
4910411,9591,20,18,41,0.25316455696202533,0.22784810126582278,0.5189873417721519
4910412,9592,10,10,14,0.29411764705882354,0.29411764705882354,0.4117647058823529
4910415,9594,22,10,25,0.38596491228070173,0.17543859649122806,0.43859649122807015
4910419,9596,16,14,28,0.27586206896551724,0.2413793103448276,0.4827586206896552
4910420,9597,56,59,90,0.2731707317073171,0.28780487804878047,0.43902439024390244
4910422,9599,47,76,117,0.19583333333333333,0.31666666666666665,0.4875
4910424,9600,60,47,129,0.2542372881355932,0.19915254237288135,0.5466101694915254
4910425,9601,2,5,8,0.13333333333333333,0.3333333333333333,0.5333333333333333
4910427,9603,75,24,72,0.43859649122807015,0.14035087719298245,0.42105263157894735
4910428,9604,68,36,54,0.43037974683544306,0.22784810126582278,0.34177215189873417
4910429,9605,50,20,64,0.373134328358209,0.14925373134328357,0.47761194029850745
4910432,9606,1,6,4,0.09090909090909091,0.5454545454545454,0.36363636363636365
4910433,9607,97,76,129,0.3211920529801324,0.25165562913907286,0.4271523178807947
4910434,9608,10,5,11,0.38461538461538464,0.19230769230769232,0.4230769230769231
4910436,9609,12,8,12,0.375,0.25,0.375
4910437,9610,60,73,130,0.22813688212927757,0.27756653992395436,0.49429657794676807
4910456,9611,37,31,43,0.3333333333333333,0.27927927927927926,0.38738738738738737
4910468,9612,17,13,17,0.3617021276595745,0.2765957446808511,0.3617021276595745
4910470,9613,39,42,72,0.2549019607843137,0.27450980392156865,0.47058823529411764
4910471,9614,3,1,2,0.5,0.16666666666666666,0.3333333333333333
4910472,9615,3,3,0,0.5,0.5,0.0
4910473,9616,8,8,16,0.25,0.25,0.5
4910482,9617,35,25,98,0.22151898734177214,0.15822784810126583,0.620253164556962
4910484,9618,44,58,81,0.24043715846994534,0.31693989071038253,0.4426229508196721
4910485,9619,25,25,62,0.22321428571428573,0.22321428571428573,0.5535714285714286
4910486,9620,43,37,117,0.2182741116751269,0.18781725888324874,0.5939086294416244
4910487,9621,0,1,2,0.0,0.3333333333333333,0.6666666666666666
4910488,9622,27,38,110,0.15428571428571428,0.21714285714285714,0.6285714285714286
4910491,9625,57,48,121,0.252212389380531,0.21238938053097345,0.5353982300884956
