CNTYVTD,VTDKEY,BidenD_24P_President,CornejoD_24P_President,LockeD_24P_President,LozadaD_24P_President,PerezD_24P_President,PhillipsD_24P_President,UygurD_24P_President,WilliamsonD_24P_President
"0110303",92,0,0,0,0,0,0,0,0
"0110401",93,0,0,0,0,0,0,0,0
"0110402",94,1,0,0,0,0,0,0,1
"0110404",95,0,0,0,0,0,0,0,0
"0130001",96,24,0,0,0,0,0,0,0
"0130003",97,38,3,1,0,4,1,0,1
"0130004",98,29,0,0,1,0,0,0,1
"0130005",99,55,1,2,2,3,1,1,2
"0130006",100,23,0,0,0,2,0,0,1
"0130007",101,31,1,0,1,4,1,0,2
"0130008",102,18,1,0,1,2,1,0,1
"0130009",103,79,3,1,1,0,3,2,1
"0130010",104,20,0,0,0,5,0,1,0
"0130011",105,82,0,1,0,4,2,0,0
"0130012",106,54,0,0,0,2,1,0,1
"0130013",107,85,0,0,1,11,3,0,7
"0130014",108,5,0,0,1,1,0,0,0
"0130015",109,73,1,0,2,3,1,0,1
"0130017",110,122,7,2,2,12,4,1,3
"0130018",111,51,2,1,1,7,1,1,4
"0130019",112,13,0,2,0,1,2,0,0
"0130020",113,114,2,0,2,6,0,0,3
"0130021",114,10,2,1,0,0,1,0,2
"0130022",115,17,1,0,0,0,1,0,0
"0150101",116,31,1,0,0,0,1,0,0
"0150102",117,36,1,0,0,0,1,0,0
"0150103",118,32,2,1,1,1,1,0,1
"0150104",119,15,1,0,0,0,0,0,0
"0150205",120,46,0,2,0,0,2,0,0
"0150206",121,30,0,0,0,1,0,0,1
"0150207",122,18,1,0,1,0,0,0,0
"0150208",123,33,0,0,0,0,0,0,2
"0150309",124,4,0,0,0,0,0,0,1
"0150310",125,49,1,1,1,4,1,0,3
"0150311",126,35,1,0,0,1,1,0,1
"0150412",127,21,0,1,0,0,0,1,0
"0150413",128,18,0,0,0,1,1,0,0
"0150414",129,24,0,1,0,0,1,0,1
"0150415",130,41,1,1,0,0,0,0,2
"0170001",131,9,0,0,1,1,0,0,0
"0170002",132,4,1,0,0,0,0,0,1
"0170003",133,7,0,0,0,0,1,0,0
"0170004A",134,13,0,0,0,1,0,0,0
"0170004B",135,1,0,0,0,0,0,0,0
"0190101",136,35,0,1,0,0,2,1,2
"0190102",137,66,1,0,2,3,2,1,1
"0190203",138,75,2,4,1,1,0,0,6
"0190204",139,48,1,3,1,1,3,2,1
"0190305",140,48,0,0,0,0,2,1,2
"0190306",141,37,1,0,0,0,0,0,1
"0190407",142,57,1,0,0,0,3,1,1
"0190408",143,16,0,0,1,0,0,0,1
"0190409",144,22,1,1,0,1,0,1,1
"0190410",145,9,0,0,0,0,2,0,1
"0211001",146,29,0,0,0,0,1,0,0
"0211002",147,50,1,0,0,1,0,0,5
"0211003",148,152,3,0,0,1,1,0,9
"0211004",149,216,4,1,3,4,6,2,17
"0211005",150,70,2,1,3,2,2,2,6
"0211006",151,97,4,1,0,3,3,0,9
"0211007",152,194,3,3,0,1,4,2,7
"0211008",153,98,0,0,0,1,1,0,1
"0211009",154,116,1,4,3,1,1,2,9
"0212010",155,28,1,2,0,0,0,1,3
"0212011",156,159,2,0,0,2,2,0,9
"0212012",157,85,0,0,0,0,0,0,3
"0212013",158,193,1,2,0,5,0,4,11
"0212014",159,139,2,2,0,2,4,1,10
"0212015",160,205,5,2,3,0,6,0,12
"0212016",161,127,1,1,0,2,5,0,7
"0213017",162,138,2,2,0,1,2,0,10
"0213018",163,93,2,1,0,1,1,0,9
"0213019",164,129,2,1,0,3,2,2,7
"0213020",165,113,5,1,3,3,0,1,12
"0214021",166,137,3,3,2,2,1,2,10
"0214022",167,130,1,3,0,1,2,1,4
"0214023",168,58,1,0,0,1,3,1,7
"0214024",169,66,1,0,0,0,1,1,5
"0214025",170,187,3,1,1,3,2,3,13
"0214026",171,158,3,2,1,3,4,1,11
"0230001",172,6,0,0,1,0,0,0,0
"0230002",173,2,0,0,0,1,0,0,0
"0230003",174,5,0,0,0,1,1,0,0
"0230004",175,11,1,0,0,0,0,0,1
"0250001",176,72,1,3,1,6,2,1,4
"0250002",177,5,1,0,0,0,0,0,0
"0250003",178,54,1,2,1,0,1,0,6
"0250004",179,19,0,1,0,2,0,0,0
"0250005",180,13,0,0,0,1,0,0,0
"0250006",181,14,3,1,0,2,0,0,0
"0250009",182,40,2,0,1,3,1,0,0
"0250010",183,26,1,2,2,5,1,0,5
"0250013",184,39,1,0,2,2,0,0,2
"0250016",185,28,0,1,1,0,0,0,0
"0250017",186,41,4,2,0,7,1,0,1
"0250018",187,56,0,1,0,3,1,0,6
"0250019",188,19,0,2,1,2,0,1,0
"0270101",189,98,0,0,0,0,7,2,7
"0270102",190,71,1,1,0,1,3,2,8
"0270103",191,50,3,3,1,1,5,1,3
"0270104",192,124,0,3,1,1,2,1,7
"0270105",193,22,1,0,0,1,2,0,1
"0270106",194,207,2,3,0,2,11,2,8
"0270107",195,10,1,0,0,1,0,0,0
"0270108",196,13,0,0,0,0,1,0,1
"0270109",197,103,0,2,1,2,4,0,1
"0270110",198,10,0,0,1,0,0,0,0
"0270111",199,224,2,2,3,2,4,1,3
"0270113",200,86,2,1,2,3,5,1,5
"0270114",201,106,1,0,1,2,4,0,3
"0270115",202,107,0,3,1,0,4,1,10
"0270116",203,83,1,2,1,1,3,3,6
"0270117",204,0,0,0,0,0,0,0,0
"0270118",205,73,0,0,0,2,4,0,3
"0270119",206,81,0,1,0,2,0,0,7
"0270201",207,109,0,1,1,1,1,0,7
"0270202",208,153,2,3,0,1,10,0,9
"0270203",209,96,1,2,1,1,2,2,3
"0270204",210,57,2,0,1,0,0,1,4
"0270205",211,239,0,6,2,1,7,3,4
"0270206",212,147,2,0,0,2,7,3,6
"0270207",213,148,0,0,1,1,8,3,6
"0270208",214,279,2,2,6,3,4,2,8
"0270209",215,251,3,1,5,2,5,4,15
"0270210",216,295,2,4,2,3,8,2,17
"0270211",217,64,0,0,0,1,1,0,2
"0270212",218,49,0,0,0,0,1,0,2
"0270213",219,130,0,3,0,0,4,2,1
"0270214",220,116,3,1,5,2,8,2,6
"0270215",221,293,2,1,2,2,10,0,11
"0270216",222,123,1,2,2,0,7,2,8
"0270301",223,59,2,1,1,1,2,0,2
"0270302",224,145,3,1,2,2,6,2,4
"0270303",225,211,5,2,6,4,8,4,7
"0270304",226,6,0,0,0,0,0,1,1
"0270305",227,67,1,0,1,0,5,3,1
"0270306",228,90,2,0,1,4,7,3,9
"0270307",229,162,1,5,0,3,6,0,3
"0270308",230,151,0,0,1,3,9,1,4
"0270309",231,21,0,1,0,0,0,0,2
"0270310",232,9,0,0,0,0,0,1,0
"0270311",233,67,1,2,0,1,5,0,0
"0270312",234,26,0,1,0,0,0,0,4
"0270313",235,182,0,1,0,5,8,0,6
"0270314",236,80,0,0,0,1,2,1,5
"0270315",237,104,3,2,1,0,8,2,10
"0270317",238,74,1,4,1,1,0,1,2
"0270318",239,122,1,2,0,1,9,1,7
"0270319",240,115,1,1,0,1,8,0,7
"0270401",241,148,2,0,1,2,2,3,6
"0270402",242,241,4,1,2,0,10,1,7
"0270404",243,113,2,0,1,2,7,0,6
"0270405",244,213,1,5,2,3,4,1,7
"0270406",245,89,0,1,0,1,3,0,1
"0270408",246,206,4,2,5,1,10,1,9
"0270409",247,136,1,1,1,1,6,2,1
"0270410",248,64,1,0,1,2,5,0,3
"0270412",249,192,4,2,2,3,11,2,8
"0270413",250,146,1,2,2,3,5,0,6
"0270414",251,153,4,2,1,4,1,4,7
"0270415",252,103,1,2,2,1,1,2,5
"0270419",253,38,0,0,0,0,0,0,2
"0291001",254,82,1,0,0,0,1,0,4
"0291002",255,48,0,0,0,1,1,0,2
"0291003",256,134,4,3,3,11,4,6,13
"0291004",257,58,0,0,1,4,3,1,1
"0291005",258,56,0,0,4,5,1,1,0
"0291006",259,153,2,1,7,12,5,4,4
"0291007",260,86,1,1,0,7,2,1,3
"0291008",261,206,3,0,2,6,0,2,9
"0291009",262,69,1,0,2,3,2,0,2
"0291010",263,59,0,0,1,1,0,0,6
"0291011",264,65,0,2,7,2,1,0,8
"0291012",265,99,2,1,8,5,3,3,5
"0291013",266,159,8,0,6,10,1,2,7
"0291014",267,54,3,0,3,4,1,0,3
"0291015",268,57,3,0,2,5,1,1,6
"0291016",269,55,0,0,5,4,0,0,5
"0291017",270,19,0,0,0,0,0,0,0
"0291018",271,54,2,1,4,4,0,0,4
"0291019",272,58,2,1,1,3,2,0,5
"0291020",273,113,3,0,3,10,2,0,3
"0291021",274,89,3,1,5,12,1,0,2
"0291022",275,57,0,1,2,3,2,0,0
"0291023",276,113,1,0,8,10,2,1,4
"0291024",277,176,2,1,3,11,3,2,11
"0291025",278,15,0,0,1,3,1,0,3
"0291026",279,45,1,0,6,2,1,0,1
"0291027",280,14,2,1,0,0,1,0,2
"0291028",281,28,1,1,3,3,1,0,0
"0291029",282,113,2,0,0,10,0,0,8
"0291030",283,4,0,0,0,0,0,0,0
"0291031",284,75,2,0,2,3,3,0,1
"0291032",285,86,7,0,3,7,1,1,3
"0291033",286,72,2,0,1,5,1,0,4
"0291034",287,228,6,2,2,6,4,1,12
"0291035",288,1,0,0,0,0,0,0,0
"0291036",289,127,5,2,7,9,7,2,4
"0291037",290,119,1,3,5,4,3,1,6
"0291038",291,161,3,0,3,12,5,0,5
"0291039",292,68,1,1,4,6,2,0,7
"0291040",293,131,1,0,4,7,4,0,6
"0291041",294,83,3,0,8,16,1,1,10
"0291042",295,58,2,2,4,4,2,0,4
"0291043",296,60,3,1,5,8,0,0,4
"0291044",297,131,3,1,6,11,2,1,3
"0291045",298,172,7,0,4,12,5,2,12
"0291046",299,129,8,0,2,12,1,2,6
"0291047",300,67,1,1,6,13,0,0,6
"0291048",301,143,6,4,3,10,1,0,5
"0291049",302,128,5,0,13,14,1,1,9
"0291050",303,51,0,0,0,4,5,0,4
"0291051",304,128,4,1,8,8,5,2,7
"0291052",305,139,4,2,8,9,3,0,5
"0291053",306,21,1,0,2,5,3,0,3
"0291054",307,185,6,2,5,16,3,2,7
"0291055",308,145,1,2,3,3,1,1,8
"0291056",309,182,7,2,7,11,2,5,10
"0291057",310,67,4,0,1,6,1,3,3
"0291058",311,106,3,2,8,6,4,1,4
"0291059",312,15,1,0,1,0,1,0,3
"0291060",313,114,4,2,8,11,3,1,6
"0291061",314,59,3,1,5,4,0,0,6
"0291062",315,5,0,0,0,1,1,0,0
"0291063",316,76,2,1,7,5,2,3,0
"0291064",317,40,2,0,1,3,3,0,1
"0291065",318,98,0,0,8,6,4,1,4
"0291066",319,22,0,0,2,4,1,0,2
"0291067",320,85,2,1,5,9,3,1,4
"0291068",321,98,1,1,5,5,4,1,14
"0291069",322,47,2,0,3,1,0,0,1
"0291070",323,39,1,0,0,4,1,2,2
"0291071",324,98,0,0,4,2,1,2,6
"0291072",325,111,4,0,2,1,1,0,1
"0291073",326,146,3,1,2,3,4,1,13
"0291074",327,0,0,0,0,0,0,0,0
"0291075",328,85,3,0,4,7,1,2,7
"0291076",329,166,4,2,4,5,5,2,14
"0291077",330,115,4,0,8,4,3,2,8
"0291078",331,22,0,1,1,5,0,0,2
"0291079",332,127,4,1,3,7,5,0,12
"0291080",333,80,1,0,2,0,2,2,6
"0291081",334,151,1,2,3,3,3,1,7
"0291082",335,150,1,1,3,4,0,1,4
"0291083",336,182,2,0,2,4,7,0,8
"0291084",337,102,3,2,2,2,1,1,3
"0291085",338,83,2,3,1,4,1,0,3
"0291086",339,174,4,1,0,10,0,1,9
"0291087",340,75,1,1,4,4,1,0,2
"0291088",341,34,0,0,0,4,3,1,3
"0291089",342,8,0,0,0,0,0,0,1
"0291090",343,0,0,0,0,0,0,0,0
"0291091",344,140,3,2,6,9,4,0,9
"0291092",345,51,1,0,9,2,1,2,3
"0291093",346,65,0,0,1,1,2,4,6
"0291094",347,78,4,2,2,3,3,1,9
"0291095",348,7,0,0,1,0,0,0,0
"0291096",349,9,0,0,0,0,0,0,0
"0291097",350,42,2,0,3,3,1,0,1
"0291098",351,82,2,2,7,3,0,3,5
"0291099",352,206,4,2,2,1,2,0,9
"0291100",353,156,4,1,3,4,0,2,8
"0291101",354,0,0,0,0,0,0,0,0
"0291102",355,49,4,0,2,2,2,1,5
"0291103",356,66,1,0,3,2,1,0,5
"0291104",357,244,2,1,7,8,4,1,14
"0291105",358,35,0,0,2,3,0,1,5
"0291106",359,0,0,0,0,0,0,0,0
"0291107",360,132,6,4,4,9,2,0,15
"0291108",361,100,0,2,4,3,2,1,7
"0291109",362,0,0,0,0,0,0,0,0
"0291110",363,108,2,0,4,5,1,0,9
"0291111",364,218,2,0,6,7,4,0,15
"0291112",365,107,2,2,6,8,2,2,3
"0291113",366,162,0,2,5,6,4,6,11
"0291114",367,8,0,0,0,0,0,0,3
"0291115",368,55,3,0,3,5,0,0,8
"0291116",369,89,1,0,1,3,1,0,6
"0291117",370,25,1,0,1,1,0,0,0
"0291118",371,190,0,1,2,4,7,4,12
"0291119",372,5,0,0,0,1,0,0,0
"0291120",373,6,0,0,1,1,0,0,3
"0291121",374,138,1,1,3,1,2,1,10
"0291122A",375,132,0,2,5,4,2,1,10
"0291122B",376,7,0,0,0,0,0,0,0
"0291123",377,15,1,1,1,0,0,0,0
"0291124",378,10,1,0,2,1,0,0,0
"0291125",379,114,0,4,2,2,0,0,6
"0291126",380,0,0,0,0,0,0,0,0
"0291127",381,31,0,1,4,2,1,0,2
"0291128",382,79,1,0,2,3,3,1,5
"0291129",383,262,3,3,2,7,4,3,13
"0291130",384,0,0,0,0,0,0,0,0
"0291131",385,0,0,0,0,0,0,0,0
"0291132",386,24,0,2,1,2,0,1,2
"0291133",387,0,0,0,0,0,0,0,0
"0291134",388,0,0,0,0,0,0,0,0
"0291135",389,0,0,0,0,0,0,0,0
"0291136",390,7,0,0,1,0,0,0,1
"0291137",391,0,0,0,0,0,0,0,0
"0291138",392,33,1,1,1,1,0,0,2
"0291139",393,101,0,3,3,5,3,1,9
"0291140",394,51,0,0,3,6,0,1,5
"0291141",395,139,6,5,5,4,1,3,4
"0291142",396,53,2,0,1,3,2,0,2
"0291143",397,185,5,3,6,5,5,2,14
"0291144",398,481,0,1,5,5,8,1,11
"0291145",399,54,1,3,2,2,3,2,2
"0291146",400,7,1,0,1,0,0,0,1
"0291147",401,121,0,2,3,3,4,2,8
"0291148",402,26,0,0,3,0,1,0,1
"0291149",403,129,4,0,1,3,0,2,8
"0291150",404,111,6,0,3,6,6,2,8
"0291151",405,124,2,2,3,1,2,1,10
"0291152",406,127,2,2,1,1,1,1,0
"0291153",407,87,1,1,1,1,3,1,4
"0291154A",408,135,1,2,4,2,3,0,3
"0291154B",409,0,0,0,0,0,0,0,0
"0291154C",410,2,0,0,0,0,0,0,0
"0291155",411,49,1,1,2,0,0,0,6
"0291156",412,203,2,1,1,4,1,5,7
"0291157",413,76,1,0,2,4,1,2,10
"0291158",414,53,0,2,3,0,5,0,5
"0291159",415,13,1,1,0,0,0,0,0
"0292001",416,17,1,0,0,3,0,1,2
"0292002",417,51,2,0,2,4,1,0,4
"0292003",418,94,3,2,6,4,3,0,6
"0292004",419,103,4,3,6,7,1,1,3
"0292005",420,67,1,1,2,3,0,2,4
"0292006",421,4,0,0,0,0,0,0,0
"0292007",422,74,3,1,1,4,1,2,2
"0292008",423,51,0,0,0,3,2,1,3
"0292009",424,69,1,0,1,0,1,2,10
"0292010",425,83,1,2,2,3,0,1,2
"0292011",426,119,0,1,3,1,3,1,11
"0292012",427,58,0,1,1,9,1,1,4
"0292013",428,88,1,0,4,4,0,1,8
"0292014",429,73,1,0,0,5,4,1,7
"0292015",430,71,2,0,3,7,0,0,3
"0292016",431,39,2,0,2,7,1,1,1
"0292017",432,30,2,1,3,0,0,0,3
"0292018",433,83,4,1,1,4,1,0,7
"0292019",434,51,0,0,4,2,0,0,1
"0292020",435,159,5,4,11,11,2,1,11
"0292021",436,95,2,2,2,10,0,0,7
"0292022",437,83,4,0,4,5,2,0,4
"0292023",438,158,3,4,8,12,5,2,7
"0292024",439,93,0,0,2,6,1,3,3
"0292025",440,180,4,0,2,7,1,3,9
"0292026",441,174,3,1,1,5,3,1,1
"0292027",442,150,2,1,0,2,5,0,6
"0292028",443,262,3,0,2,4,5,1,14
"0292029",444,48,3,1,4,2,0,0,1
"0292030",445,60,0,1,3,7,1,0,1
"0292031",446,46,3,0,1,3,1,0,2
"0292032",447,25,0,0,0,0,0,0,0
"0292033",448,27,0,1,1,3,0,0,1
"0292034",449,22,1,0,2,5,0,1,1
"0292035",450,204,0,0,1,0,3,4,3
"0292036",451,258,1,0,2,1,1,3,3
"0292037",452,113,2,0,3,3,1,0,8
"0292038",453,125,1,0,2,2,4,1,6
"0292039",454,143,0,2,5,10,0,1,4
"0292040",455,199,1,0,4,7,1,0,4
"0292041",456,187,5,2,8,10,3,1,8
"0292042",457,123,1,2,4,6,0,0,6
"0292043",458,38,2,1,1,2,0,0,3
"0292044",459,77,4,0,5,8,1,1,4
"0292045",460,202,2,0,1,5,3,2,6
"0292046",461,256,0,1,4,8,2,2,10
"0292047",462,171,4,1,1,5,0,1,11
"0292048",463,82,3,0,2,3,2,0,4
"0292049",464,209,3,1,8,6,2,2,12
"0292050",465,151,5,1,4,4,0,0,7
"0292051",466,34,0,0,1,1,1,1,5
"0292052",467,44,1,1,1,4,1,3,2
"0292053",468,68,1,1,2,3,0,0,11
"0292054",469,179,3,2,1,4,2,5,6
"0292055",470,155,2,0,1,1,16,3,20
"0292056",471,103,2,1,3,4,1,2,2
"0292057",472,93,3,1,5,1,1,1,8
"0292058",473,93,1,2,4,3,2,0,4
"0292059",474,118,2,1,5,3,1,3,4
"0292060",475,109,1,1,3,6,1,0,8
"0292061",476,74,0,1,1,0,0,1,2
"0292062",477,88,2,0,3,3,0,0,2
"0292063",478,120,0,0,0,0,1,1,5
"0292064",479,158,3,0,4,3,2,1,9
"0292065A",480,78,2,0,1,2,1,1,7
"0292065B",481,3,0,0,0,0,0,0,0
"0292066",482,304,3,2,6,6,7,1,11
"0292067",483,38,1,0,2,1,0,0,0
"0292068",484,335,3,3,1,8,3,4,21
"0292069",485,168,4,1,7,4,0,2,5
"0292070",486,99,5,1,4,5,4,0,7
"0292071",487,16,1,1,3,0,0,0,0
"0292072",488,176,0,2,5,3,5,4,12
"0292073",489,78,1,0,2,3,4,1,2
"0292074",490,27,2,0,0,3,0,0,4
"0292075",491,38,1,1,4,2,1,0,2
"0292076",492,125,1,2,4,6,2,2,10
"0292077",493,194,2,0,5,6,1,3,7
"0292078",494,125,3,2,4,5,3,1,13
"0292079",495,15,1,2,2,1,0,0,2
"0292080",496,68,1,2,0,2,0,0,1
"0292081",497,68,1,0,0,3,0,0,7
"0292082",498,75,1,1,3,3,4,1,4
"0292083",499,93,1,0,1,6,0,0,4
"0292084",500,290,2,1,2,6,2,1,9
"0292085",501,92,3,0,1,6,2,0,2
"0292086",502,224,8,1,2,9,6,4,12
"0292087",503,155,1,2,4,6,4,2,3
"0292088",504,267,2,2,3,7,5,4,12
"0292089",505,16,1,0,2,1,1,0,0
"0292090",506,79,2,1,3,7,1,2,5
"0292091",507,123,2,1,7,5,10,2,10
"0292092",508,15,0,0,0,0,0,0,2
"0292093",509,53,1,1,0,1,1,0,7
"0292094",510,21,0,0,0,0,0,0,0
"0292095",511,197,1,0,0,2,5,2,5
"0292096",512,103,3,1,2,5,2,3,5
"0292097",513,131,3,1,3,6,2,3,10
"0292098",514,64,3,1,2,3,1,0,2
"0292099",515,115,1,1,1,4,2,1,1
"0292100",516,73,0,1,2,1,2,2,1
"0292101",517,1,1,0,0,0,0,0,0
"0292102",518,211,4,0,6,7,4,1,7
"0292103",519,7,0,0,1,0,0,1,0
"0292104",520,22,1,0,0,2,1,0,0
"0292105",521,34,0,0,2,3,0,0,2
"0292106",522,24,1,0,0,1,0,2,1
"0292107",523,117,4,2,2,1,5,2,6
"0292108",524,103,2,1,1,1,1,0,7
"0292109",525,0,0,0,0,0,0,0,0
"0292110",526,104,2,0,2,1,3,0,3
"0292111",527,42,0,0,2,2,1,0,4
"0292112",528,150,4,2,4,4,2,0,10
"0292113",529,1,0,0,0,0,0,0,0
"0292114",530,97,4,0,3,4,3,2,3
"0292115",531,193,1,3,6,9,3,4,13
"0292116",532,0,0,0,0,0,0,0,0
"0292117",533,36,1,0,0,1,1,0,1
"0292118",534,3,0,0,0,0,0,0,0
"0292119",535,20,1,0,0,0,1,1,0
"0292120",536,126,0,0,0,3,4,1,8
"0292121",537,14,0,0,0,0,0,0,3
"0292122",538,69,0,1,3,1,0,0,6
"0292123",539,76,1,0,1,0,3,0,8
"0292124",540,64,0,1,2,1,0,0,1
"0292125",541,194,4,3,4,4,7,5,8
"0292126",542,65,1,1,4,4,1,0,1
"0292127",543,202,3,1,4,9,2,0,11
"0292128",544,49,2,0,6,5,1,1,2
"0292129",545,0,0,0,0,0,0,0,0
"0292130",546,130,0,1,2,9,5,3,14
"0292131",547,29,0,0,0,0,0,0,2
"0292132",548,0,0,0,0,0,0,0,0
"0292133",549,31,0,0,0,0,1,0,3
"0292134",550,46,0,0,0,1,2,0,3
"0292135",551,40,1,0,0,2,0,0,2
"0292136",552,165,3,0,1,5,3,4,18
"0292137",553,103,1,0,2,2,1,3,6
"0292138",554,72,1,0,1,1,1,1,3
"0292139",555,119,0,0,1,4,3,1,6
"0292140",556,75,3,3,1,2,2,1,4
"0292141",557,105,1,0,0,8,2,0,10
"0292142",558,19,0,0,0,0,1,0,3
"0292143",559,156,0,2,1,12,5,1,6
"0292144",560,157,2,1,2,2,2,0,6
"0292145",561,22,0,0,0,0,0,1,2
"0292146",562,2,0,0,0,0,0,0,0
"0292147",563,24,0,1,2,2,0,0,0
"0292148",564,152,4,2,0,4,2,3,9
"0292149",565,82,0,1,1,1,2,2,6
"0292150",566,0,0,0,0,0,0,0,0
"0292151",567,1,0,0,0,0,0,0,0
"0292152",568,23,1,0,1,1,1,0,2
"0292153",569,14,0,0,0,0,0,0,0
"0292154",570,160,1,0,2,3,2,1,16
"0292155",571,0,0,0,0,0,0,0,0
"0292156",572,49,0,1,0,1,6,0,4
"0292157",573,0,0,0,0,0,0,0,0
"0292158",574,0,0,0,0,0,0,0,0
"0292159",575,13,0,0,0,1,1,0,0
"0292160",576,1,0,0,0,0,0,0,0
"0292161",577,12,0,0,0,0,1,0,1
"0292162",578,30,1,0,0,0,0,0,0
"0292163",579,180,0,3,0,1,4,0,7
"0292164",580,113,2,0,3,3,0,3,10
"0292165",581,218,1,2,1,4,3,0,15
"0292166",582,166,2,2,6,8,2,2,2
"0292167",583,0,0,0,0,0,0,0,0
"0292168",584,99,2,0,2,5,3,1,9
"0292169",585,146,3,0,1,1,2,1,10
"0292170",586,213,4,3,3,6,9,7,12
"0292171",587,101,0,0,4,6,3,1,8
"0292172",588,20,1,0,0,1,0,0,0
"0292173",589,104,1,0,1,1,4,0,5
"0292174",590,268,1,2,3,4,3,4,8
"0292175",591,68,2,1,2,3,2,3,10
"0292176",592,81,0,2,2,2,3,0,1
"0292177",593,0,0,0,0,0,0,0,0
"0292178",594,165,2,0,2,9,0,3,7
"0292179",595,4,0,0,1,0,0,0,0
"0292180A",596,74,1,0,3,2,0,4,8
"0292180B",597,1,0,0,0,0,0,0,0
"0292181A",598,41,1,1,3,1,1,2,2
"0292181B",599,8,1,0,1,0,0,0,0
