CNTYVTD,VTDKEY,BidenD_24P_President,CornejoD_24P_President,LockeD_24P_President,LozadaD_24P_President,PerezD_24P_President,PhillipsD_24P_President,UygurD_24P_President,WilliamsonD_24P_President,BidenD_24P_President_Percentage,CornejoD_24P_President_Percentage,LockeD_24P_President_Percentage,LozadaD_24P_President_Percentage,PerezD_24P_President_Percentage,PhillipsD_24P_President_Percentage,UygurD_24P_President_Percentage,WilliamsonD_24P_President_Percentage
130003,97,38,3,1,0,4,1,0,1,0.7916666666666666,0.0625,0.020833333333333332,0.0,0.08333333333333333,0.020833333333333332,0.0,0.020833333333333332
130004,98,29,0,0,1,0,0,0,1,0.9354838709677419,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903
130005,99,55,1,2,2,3,1,1,2,0.8208955223880597,0.014925373134328358,0.029850746268656716,0.029850746268656716,0.04477611940298507,0.014925373134328358,0.014925373134328358,0.029850746268656716
130006,100,23,0,0,0,2,0,0,1,0.8846153846153846,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464
130007,101,31,1,0,1,4,1,0,2,0.775,0.025,0.0,0.025,0.1,0.025,0.0,0.05
130008,102,18,1,0,1,2,1,0,1,0.75,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664
130009,103,79,3,1,1,0,3,2,1,0.8777777777777778,0.03333333333333333,0.011111111111111112,0.011111111111111112,0.0,0.03333333333333333,0.022222222222222223,0.011111111111111112
130010,104,20,0,0,0,5,0,1,0,0.7692307692307693,0.0,0.0,0.0,0.19230769230769232,0.0,0.038461538461538464,0.0
130011,105,82,0,1,0,4,2,0,0,0.9213483146067416,0.0,0.011235955056179775,0.0,0.0449438202247191,0.02247191011235955,0.0,0.0
130012,106,54,0,0,0,2,1,0,1,0.9310344827586207,0.0,0.0,0.0,0.034482758620689655,0.017241379310344827,0.0,0.017241379310344827
130013,107,85,0,0,1,11,3,0,7,0.794392523364486,0.0,0.0,0.009345794392523364,0.102803738317757,0.028037383177570093,0.0,0.06542056074766354
130014,108,5,0,0,1,1,0,0,0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
130015,109,73,1,0,2,3,1,0,1,0.9012345679012346,0.012345679012345678,0.0,0.024691358024691357,0.037037037037037035,0.012345679012345678,0.0,0.012345679012345678
130017,110,122,7,2,2,12,4,1,3,0.7973856209150327,0.0457516339869281,0.013071895424836602,0.013071895424836602,0.0784313725490196,0.026143790849673203,0.006535947712418301,0.0196078431372549
130018,111,51,2,1,1,7,1,1,4,0.75,0.029411764705882353,0.014705882352941176,0.014705882352941176,0.10294117647058823,0.014705882352941176,0.014705882352941176,0.058823529411764705
130019,112,13,0,2,0,1,2,0,0,0.7222222222222222,0.0,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.0,0.0
130020,113,114,2,0,2,6,0,0,3,0.8976377952755905,0.015748031496062992,0.0,0.015748031496062992,0.047244094488188976,0.0,0.0,0.023622047244094488
130021,114,10,2,1,0,0,1,0,2,0.625,0.125,0.0625,0.0,0.0,0.0625,0.0,0.125
130022,115,17,1,0,0,0,1,0,0,0.8947368421052632,0.05263157894736842,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
150101,116,31,1,0,0,0,1,0,0,0.9393939393939394,0.030303030303030304,0.0,0.0,0.0,0.030303030303030304,0.0,0.0
150102,117,36,1,0,0,0,1,0,0,0.9473684210526315,0.02631578947368421,0.0,0.0,0.0,0.02631578947368421,0.0,0.0
150103,118,32,2,1,1,1,1,0,1,0.8205128205128205,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564
150104,119,15,1,0,0,0,0,0,0,0.9375,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
150205,120,46,0,2,0,0,2,0,0,0.92,0.0,0.04,0.0,0.0,0.04,0.0,0.0
150206,121,30,0,0,0,1,0,0,1,0.9375,0.0,0.0,0.0,0.03125,0.0,0.0,0.03125
150207,122,18,1,0,1,0,0,0,0,0.9,0.05,0.0,0.05,0.0,0.0,0.0,0.0
150208,123,33,0,0,0,0,0,0,2,0.9428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714
150309,124,4,0,0,0,0,0,0,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2
150310,125,49,1,1,1,4,1,0,3,0.8166666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.06666666666666667,0.016666666666666666,0.0,0.05
150311,126,35,1,0,0,1,1,0,1,0.8974358974358975,0.02564102564102564,0.0,0.0,0.02564102564102564,0.02564102564102564,0.0,0.02564102564102564
150412,127,21,0,1,0,0,0,1,0,0.9130434782608695,0.0,0.043478260869565216,0.0,0.0,0.0,0.043478260869565216,0.0
150413,128,18,0,0,0,1,1,0,0,0.9,0.0,0.0,0.0,0.05,0.05,0.0,0.0
150414,129,24,0,1,0,0,1,0,1,0.8888888888888888,0.0,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035
150415,130,41,1,1,0,0,0,0,2,0.9111111111111111,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,0.0,0.044444444444444446
170001,131,9,0,0,1,1,0,0,0,0.8181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0
170002,132,4,1,0,0,0,0,0,1,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
170003,133,7,0,0,0,0,1,0,0,0.875,0.0,0.0,0.0,0.0,0.125,0.0,0.0
170004,134,13,0,0,0,1,0,0,0,0.9285714285714286,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
170004,135,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190101,136,35,0,1,0,0,2,1,2,0.8536585365853658,0.0,0.024390243902439025,0.0,0.0,0.04878048780487805,0.024390243902439025,0.04878048780487805
190102,137,66,1,0,2,3,2,1,1,0.868421052631579,0.013157894736842105,0.0,0.02631578947368421,0.039473684210526314,0.02631578947368421,0.013157894736842105,0.013157894736842105
190203,138,75,2,4,1,1,0,0,6,0.8426966292134831,0.02247191011235955,0.0449438202247191,0.011235955056179775,0.011235955056179775,0.0,0.0,0.06741573033707865
190204,139,48,1,3,1,1,3,2,1,0.8,0.016666666666666666,0.05,0.016666666666666666,0.016666666666666666,0.05,0.03333333333333333,0.016666666666666666
190305,140,48,0,0,0,0,2,1,2,0.9056603773584906,0.0,0.0,0.0,0.0,0.03773584905660377,0.018867924528301886,0.03773584905660377
190306,141,37,1,0,0,0,0,0,1,0.9487179487179487,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.02564102564102564
190407,142,57,1,0,0,0,3,1,1,0.9047619047619048,0.015873015873015872,0.0,0.0,0.0,0.047619047619047616,0.015873015873015872,0.015873015873015872
190408,143,16,0,0,1,0,0,0,1,0.8888888888888888,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.05555555555555555
190409,144,22,1,1,0,1,0,1,1,0.8148148148148148,0.037037037037037035,0.037037037037037035,0.0,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035
190410,145,9,0,0,0,0,2,0,1,0.75,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333
211001,146,29,0,0,0,0,1,0,0,0.9666666666666667,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0
211002,147,50,1,0,0,1,0,0,5,0.8771929824561403,0.017543859649122806,0.0,0.0,0.017543859649122806,0.0,0.0,0.08771929824561403
211003,148,152,3,0,0,1,1,0,9,0.9156626506024096,0.018072289156626505,0.0,0.0,0.006024096385542169,0.006024096385542169,0.0,0.05421686746987952
211004,149,216,4,1,3,4,6,2,17,0.8537549407114624,0.015810276679841896,0.003952569169960474,0.011857707509881422,0.015810276679841896,0.023715415019762844,0.007905138339920948,0.06719367588932806
211005,150,70,2,1,3,2,2,2,6,0.7954545454545454,0.022727272727272728,0.011363636363636364,0.03409090909090909,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.06818181818181818
211006,151,97,4,1,0,3,3,0,9,0.8290598290598291,0.03418803418803419,0.008547008547008548,0.0,0.02564102564102564,0.02564102564102564,0.0,0.07692307692307693
211007,152,194,3,3,0,1,4,2,7,0.9065420560747663,0.014018691588785047,0.014018691588785047,0.0,0.004672897196261682,0.018691588785046728,0.009345794392523364,0.03271028037383177
211008,153,98,0,0,0,1,1,0,1,0.9702970297029703,0.0,0.0,0.0,0.009900990099009901,0.009900990099009901,0.0,0.009900990099009901
211009,154,116,1,4,3,1,1,2,9,0.8467153284671532,0.0072992700729927005,0.029197080291970802,0.021897810218978103,0.0072992700729927005,0.0072992700729927005,0.014598540145985401,0.06569343065693431
212010,155,28,1,2,0,0,0,1,3,0.8,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.02857142857142857,0.08571428571428572
212011,156,159,2,0,0,2,2,0,9,0.9137931034482759,0.011494252873563218,0.0,0.0,0.011494252873563218,0.011494252873563218,0.0,0.05172413793103448
212012,157,85,0,0,0,0,0,0,3,0.9659090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.03409090909090909
212013,158,193,1,2,0,5,0,4,11,0.8935185185185185,0.004629629629629629,0.009259259259259259,0.0,0.023148148148148147,0.0,0.018518518518518517,0.05092592592592592
212014,159,139,2,2,0,2,4,1,10,0.86875,0.0125,0.0125,0.0,0.0125,0.025,0.00625,0.0625
212015,160,205,5,2,3,0,6,0,12,0.8798283261802575,0.02145922746781116,0.008583690987124463,0.012875536480686695,0.0,0.02575107296137339,0.0,0.05150214592274678
212016,161,127,1,1,0,2,5,0,7,0.8881118881118881,0.006993006993006993,0.006993006993006993,0.0,0.013986013986013986,0.03496503496503497,0.0,0.04895104895104895
213017,162,138,2,2,0,1,2,0,10,0.8903225806451613,0.012903225806451613,0.012903225806451613,0.0,0.0064516129032258064,0.012903225806451613,0.0,0.06451612903225806
213018,163,93,2,1,0,1,1,0,9,0.8691588785046729,0.018691588785046728,0.009345794392523364,0.0,0.009345794392523364,0.009345794392523364,0.0,0.08411214953271028
213019,164,129,2,1,0,3,2,2,7,0.8835616438356164,0.0136986301369863,0.00684931506849315,0.0,0.02054794520547945,0.0136986301369863,0.0136986301369863,0.04794520547945205
213020,165,113,5,1,3,3,0,1,12,0.8188405797101449,0.036231884057971016,0.007246376811594203,0.021739130434782608,0.021739130434782608,0.0,0.007246376811594203,0.08695652173913043
214021,166,137,3,3,2,2,1,2,10,0.85625,0.01875,0.01875,0.0125,0.0125,0.00625,0.0125,0.0625
214022,167,130,1,3,0,1,2,1,4,0.9154929577464789,0.007042253521126761,0.02112676056338028,0.0,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.028169014084507043
214023,168,58,1,0,0,1,3,1,7,0.8169014084507042,0.014084507042253521,0.0,0.0,0.014084507042253521,0.04225352112676056,0.014084507042253521,0.09859154929577464
214024,169,66,1,0,0,0,1,1,5,0.8918918918918919,0.013513513513513514,0.0,0.0,0.0,0.013513513513513514,0.013513513513513514,0.06756756756756757
214025,170,187,3,1,1,3,2,3,13,0.8779342723004695,0.014084507042253521,0.004694835680751174,0.004694835680751174,0.014084507042253521,0.009389671361502348,0.014084507042253521,0.06103286384976526
214026,171,158,3,2,1,3,4,1,11,0.8633879781420765,0.01639344262295082,0.01092896174863388,0.00546448087431694,0.01639344262295082,0.02185792349726776,0.00546448087431694,0.060109289617486336
230001,172,6,0,0,1,0,0,0,0,0.8571428571428571,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
230002,173,2,0,0,0,1,0,0,0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
230003,174,5,0,0,0,1,1,0,0,0.7142857142857143,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,0.0
230004,175,11,1,0,0,0,0,0,1,0.8461538461538461,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693
250001,176,72,1,3,1,6,2,1,4,0.8,0.011111111111111112,0.03333333333333333,0.011111111111111112,0.06666666666666667,0.022222222222222223,0.011111111111111112,0.044444444444444446
250002,177,5,1,0,0,0,0,0,0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
250003,178,54,1,2,1,0,1,0,6,0.8307692307692308,0.015384615384615385,0.03076923076923077,0.015384615384615385,0.0,0.015384615384615385,0.0,0.09230769230769231
250004,179,19,0,1,0,2,0,0,0,0.8636363636363636,0.0,0.045454545454545456,0.0,0.09090909090909091,0.0,0.0,0.0
250005,180,13,0,0,0,1,0,0,0,0.9285714285714286,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0
250006,181,14,3,1,0,2,0,0,0,0.7,0.15,0.05,0.0,0.1,0.0,0.0,0.0
250009,182,40,2,0,1,3,1,0,0,0.851063829787234,0.0425531914893617,0.0,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.0,0.0
250010,183,26,1,2,2,5,1,0,5,0.6190476190476191,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.11904761904761904,0.023809523809523808,0.0,0.11904761904761904
250013,184,39,1,0,2,2,0,0,2,0.8478260869565217,0.021739130434782608,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.043478260869565216
250016,185,28,0,1,1,0,0,0,0,0.9333333333333333,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0
250017,186,41,4,2,0,7,1,0,1,0.7321428571428571,0.07142857142857142,0.03571428571428571,0.0,0.125,0.017857142857142856,0.0,0.017857142857142856
250018,187,56,0,1,0,3,1,0,6,0.835820895522388,0.0,0.014925373134328358,0.0,0.04477611940298507,0.014925373134328358,0.0,0.08955223880597014
250019,188,19,0,2,1,2,0,1,0,0.76,0.0,0.08,0.04,0.08,0.0,0.04,0.0
270101,189,98,0,0,0,0,7,2,7,0.8596491228070176,0.0,0.0,0.0,0.0,0.06140350877192982,0.017543859649122806,0.06140350877192982
270102,190,71,1,1,0,1,3,2,8,0.8160919540229885,0.011494252873563218,0.011494252873563218,0.0,0.011494252873563218,0.034482758620689655,0.022988505747126436,0.09195402298850575
270103,191,50,3,3,1,1,5,1,3,0.746268656716418,0.04477611940298507,0.04477611940298507,0.014925373134328358,0.014925373134328358,0.07462686567164178,0.014925373134328358,0.04477611940298507
270104,192,124,0,3,1,1,2,1,7,0.8920863309352518,0.0,0.02158273381294964,0.007194244604316547,0.007194244604316547,0.014388489208633094,0.007194244604316547,0.050359712230215826
270105,193,22,1,0,0,1,2,0,1,0.8148148148148148,0.037037037037037035,0.0,0.0,0.037037037037037035,0.07407407407407407,0.0,0.037037037037037035
270106,194,207,2,3,0,2,11,2,8,0.8808510638297873,0.00851063829787234,0.01276595744680851,0.0,0.00851063829787234,0.04680851063829787,0.00851063829787234,0.03404255319148936
270107,195,10,1,0,0,1,0,0,0,0.8333333333333334,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0
270108,196,13,0,0,0,0,1,0,1,0.8666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667
