CNTYVTD,VTDKEY,HegarD_18P_U.S. Rep 31,LesterD_18P_U.S. Rep 31,MannD_18P_U.S. Rep 31,ClarkD_18P_U.S. Rep 31,HegarD_18P_U.S. Rep 31_Percentage,LesterD_18P_U.S. Rep 31_Percentage,MannD_18P_U.S. Rep 31_Percentage,ClarkD_18P_U.S. Rep 31_Percentage
270409,247,38,16,20,11,0.4470588235294118,0.18823529411764706,0.23529411764705882,0.12941176470588237
270410,248,31,12,14,12,0.4492753623188406,0.17391304347826086,0.2028985507246377,0.17391304347826086
270412,249,23,7,9,2,0.5609756097560976,0.17073170731707318,0.21951219512195122,0.04878048780487805
270414,251,0,0,0,0,0.0,0.0,0.0,0.0
270415,252,79,28,34,21,0.4876543209876543,0.1728395061728395,0.20987654320987653,0.12962962962962962
270419,253,19,5,10,3,0.5135135135135135,0.13513513513513514,0.2702702702702703,0.08108108108108109
4910116,9460,55,21,52,17,0.3793103448275862,0.14482758620689656,0.3586206896551724,0.11724137931034483
4910116,9461,0,0,0,0,0.0,0.0,0.0,0.0
4910117,9462,133,22,120,34,0.43042071197411,0.07119741100323625,0.3883495145631068,0.11003236245954692
4910118,9463,186,31,144,37,0.46733668341708545,0.07788944723618091,0.36180904522613067,0.09296482412060302
4910119,9464,128,21,148,28,0.39384615384615385,0.06461538461538462,0.4553846153846154,0.08615384615384615
4910122,9465,15,2,16,5,0.39473684210526316,0.05263157894736842,0.42105263157894735,0.13157894736842105
4910123,9466,113,22,82,30,0.4574898785425101,0.08906882591093117,0.3319838056680162,0.1214574898785425
4910135,9467,103,18,86,30,0.4345991561181435,0.0759493670886076,0.3628691983122363,0.12658227848101267
4910136,9468,6,1,4,1,0.5,0.08333333333333333,0.3333333333333333,0.08333333333333333
4910138,9469,61,14,46,18,0.43884892086330934,0.10071942446043165,0.33093525179856115,0.12949640287769784
4910139,9470,95,12,74,34,0.4418604651162791,0.05581395348837209,0.34418604651162793,0.15813953488372093
4910143,9471,13,5,12,4,0.38235294117647056,0.14705882352941177,0.35294117647058826,0.11764705882352941
4910144,9472,25,3,15,7,0.5,0.06,0.3,0.14
4910145,9473,88,20,61,24,0.45595854922279794,0.10362694300518134,0.3160621761658031,0.12435233160621761
4910146,9474,202,33,131,40,0.4975369458128079,0.0812807881773399,0.3226600985221675,0.09852216748768473
4910147,9475,233,44,166,72,0.4524271844660194,0.0854368932038835,0.32233009708737864,0.13980582524271845
4910149,9476,79,8,55,14,0.5064102564102564,0.05128205128205128,0.3525641025641026,0.08974358974358974
4910150,9477,151,29,100,50,0.4575757575757576,0.08787878787878788,0.30303030303030304,0.15151515151515152
4910151,9478,239,45,179,61,0.45610687022900764,0.08587786259541985,0.3416030534351145,0.11641221374045801
4910155,9479,133,15,79,26,0.525691699604743,0.05928853754940711,0.31225296442687744,0.10276679841897234
4910162,9480,227,33,168,54,0.470954356846473,0.06846473029045644,0.34854771784232363,0.11203319502074689
4910163,9481,101,17,70,26,0.4719626168224299,0.0794392523364486,0.32710280373831774,0.12149532710280374
4910164,9482,14,3,11,4,0.4375,0.09375,0.34375,0.125
4910166,9483,61,11,49,16,0.44525547445255476,0.08029197080291971,0.35766423357664234,0.11678832116788321
4910173,9484,114,31,91,26,0.4351145038167939,0.1183206106870229,0.3473282442748092,0.09923664122137404
4910174,9485,67,8,59,16,0.44666666666666666,0.05333333333333334,0.3933333333333333,0.10666666666666667
4910175,9486,159,29,107,35,0.4818181818181818,0.08787878787878788,0.3242424242424242,0.10606060606060606
4910180,9487,194,30,111,43,0.5132275132275133,0.07936507936507936,0.29365079365079366,0.11375661375661375
4910181,9488,91,13,51,22,0.5141242937853108,0.07344632768361582,0.288135593220339,0.12429378531073447
4910182,9489,32,5,31,8,0.42105263157894735,0.06578947368421052,0.40789473684210525,0.10526315789473684
4910184,9490,29,10,26,11,0.3815789473684211,0.13157894736842105,0.34210526315789475,0.14473684210526316
4910186,9491,87,19,71,33,0.4142857142857143,0.09047619047619047,0.3380952380952381,0.15714285714285714
4910189,9492,142,19,126,33,0.44375,0.059375,0.39375,0.103125
4910191,9493,23,6,19,7,0.41818181818181815,0.10909090909090909,0.34545454545454546,0.12727272727272726
4910192,9494,19,3,14,5,0.4634146341463415,0.07317073170731707,0.34146341463414637,0.12195121951219512
4910198,9495,3,1,3,1,0.375,0.125,0.375,0.125
4910201,9496,97,23,95,29,0.3975409836065574,0.0942622950819672,0.38934426229508196,0.11885245901639344
4910202,9497,12,3,14,5,0.35294117647058826,0.08823529411764706,0.4117647058823529,0.14705882352941177
4910203,9498,4,0,4,0,0.5,0.0,0.5,0.0
4910204,9499,103,27,94,31,0.403921568627451,0.10588235294117647,0.3686274509803922,0.12156862745098039
4910205,9500,5,1,4,2,0.4166666666666667,0.08333333333333333,0.3333333333333333,0.16666666666666666
4910206,9501,26,7,18,10,0.4262295081967213,0.11475409836065574,0.29508196721311475,0.16393442622950818
4910207,9502,33,5,46,19,0.32038834951456313,0.04854368932038835,0.44660194174757284,0.18446601941747573
4910208,9503,24,3,15,4,0.5217391304347826,0.06521739130434782,0.32608695652173914,0.08695652173913043
4910209,9504,44,8,49,19,0.36666666666666664,0.06666666666666667,0.4083333333333333,0.15833333333333333
4910210,9505,17,3,21,6,0.3617021276595745,0.06382978723404255,0.44680851063829785,0.1276595744680851
4910216,9506,58,20,47,18,0.40559440559440557,0.13986013986013987,0.32867132867132864,0.1258741258741259
4910229,9507,5,1,5,2,0.38461538461538464,0.07692307692307693,0.38461538461538464,0.15384615384615385
4910230,9508,148,40,156,34,0.3915343915343915,0.10582010582010581,0.4126984126984127,0.08994708994708994
4910231,9509,42,8,40,16,0.39622641509433965,0.07547169811320754,0.37735849056603776,0.1509433962264151
4910243,9510,22,0,15,7,0.5,0.0,0.3409090909090909,0.1590909090909091
4910244,9511,29,2,22,6,0.4915254237288136,0.03389830508474576,0.3728813559322034,0.1016949152542373
4910245,9512,28,1,38,14,0.345679012345679,0.012345679012345678,0.4691358024691358,0.1728395061728395
4910251,9513,1,0,1,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
4910252,9514,65,10,57,24,0.4166666666666667,0.0641025641025641,0.36538461538461536,0.15384615384615385
4910253,9515,117,31,91,34,0.42857142857142855,0.11355311355311355,0.3333333333333333,0.12454212454212454
4910254,9516,87,30,80,20,0.4009216589861751,0.1382488479262673,0.3686635944700461,0.09216589861751152
4910255,9517,26,3,24,4,0.45614035087719296,0.05263157894736842,0.42105263157894735,0.07017543859649122
4910256,9518,25,3,16,5,0.5102040816326531,0.061224489795918366,0.32653061224489793,0.10204081632653061
4910257,9519,70,12,47,23,0.4605263157894737,0.07894736842105263,0.3092105263157895,0.1513157894736842
4910258,9520,1,0,1,0,0.5,0.0,0.5,0.0
4910259,9521,31,7,25,9,0.4305555555555556,0.09722222222222222,0.3472222222222222,0.125
4910261,9522,47,8,50,14,0.3949579831932773,0.06722689075630252,0.42016806722689076,0.11764705882352941
4910262,9523,40,10,38,14,0.39215686274509803,0.09803921568627451,0.37254901960784315,0.13725490196078433
4910263,9524,60,8,43,12,0.4878048780487805,0.06504065040650407,0.34959349593495936,0.0975609756097561
4910264,9525,62,11,59,12,0.4305555555555556,0.0763888888888889,0.4097222222222222,0.08333333333333333
4910266,9526,91,18,79,24,0.42924528301886794,0.08490566037735849,0.37264150943396224,0.11320754716981132
4910267,9527,21,3,17,4,0.4666666666666667,0.06666666666666667,0.37777777777777777,0.08888888888888889
4910276,9528,68,20,43,20,0.4503311258278146,0.13245033112582782,0.2847682119205298,0.13245033112582782
4910277,9529,174,51,117,47,0.4473007712082262,0.13110539845758354,0.30077120822622105,0.12082262210796915
4910278,9530,215,57,147,53,0.4555084745762712,0.12076271186440678,0.3114406779661017,0.11228813559322035
4910279,9531,6,0,2,0,0.75,0.0,0.25,0.0
4910283,9532,119,25,89,17,0.476,0.1,0.356,0.068
4910284,9533,118,26,128,22,0.4013605442176871,0.08843537414965986,0.43537414965986393,0.07482993197278912
4910287,9534,75,19,82,16,0.390625,0.09895833333333333,0.4270833333333333,0.08333333333333333
4910301,9535,137,26,122,25,0.44193548387096776,0.08387096774193549,0.3935483870967742,0.08064516129032258
4910302,9536,18,1,16,2,0.4864864864864865,0.02702702702702703,0.43243243243243246,0.05405405405405406
4910303,9537,90,7,69,19,0.4864864864864865,0.03783783783783784,0.372972972972973,0.10270270270270271
4910305,9538,19,2,15,10,0.41304347826086957,0.043478260869565216,0.32608695652173914,0.21739130434782608
4910306,9539,81,10,74,33,0.4090909090909091,0.050505050505050504,0.37373737373737376,0.16666666666666666
4910307,9540,16,3,12,6,0.43243243243243246,0.08108108108108109,0.32432432432432434,0.16216216216216217
4910308,9541,18,4,14,6,0.42857142857142855,0.09523809523809523,0.3333333333333333,0.14285714285714285
4910309,9542,64,11,54,18,0.43537414965986393,0.07482993197278912,0.3673469387755102,0.12244897959183673
4910310,9543,26,6,19,13,0.40625,0.09375,0.296875,0.203125
4910311,9544,1,0,0,1,0.5,0.0,0.0,0.5
4910312,9545,30,5,21,8,0.46875,0.078125,0.328125,0.125
4910314,9546,108,25,111,20,0.4090909090909091,0.0946969696969697,0.42045454545454547,0.07575757575757576
4910317,9547,33,3,36,12,0.39285714285714285,0.03571428571428571,0.42857142857142855,0.14285714285714285
4910318,9548,16,2,12,4,0.47058823529411764,0.058823529411764705,0.35294117647058826,0.11764705882352941
4910319,9549,8,1,5,1,0.5333333333333333,0.06666666666666667,0.3333333333333333,0.06666666666666667
4910320,9550,49,11,42,17,0.4117647058823529,0.09243697478991597,0.35294117647058826,0.14285714285714285
4910321,9551,2,0,0,0,1.0,0.0,0.0,0.0
4910322,9552,48,10,48,20,0.38095238095238093,0.07936507936507936,0.38095238095238093,0.15873015873015872
4910323,9553,3,1,3,1,0.375,0.125,0.375,0.125
4910331,9554,24,3,18,9,0.4444444444444444,0.05555555555555555,0.3333333333333333,0.16666666666666666
4910332,9555,64,8,51,16,0.460431654676259,0.05755395683453238,0.3669064748201439,0.11510791366906475
4910333,9556,12,2,17,4,0.34285714285714286,0.05714285714285714,0.4857142857142857,0.11428571428571428
4910338,9557,87,18,62,20,0.46524064171123,0.0962566844919786,0.3315508021390374,0.10695187165775401
4910340,9558,84,11,72,30,0.4263959390862944,0.05583756345177665,0.36548223350253806,0.15228426395939088
4910341,9559,77,13,70,24,0.41847826086956524,0.07065217391304347,0.3804347826086957,0.13043478260869565
4910342,9560,29,4,52,8,0.3118279569892473,0.043010752688172046,0.5591397849462365,0.08602150537634409
4910343,9561,82,16,82,22,0.40594059405940597,0.07920792079207921,0.40594059405940597,0.10891089108910891
4910344,9562,32,3,21,8,0.5,0.046875,0.328125,0.125
4910345,9563,19,4,20,6,0.3877551020408163,0.08163265306122448,0.40816326530612246,0.12244897959183673
4910346,9564,27,2,20,8,0.47368421052631576,0.03508771929824561,0.3508771929824561,0.14035087719298245
4910360,9565,173,28,166,35,0.43034825870646765,0.06965174129353234,0.4129353233830846,0.08706467661691543
4910367,9566,2,0,4,0,0.3333333333333333,0.0,0.6666666666666666,0.0
4910368,9567,63,7,80,13,0.38650306748466257,0.04294478527607362,0.49079754601226994,0.07975460122699386
4910369,9568,61,16,66,19,0.3765432098765432,0.09876543209876543,0.4074074074074074,0.11728395061728394
4910370,9569,58,15,57,14,0.4027777777777778,0.10416666666666667,0.3958333333333333,0.09722222222222222
4910371,9570,69,17,51,26,0.4233128834355828,0.10429447852760736,0.3128834355828221,0.15950920245398773
4910372,9571,121,18,125,36,0.4033333333333333,0.06,0.4166666666666667,0.12
4910379,9572,76,14,53,23,0.4578313253012048,0.08433734939759036,0.3192771084337349,0.13855421686746988
4910380,9573,3,1,3,0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0
4910381,9574,199,31,133,39,0.49502487562189057,0.07711442786069651,0.3308457711442786,0.09701492537313433
4910390,9575,117,26,91,42,0.42391304347826086,0.09420289855072464,0.32971014492753625,0.15217391304347827
4910390,9576,0,0,0,0,0.0,0.0,0.0,0.0
4910391,9577,47,5,29,9,0.5222222222222223,0.05555555555555555,0.32222222222222224,0.1
4910392,9578,95,16,56,24,0.4973821989528796,0.08376963350785341,0.2931937172774869,0.1256544502617801
4910393,9579,192,31,121,48,0.4897959183673469,0.07908163265306123,0.3086734693877551,0.12244897959183673
4910394,9580,216,23,124,51,0.5217391304347826,0.05555555555555555,0.2995169082125604,0.12318840579710146
4910395,9581,6,1,6,3,0.375,0.0625,0.375,0.1875
4910396,9582,116,16,63,21,0.5370370370370371,0.07407407407407407,0.2916666666666667,0.09722222222222222
4910397,9583,117,18,63,23,0.5294117647058824,0.08144796380090498,0.2850678733031674,0.10407239819004525
4910398,9584,121,43,114,40,0.3805031446540881,0.13522012578616352,0.3584905660377358,0.12578616352201258
4910399,9585,29,7,26,7,0.42028985507246375,0.10144927536231885,0.37681159420289856,0.10144927536231885
4910401,9586,93,25,70,19,0.4492753623188406,0.12077294685990338,0.33816425120772947,0.09178743961352658
4910402,9587,102,19,76,22,0.4657534246575342,0.0867579908675799,0.3470319634703196,0.1004566210045662
4910403,9588,28,4,27,6,0.4307692307692308,0.06153846153846154,0.4153846153846154,0.09230769230769231
4910409,9589,0,0,5,1,0.0,0.0,0.8333333333333334,0.16666666666666666
4910410,9590,26,5,45,8,0.30952380952380953,0.05952380952380952,0.5357142857142857,0.09523809523809523
4910411,9591,37,11,41,11,0.37,0.11,0.41,0.11
4910412,9592,7,0,7,3,0.4117647058823529,0.0,0.4117647058823529,0.17647058823529413
4910413,9593,53,7,30,17,0.4953271028037383,0.06542056074766354,0.2803738317757009,0.1588785046728972
4910415,9594,35,23,17,6,0.43209876543209874,0.2839506172839506,0.20987654320987653,0.07407407407407407
4910418,9595,0,0,0,0,0.0,0.0,0.0,0.0
4910419,9596,10,2,9,4,0.4,0.08,0.36,0.16
4910420,9597,47,6,42,12,0.4392523364485981,0.056074766355140186,0.3925233644859813,0.11214953271028037
4910421,9598,25,2,23,12,0.4032258064516129,0.03225806451612903,0.3709677419354839,0.1935483870967742
4910422,9599,60,15,62,20,0.3821656050955414,0.09554140127388536,0.39490445859872614,0.12738853503184713
4910424,9600,123,21,79,21,0.5040983606557377,0.0860655737704918,0.3237704918032787,0.0860655737704918
4910425,9601,8,2,3,3,0.5,0.125,0.1875,0.1875
4910426,9602,24,2,19,5,0.48,0.04,0.38,0.1
4910427,9603,82,18,39,25,0.5,0.10975609756097561,0.23780487804878048,0.1524390243902439
4910428,9604,77,10,34,41,0.47530864197530864,0.06172839506172839,0.20987654320987653,0.25308641975308643
4910429,9605,82,10,40,23,0.5290322580645161,0.06451612903225806,0.25806451612903225,0.14838709677419354
4910432,9606,8,1,10,3,0.36363636363636365,0.045454545454545456,0.45454545454545453,0.13636363636363635
4910433,9607,95,17,125,32,0.35315985130111527,0.06319702602230483,0.4646840148698885,0.11895910780669144
4910434,9608,17,2,16,5,0.425,0.05,0.4,0.125
4910436,9609,16,4,8,5,0.48484848484848486,0.12121212121212122,0.24242424242424243,0.15151515151515152
4910437,9610,139,25,126,26,0.439873417721519,0.07911392405063292,0.3987341772151899,0.08227848101265822
4910456,9611,33,9,22,24,0.375,0.10227272727272728,0.25,0.2727272727272727
4910468,9612,19,4,34,5,0.3064516129032258,0.06451612903225806,0.5483870967741935,0.08064516129032258
4910470,9613,42,8,36,7,0.45161290322580644,0.08602150537634409,0.3870967741935484,0.07526881720430108
4910471,9614,6,0,3,0,0.6666666666666666,0.0,0.3333333333333333,0.0
4910472,9615,10,3,11,3,0.37037037037037035,0.1111111111111111,0.4074074074074074,0.1111111111111111
4910473,9616,23,6,18,6,0.4339622641509434,0.11320754716981132,0.33962264150943394,0.11320754716981132
4910482,9617,101,17,83,30,0.43722943722943725,0.0735930735930736,0.3593073593073593,0.12987012987012986
4910484,9618,71,15,70,20,0.4034090909090909,0.08522727272727272,0.3977272727272727,0.11363636363636363
4910485,9619,39,5,46,10,0.39,0.05,0.46,0.1
4910486,9620,25,6,30,7,0.36764705882352944,0.08823529411764706,0.4411764705882353,0.10294117647058823
4910487,9621,4,0,2,0,0.6666666666666666,0.0,0.3333333333333333,0.0
4910488,9622,84,9,62,17,0.4883720930232558,0.05232558139534884,0.36046511627906974,0.09883720930232558
4910489,9623,114,28,86,25,0.4505928853754941,0.11067193675889328,0.33992094861660077,0.09881422924901186
4910490,9624,107,23,84,29,0.4403292181069959,0.09465020576131687,0.345679012345679,0.11934156378600823
4910491,9625,126,18,85,25,0.49606299212598426,0.07086614173228346,0.3346456692913386,0.0984251968503937
