CNTYVTD,VTDKEY,KimbroughD_18P_U.S. Sen,HernandezD_18P_U.S. Sen,O'RourkeD_18P_U.S. Sen
1131742,2212,89,102,143
1131743,2213,78,123,180
1131744,2214,0,0,0
1131745,2215,38,52,95
1131746,2216,31,43,68
1131747,2217,45,51,119
1131748,2218,28,40,94
1131749,2219,37,82,143
1131750,2220,34,46,115
1131751,2221,33,42,242
1131752,2222,35,78,179
1132000,2223,0,0,0
1132001,2224,0,0,1
1132002,2225,5,24,158
1132003,2226,11,26,305
1132004,2227,11,16,147
1132005,2228,5,11,125
1132006,2229,11,7,173
1132007,2230,19,21,297
1132008,2231,12,10,168
1132009,2232,5,21,278
1132010,2233,9,17,169
1132011,2234,8,16,200
1132015,2235,9,14,89
1132016,2236,20,38,317
1132017,2237,11,22,87
1132018,2238,5,11,79
1132019,2239,9,8,184
1132020,2240,17,35,362
1132021,2241,20,14,342
1132022,2242,3,5,93
1132023,2243,17,18,155
1132024,2244,5,14,152
1132025,2245,8,24,273
1132026,2246,16,14,221
1132027,2247,4,6,130
1132028,2248,0,0,0
1132030,2249,6,10,105
1132031,2250,17,37,279
1132032,2251,17,32,131
1132033,2252,13,24,175
1132035,2253,6,18,129
1132037,2254,2,7,52
1132038,2255,12,25,428
1132039,2256,15,29,406
1132040,2257,2,5,209
1132041,2258,34,60,254
1132042,2259,30,49,376
1132043,2260,15,33,251
1132044,2261,8,17,101
1132045,2262,14,27,238
1132046,2263,7,25,215
1132047,2264,17,31,247
1132048,2265,30,76,207
1132049,2266,10,18,195
1132050,2267,22,26,157
1132051,2268,14,32,265
1132052,2269,2,18,112
1132053,2270,13,43,120
1132054,2271,37,43,146
1132055,2272,16,25,64
1132056,2273,8,12,112
1132057,2274,2,4,61
1132058,2275,11,18,102
1132074,2276,2,5,17
1132076,2277,0,0,0
1132077,2278,19,18,126
1132079,2279,22,38,83
1132080,2280,1,6,12
1132081,2281,19,20,21
1132082,2282,18,44,291
1132083,2283,9,20,154
1132084,2284,9,7,27
1132085,2285,2,3,26
1132086,2286,7,40,418
1132087,2287,12,44,482
1132090,2288,0,0,5
1132091,2289,4,9,55
1132092,2290,0,0,0
1132094,2291,3,5,39
1132095,2292,0,0,0
1132096,2293,0,0,0
1132097,2294,0,0,0
1132098,2295,3,13,230
1132099,2296,20,58,570
113208,2297,0,0,0
1132100,2298,24,32,339
1132101,2299,11,20,157
1132102,2300,8,32,323
1132103,2301,6,17,116
1132104,2302,13,8,31
1132105,2303,29,30,319
1132106,2304,8,17,172
1132107,2305,2,0,9
1132108,2306,6,9,63
1132109,2307,0,0,0
1132110,2308,12,9,10
1132111,2309,0,1,3
1132112,2310,0,0,13
1132113,2311,0,0,2
1132114,2312,16,21,400
1132115,2313,1,3,25
1132116,2314,0,0,17
1132117,2315,22,29,81
1132118,2316,40,38,52
1132119,2317,6,6,25
1132120,2318,27,40,162
1132121,2319,11,18,19
1132122,2320,28,45,88
1132123,2321,27,41,63
1132124,2322,26,36,55
1132125,2323,92,86,257
1132126,2324,10,18,70
1132127,2325,66,78,203
1132128,2326,53,75,283
1132129,2327,3,15,25
1132130,2328,23,24,46
1132131,2329,14,26,91
1132132,2330,5,18,43
1132133,2331,2,3,24
1132134,2332,5,7,41
1132137,2333,19,24,33
1132138,2334,6,18,28
1132139,2335,11,13,16
1132140,2336,4,16,41
1132141,2337,12,8,39
1132142,2338,8,26,44
1132143,2339,1,5,15
1132144,2340,0,17,169
1132145,2341,12,22,170
1132146,2342,12,27,141
1132147,2343,6,13,309
1132148,2344,7,14,85
1132149,2345,19,37,241
1132150,2346,9,31,88
1132151,2347,0,4,34
1132152,2348,14,22,84
1132153,2349,11,24,142
1132154,2350,1,3,8
1132155,2351,10,31,362
1132200,2352,4,3,100
1132201,2353,1,5,128
1132202,2354,4,5,127
1132203,2355,2,6,109
1132220,2356,6,3,80
1132221,2357,6,8,187
1132222,2358,4,6,176
1132223,2359,5,8,137
1132224,2360,5,10,138
1132225,2361,2,4,97
1132226,2362,5,8,168
1132300,2363,7,17,69
1132301,2364,4,17,209
1132302,2365,6,15,64
1132303,2366,12,31,137
1132305,2367,9,25,111
1132306,2368,7,17,81
1132307,2369,5,3,53
1132308,2370,2,1,9
1132309,2371,6,17,35
1132310,2372,12,22,167
1132311,2373,3,4,9
1132312,2374,0,0,1
1132313,2375,0,0,0
1132315,2376,1,3,11
1132316,2377,3,12,69
1132400,2378,0,0,6
1132401,2379,27,55,272
1132402,2380,23,47,183
1132403,2381,0,0,0
1132404,2382,16,40,65
1132405,2383,33,53,215
1132406,2384,28,62,196
1132407,2385,24,77,167
1132408,2386,9,18,78
1132409,2387,6,44,73
1132410,2388,11,39,104
1132411,2389,5,13,15
1132412,2390,0,0,0
1132417,2391,3,4,21
1132500,2392,5,12,107
1132501,2393,6,15,132
1132502,2394,3,13,158
1132503,2395,11,30,253
1132504,2396,6,19,117
1132505,2397,25,49,184
1132506,2398,12,30,186
1132507,2399,12,25,193
1132508,2400,27,47,178
1132509,2401,18,35,216
1132510,2402,19,36,135
1132511,2403,15,31,151
1132512,2404,12,14,115
1132513,2405,43,70,183
1132514,2406,20,48,204
1132515,2407,2,14,60
1132517,2408,35,57,123
1132518,2409,35,40,180
1132519,2410,15,49,198
1132520,2411,31,71,278
1132521,2412,22,33,216
1132523,2413,12,16,113
1132601,2414,22,41,117
1132602,2415,35,72,193
1132603,2416,22,50,147
1132604,2417,28,60,201
1132605,2418,20,32,86
1132606,2419,7,23,62
1132607,2420,0,0,0
1132608,2421,19,32,129
1132609,2422,0,0,0
1132610,2423,0,0,0
1132611,2424,20,42,59
1132612,2425,10,17,48
1132613,2426,18,68,151
1132614,2427,0,3,1
1132800,2428,0,0,0
1132801,2429,20,39,156
1132802,2430,20,45,199
1132803,2431,5,8,68
1132804,2432,10,19,142
1132805,2433,30,52,196
1132806,2434,17,27,137
1132807,2435,7,21,120
1132808,2436,20,25,125
1132809,2437,14,40,129
1132810,2438,0,0,0
1132900,2439,19,40,239
1132901,2440,5,21,53
1132902,2441,12,40,105
1132903,2442,7,18,116
1132904,2443,0,0,0
1132905,2444,4,7,30
1132910,2445,0,0,0
1132911,2446,4,4,9
1132913,2447,0,0,0
113291,2448,0,1,5
1133000,2449,10,16,227
1133001,2450,13,11,13
1133002,2451,38,25,31
1133003,2452,141,75,143
1133004,2453,83,74,252
1133005,2454,4,3,23
1133006,2455,11,17,211
1133007,2456,2,10,58
1133008,2457,4,10,82
1133009,2458,0,0,0
1133010,2459,22,16,19
1133011,2460,8,15,101
1133012,2461,13,7,4
1133013,2462,11,9,13
1133014,2463,21,34,24
1133015,2464,0,2,7
1133016,2465,9,30,142
1133017,2466,24,17,48
1133018,2467,92,50,57
1133019,2468,30,24,16
1133020,2469,1,4,30
1133021,2470,37,21,12
1133022,2471,50,23,24
1133023,2472,48,29,44
1133024,2473,62,32,27
1133025,2474,4,3,3
1133026,2475,41,21,16
1133027,2476,63,18,30
1133028,2477,44,30,20
1133029,2478,24,16,6
1133030,2479,1,0,2
1133031,2480,9,12,9
1133032,2481,13,22,73
1133033,2482,12,8,11
1133034,2483,75,33,36
1133035,2484,64,38,33
1133036,2485,2,0,0
1133037,2486,22,15,12
1133038,2487,57,35,51
1133039,2488,150,69,73
1133040,2489,35,29,24
1133041,2490,8,0,4
1133042,2491,57,22,26
1133043,2492,69,50,28
1133044,2493,108,71,54
1133045,2494,22,10,19
1133046,2495,137,70,168
1133047,2496,59,41,51
1133048,2497,164,69,64
1133049,2498,114,60,65
1133050,2499,80,37,43
1133051,2500,42,18,23
1133052,2501,108,46,50
1133053,2502,103,61,37
1133054,2503,304,130,186
1133055,2504,286,140,182
1133056,2505,290,128,172
1133057,2506,184,109,98
1133058,2507,170,118,98
1133059,2508,101,47,74
1133060,2509,126,53,68
1133061,2510,66,38,22
1133062,2511,105,61,50
1133063,2512,217,137,124
1133064,2513,250,104,114
1133065,2514,138,82,64
1133066,2515,124,68,49
1133067,2516,64,39,26
1133068,2517,240,99,117
1133069,2518,103,51,46
1133070,2519,157,88,58
1133071,2520,144,76,66
1133072,2521,3,0,3
1133073,2522,12,6,4
1133074,2523,7,13,10
1133075,2524,6,7,7
1133076,2525,0,0,0
1133077,2526,118,133,118
1133078,2527,129,108,78
1133079,2528,8,14,9
1133080,2529,30,26,31
1133081,2530,9,15,161
1133082,2531,113,66,55
1133083,2532,20,26,17
1133084,2533,13,35,126
1133085,2534,7,8,6
1133086,2535,8,17,251
1133087,2536,0,0,0
1133088,2537,3,0,9
1133089,2538,0,0,0
1133090,2539,11,22,122
1133091,2540,0,0,0
1133092,2541,76,55,49
1133093,2542,0,0,0
1133094,2543,0,1,0
1133095,2544,13,28,166
1133096,2545,11,28,190
1133097,2546,8,4,5
1133098,2547,11,13,9
1133099,2548,17,13,10
113304,2549,0,0,0
113306,2550,0,0,0
113304,2551,0,0,0
113304,2552,0,0,0
113306,2553,0,0,0
1133100,2554,118,117,84
1133101,2555,41,39,29
1133102,2556,108,81,83
1133103,2557,180,127,106
1133104,2558,134,118,111
1133105,2559,122,102,115
1133106,2560,164,138,90
1133107,2561,165,137,85
1133108,2562,55,53,91
1133109,2563,119,88,184
1133110,2564,174,128,127
1133111,2565,0,0,0
1133112,2566,4,0,0
1133113,2567,0,0,0
1133114,2568,0,0,0
1133115,2569,118,97,92
1133116,2570,0,0,0
1133117,2571,0,1,6
1133119,2572,0,0,0
113314,2573,0,0,0
113315,2574,0,0,0
1133200,2575,118,77,110
1133201,2576,52,47,68
1133202,2577,128,84,100
1133203,2578,93,77,99
1133204,2579,80,55,90
1133205,2580,111,80,69
1133206,2581,58,74,116
1133207,2582,54,58,86
1133208,2583,54,58,47
1133209,2584,3,3,8
1133210,2585,60,43,88
1133211,2586,16,21,42
113320,2587,0,0,0
113321,2588,0,0,0
113321,2589,0,0,0
113320,2590,0,0,0
113321,2591,0,0,0
1133304,2592,33,43,96
1133305,2593,85,69,101
1133306,2594,22,25,37
1133307,2595,23,33,20
1133308,2596,31,39,52
1133309,2597,40,47,58
1133310,2598,46,50,62
1133311,2599,66,47,73
1133312,2600,65,88,117
1133313,2601,106,112,106
1133314,2602,116,95,98
1133315,2603,27,25,24
1133316,2604,41,36,33
1133317,2605,71,53,50
1133318,2606,45,38,49
1133319,2607,3,2,3
1133321,2608,0,0,0
1133325,2609,60,60,59
1133327,2610,0,0,0
1133328,2611,0,0,0
1133500,2612,42,34,89
1133501,2613,0,0,0
1133503,2614,14,15,33
1133504,2615,8,6,15
1133600,2616,163,101,113
1133601,2617,206,107,143
1133602,2618,69,36,49
1133603,2619,19,14,28
1133604,2620,226,136,129
1133605,2621,162,89,96
1133606,2622,221,127,123
1133607,2623,387,241,224
1133608,2624,305,184,144
1133609,2625,249,145,126
1133610,2626,27,17,18
1133611,2627,64,45,37
1133612,2628,278,178,157
1133613,2629,24,13,16
1133614,2630,61,32,23
1133615,2631,197,132,129
1133616,2632,49,29,23
1133617,2633,193,113,72
1133618,2634,36,24,20
1133619,2635,4,3,2
1133620,2636,101,77,57
1133621,2637,43,29,29
1133701,2638,0,0,0
1133702,2639,0,0,0
1133800,2640,330,183,113
1133801,2641,4,9,7
1133802,2642,259,148,121
1133803,2643,199,128,97
1133805,2644,339,216,169
1133806,2645,143,89,70
1133807,2646,96,49,45
1133808,2647,151,117,135
1133809,2648,16,8,21
1133900,2649,168,110,88
1133920,2650,37,35,33
1133921,2651,73,73,70
1133922,2652,1,1,2
1133940,2653,50,48,41
1133950,2654,67,55,52
1133951,2655,140,90,75
1133952,2656,8,5,4
1133960,2657,46,69,93
1133961,2658,35,54,76
1133962,2659,56,76,152
1133963,2660,33,53,68
1133964,2661,34,53,66
1133965,2662,46,80,105
1133966,2663,62,68,123
1133967,2664,17,28,48
1133968,2665,62,63,115
1133969,2666,33,32,111
1133970,2667,36,75,125
1133971,2668,28,20,65
1133980,2669,33,54,103
1133981,2670,13,11,35
1133982,2671,30,34,88
1133983,2672,21,23,52
1133984,2673,11,20,38
1134000,2674,4,4,13
1134001,2675,18,35,72
1134002,2676,6,16,105
1134003,2677,1,3,3
1134004,2678,20,45,136
1134005,2679,7,25,44
1134006,2680,7,15,147
1134007,2681,4,4,28
1134008,2682,4,13,8
1134009,2683,5,37,62
1134010,2684,11,23,156
1134011,2685,2,17,73
1134012,2686,1,2,10
1134013,2687,1,0,48
1134014,2688,11,10,242
1134015,2689,78,58,152
1134016,2690,60,68,156
1134017,2691,7,10,66
1134018,2692,5,10,127
1134019,2693,51,50,174
1134020,2694,5,31,55
1134021,2695,22,54,341
1134022,2696,13,37,128
1134023,2697,0,0,0
1134024,2698,51,42,84
1134025,2699,16,5,9
1134026,2700,5,4,4
1134027,2701,0,8,7
1134028,2702,38,17,16
1134029,2703,1,1,0
1134030,2704,0,2,1
1134031,2705,106,35,68
1134033,2706,11,14,158
1134035,2707,34,35,168
1134036,2708,26,38,30
1134037,2709,5,7,12
1134038,2710,70,56,138
1134039,2711,26,18,9
1134040,2712,43,24,26
1134041,2713,23,23,14
1134043,2714,43,38,46
1134044,2715,25,25,29
1134046,2716,38,16,35
1134047,2717,48,22,22
1134048,2718,0,0,0
1134049,2719,0,0,0
1134050,2720,177,163,170
1134051,2721,0,0,0
1134052,2722,118,96,125
1134053,2723,10,13,17
1134054,2724,1,4,9
1134055,2725,57,64,73
1134056,2726,65,95,110
1134057,2727,54,54,63
1134058,2728,12,32,57
1134059,2729,5,8,11
1134060,2730,27,68,46
1134061,2731,5,57,51
1134062,2732,11,82,64
1134063,2733,17,78,270
1134065,2734,5,29,24
1134066,2735,4,13,24
1134067,2736,12,77,109
1134068,2737,9,72,126
1134069,2738,17,125,199
1134070,2739,13,50,63
1134071,2740,2,6,19
1134072,2741,3,19,10
1134073,2742,12,31,225
1134074,2743,20,62,473
1134075,2744,2,26,66
1134076,2745,39,80,143
1134077,2746,8,37,171
1134078,2747,7,39,188
1134079,2748,42,69,798
1134080,2749,8,11,141
1134081,2750,16,95,90
1134082,2751,7,9,33
1134083,2752,1,21,87
1134084,2753,7,16,30
1134085,2754,3,56,71
1134086,2755,24,103,76
1134087,2756,5,23,14
1134088,2757,3,7,6
1134090,2758,0,2,0
1134091,2759,0,0,0
1134092,2760,4,4,19
1134093,2761,2,1,2
1134094,2762,6,5,39
1134095,2763,1,1,6
1134096,2764,0,0,1
1134097,2765,11,22,74
1134098,2766,0,0,2
1134099,2767,4,8,112
113402,2768,0,0,0
113403,2769,0,0,0
1134100,2770,0,1,2
1134101,2771,1,1,1
1134107,2772,6,3,4
1134108,2773,3,7,0
1134109,2774,1,1,0
1134110,2775,53,24,32
1134111,2776,3,4,5
1134112,2777,1,1,0
1134113,2778,17,100,61
1134114,2779,9,62,44
1134115,2780,0,2,63
1134116,2781,0,0,0
1134117,2782,2,0,1
1134118,2783,0,0,0
1134119,2784,0,0,2
1134120,2785,1,11,14
1134122,2786,0,0,0
1134125,2787,0,0,0
1134126,2788,5,9,180
1134127,2789,1,2,42
1134128,2790,3,6,114
1134129,2791,3,10,126
1134130,2792,10,12,224
1134131,2793,18,40,249
1134135,2794,10,34,133
1134141,2795,1,2,30
1134143,2796,5,5,5
1134145,2797,0,0,0
1134147,2798,0,0,2
1134149,2799,1,1,10
1134152,2800,0,0,0
1134153,2801,3,5,51
1134157,2802,1,9,8
1134161,2803,26,25,28
1134166,2804,0,0,0
113411,2805,0,0,0
1134300,2806,5,48,41
1134500,2807,30,35,49
1134501,2808,38,46,92
1134502,2809,92,99,139
1134503,2810,61,117,130
1134504,2811,12,29,33
1134505,2812,43,52,81
1134506,2813,10,26,38
1134507,2814,41,28,26
1134508,2815,2,6,18
1134509,2816,16,22,28
1134510,2817,12,59,53
1134511,2818,17,37,40
1134512,2819,8,11,14
1134513,2820,23,42,47
1134514,2821,10,16,41
1134515,2822,11,36,46
1134516,2823,0,0,1
1134517,2824,32,51,139
1134518,2825,25,31,41
1134519,2826,109,145,192
1134520,2827,4,38,35
1134521,2828,81,106,154
1134522,2829,53,63,80
1134523,2830,14,18,39
1134525,2831,13,35,42
1134527,2832,14,37,29
1134528,2833,0,0,1
1134529,2834,14,26,33
1134530,2835,2,2,4
1134531,2836,4,11,8
1134532,2837,1,8,7
1134533,2838,7,22,20
1134534,2839,1,1,0
1134535,2840,11,24,24
1134536,2841,2,2,0
1134537,2842,1,1,0
1134538,2843,8,15,15
1134539,2844,0,0,0
1134541,2845,0,0,0
1134542,2846,0,0,0
1134554,2847,0,1,1
1134555,2848,0,0,1
1134557,2849,0,0,0
1134558,2850,0,0,0
1134559,2851,0,0,0
1134600,2852,22,30,55
1134601,2853,28,50,127
1134602,2854,18,38,61
1134603,2855,1,4,0
1134604,2856,26,50,65
1134605,2857,24,39,60
1134606,2858,18,44,92
1134607,2859,10,27,36
1134608,2860,38,66,133
1134609,2861,26,44,45
1134610,2862,17,32,104
1134611,2863,12,27,65
1134612,2864,1,9,14
1134613,2865,7,15,21
1134614,2866,5,5,20
1134615,2867,1,11,6
1134616,2868,5,22,30
1134617,2869,4,7,7
1134618,2870,2,5,16
1134619,2871,7,17,63
1134620,2872,19,21,55
1134621,2873,34,86,105
1134622,2874,16,20,61
1134623,2875,27,40,71
1134624,2876,12,22,44
1134625,2877,16,25,114
1134626,2878,12,31,151
1134627,2879,20,31,131
1134628,2880,26,40,55
1134629,2881,5,19,38
1134630,2882,11,27,75
1134631,2883,12,24,68
1134632,2884,22,30,53
1134633,2885,8,15,14
1134634,2886,14,37,110
1134639,2887,4,6,20
1134640,2888,25,51,97
1134641,2889,3,6,32
1134642,2890,0,0,7
1134644,2891,0,0,0
1134646,2892,2,6,18
1134648,2893,38,33,75
1134649,2894,0,0,1
1134651,2895,0,1,0
1134652,2896,5,10,17
1134653,2897,0,2,0
1134654,2898,7,26,34
1134655,2899,0,0,0
1134656,2900,0,1,2
1134657,2901,1,1,3
1134658,2902,1,1,2
1134659,2903,2,3,6
1134660,2904,0,0,2
1134661,2905,3,15,15
1134662,2906,2,11,10
1134663,2907,0,0,0
1134664,2908,4,7,34
1134665,2909,0,0,0
1134667,2910,0,0,0
1134673,2911,0,0,0
1134674,2912,0,0,0
1134675,2913,1,3,2
1134677,2914,0,3,5
1134678,2915,0,1,1
1150001,2916,1,11,4
1150002,2917,6,19,11
1150003,2918,5,11,10
1150004,2919,5,12,7
1150005,2920,1,2,2
1150011,2921,0,0,0
1150012,2922,0,0,0
1150013,2923,0,0,0
1150017,2924,0,0,0
1170001,2925,2,6,12
1170002,2926,3,15,7
1170003,2927,8,9,16
1170004,2928,8,17,7
1190001,2929,4,7,9
1190003,2930,5,5,8
1190004,2931,4,4,10
1190005,2932,4,2,7
1190007,2933,3,3,2
1190009,2934,0,3,2
1190010,2935,6,6,9
1211000,2936,10,19,35
1211001,2937,8,9,19
1211002,2938,0,2,3
1211003,2939,8,9,23
1211004,2940,12,16,41
1211005,2941,0,0,0
1211006,2942,0,0,0
1211007,2943,7,8,37
1211008,2944,22,20,60
1211009,2945,0,0,2
1211010,2946,21,21,79
1211011,2947,7,10,27
1211012,2948,5,7,20
1211013,2949,13,24,67
1211014,2950,2,3,6
1211015,2951,2,1,3
1211016,2952,13,15,53
1211017,2953,9,19,37
1211018,2954,0,1,0
1211019,2955,9,22,68
1211020,2956,5,25,68
1211021,2957,17,20,81
1211022,2958,13,15,60
1211023,2959,10,12,55
1211024,2960,22,40,110
1211025,2961,7,13,40
1211026,2962,18,27,147
1211027,2963,10,13,78
1211028,2964,3,5,25
1211029,2965,1,1,7
1211030,2966,0,0,0
1211031,2967,34,50,93
1211032,2968,18,34,137
1211033,2969,8,24,86
1211034,2970,4,11,25
1211035,2971,30,53,89
1211036,2972,28,51,114
1211037,2973,8,16,36
1211038,2974,11,15,30
1211039,2975,4,9,13
1211040,2976,5,11,29
1211041,2977,38,46,126
1211042,2978,31,33,76
1211044,2979,6,8,33
1211045,2980,14,19,73
1211046,2981,1,4,12
1211047,2982,41,86,124
1211048,2983,13,32,42
1211049,2984,25,69,140
1211050,2985,1,3,5
1211051,2986,3,4,5
1211052,2987,5,12,25
1211053,2988,0,0,0
1211054,2989,12,22,69
1211055,2990,5,10,27
1211056,2991,7,12,68
1211057,2992,3,7,32
1211058,2993,10,26,106
1211059,2994,23,40,247
1211060,2995,12,16,138
1211061,2996,24,39,203
1211062,2997,11,46,297
1211063,2998,14,23,105
1211064,2999,13,31,314
1211065,3000,9,12,43
1211066,3001,2,2,8
1211172,3002,18,30,142
1211224,3003,4,6,10
1211225,3004,4,4,10
1212067,3005,7,17,72
1212068,3006,26,47,112
1212069,3007,11,20,84
1212070,3008,0,0,0
1212071,3009,20,49,146
1212072,3010,18,33,113
1212073,3011,26,36,119
1212074,3012,9,15,65
1212075,3013,2,8,13
1212076,3014,32,51,86
1212077,3015,20,43,86
1212078,3016,12,20,36
1212079,3017,3,21,76
1212080,3018,10,18,69
1212081,3019,10,23,79
1212082,3020,3,5,25
1212083,3021,3,8,38
1212084,3022,15,48,98
1212085,3023,19,32,138
1212086,3024,24,40,74
1212087,3025,18,42,127
1212088,3026,12,24,67
1212089,3027,13,19,92
1212090,3028,28,47,126
1212091,3029,16,28,153
1212092,3030,9,22,62
1212093,3031,0,0,6
1212094,3032,21,31,71
1212095,3033,13,27,100
1212096,3034,16,31,130
1212097,3035,28,46,175
1212098,3036,1,2,8
1212099,3037,7,29,97
1212100,3038,43,65,159
1212101,3039,42,66,154
1212102,3040,59,95,196
1212103,3041,17,34,85
1212104,3042,36,44,140
1212105,3043,23,25,115
1212106,3044,30,50,166
1212107,3045,20,36,180
1212108,3046,13,17,94
1212109,3047,29,46,181
1212110,3048,22,40,139
1212111,3049,36,58,174
1212112,3050,13,19,70
1212113,3051,28,38,189
1212114,3052,14,22,80
1213115,3053,24,39,80
1213116,3054,33,65,133
1213117,3055,3,4,14
1213118,3056,15,25,62
1213119,3057,2,2,4
1213120,3058,13,19,55
1213121,3059,14,18,37
1213122,3060,11,33,58
1213123,3061,40,80,145
1213124,3062,0,1,9
1213125,3063,3,4,16
1213126,3064,13,28,79
1213127,3065,28,45,117
1213128,3066,19,32,105
1213129,3067,23,31,106
1213130,3068,37,58,125
1213131,3069,32,51,151
1213132,3070,45,71,188
1213133,3071,23,37,133
1213134,3072,20,29,86
1213135,3073,33,49,134
1213136,3074,27,23,89
1213137,3075,27,42,90
1213138,3076,11,28,108
1213139,3077,24,24,161
1213140,3078,14,19,128
1213141,3079,5,19,106
1213142,3080,1,3,17
1213143,3081,8,9,78
1213144,3082,15,34,139
1213145,3083,24,31,192
1213146,3084,25,20,89
1213147,3085,17,37,158
1213148,3086,13,29,105
1213149,3087,9,16,64
1213150,3088,15,28,119
1213151,3089,22,24,108
1213152,3090,11,22,110
1213153,3091,16,35,161
1213154,3092,7,25,144
1213155,3093,22,35,181
1213156,3094,3,6,27
1213157,3095,0,2,11
1213158,3096,20,31,90
1213159,3097,30,35,130
1213160,3098,29,34,117
1214043,3099,22,29,100
1214161,3100,26,36,135
1214162,3101,2,3,23
1214162,3102,0,0,6
1214163,3103,13,17,97
1214164,3104,31,38,209
1214165,3105,41,52,174
1214166,3106,14,27,133
1214167,3107,24,40,265
1214168,3108,11,25,234
1214169,3109,24,51,317
1214170,3110,7,45,304
1214171,3111,6,26,183
1214173,3112,0,0,0
1214174,3113,9,7,75
1214175,3114,0,0,13
1214176,3115,25,35,213
1214177,3116,2,4,50
1214178,3117,14,31,184
1214179,3118,11,34,134
1214180,3119,10,10,65
1214181,3120,21,39,187
1214182,3121,0,0,3
1214183,3122,1,2,10
1214184,3123,13,22,89
1214185,3124,7,13,79
1214186,3125,18,19,131
1214187,3126,4,12,97
1214188,3127,0,0,0
1214189,3128,2,2,18
1214190,3129,12,22,54
1214191,3130,7,12,28
1214192,3131,10,9,21
1214193,3132,15,12,51
1214194,3133,2,3,7
1214195,3134,1,2,4
1214196,3135,2,3,49
1214197,3136,3,7,27
1214198,3137,4,12,55
1214199,3138,0,0,2
1214200,3139,0,0,2
1214201,3140,6,11,38
1214202,3141,20,24,110
1214203,3142,16,15,78
1214204,3143,12,16,119
1214205,3144,7,15,83
1214205,3145,0,0,0
1214206,3146,15,10,96
1214207,3147,1,1,25
1214208,3148,2,3,13
1214209,3149,6,9,52
1214210,3150,7,11,85
1214211,3151,9,24,128
1214212,3152,3,1,21
1214213,3153,2,5,31
1214214,3154,8,8,39
1214215,3155,11,15,40
1214216,3156,2,3,14
1214217,3157,4,4,17
1214218,3158,1,1,4
1214219,3159,12,9,48
1214220,3160,12,25,42
1214220,3161,0,0,1
1214220,3162,0,0,0
1214221,3163,1,0,3
1214222,3164,7,11,44
1214223,3165,9,11,40
1214226,3166,7,12,62
1219100,3167,0,0,0
1219101,3168,0,0,0
1219102,3169,0,0,0
1219200,3170,0,0,0
1219201,3171,0,0,0
1219202,3172,0,0,0
1219202,3173,0,0,0
1219203,3174,0,0,0
1219204,3175,0,0,0
1219300,3176,0,0,0
1219301,3177,0,0,0
1219302,3178,0,0,0
1219303,3179,0,0,0
1219304,3180,0,0,0
1230101,3181,2,6,10
1230102,3182,1,14,6
1230201,3183,0,5,2
1230202,3184,5,13,11
1230203,3185,2,4,7
1230301,3186,5,5,8
1230302,3187,1,8,6
1230303,3188,1,4,3
1230401,3189,11,7,18
1230402,3190,4,7,5
1250001,3191,0,0,0
1250002,3192,0,0,0
1250003,3193,4,0,2
1250004,3194,2,0,3
1250005,3195,0,2,0
1250006,3196,1,1,4
1270001,3197,92,237,143
1270002,3198,88,235,128
1270003,3199,27,75,41
1270004,3200,5,12,12
1270005,3201,53,233,139
1270006,3202,65,157,76
1270007,3203,47,131,58
1290101,3204,5,4,5
1290201,3205,3,1,4
1290301,3206,0,0,0
1290303,3207,1,0,1
1290401,3208,3,2,3
1310001,3209,69,254,310
1310002,3210,39,243,171
1310003,3211,23,104,124
1310004,3212,13,34,24
1310005,3213,17,43,48
1310006,3214,1,21,14
1310007,3215,5,11,18
1310008,3216,133,334,189
1310009,3217,69,162,223
1330001,3218,12,9,23
1330002,3219,2,2,2
1330003,3220,11,6,20
1330004,3221,1,1,6
1330005,3222,5,1,2
1330006,3223,3,4,2
1330007,3224,10,5,18
1330008,3225,15,15,25
1330009,3226,3,2,4
1350101,3227,13,14,18
1350102,3228,2,10,17
1350103,3229,3,6,9
1350104,3230,11,20,17
1350108,3231,10,12,13
1350109,3232,2,1,3
1350110,3233,7,13,21
1350111,3234,7,12,16
1350201,3235,3,10,37
1350202,3236,13,18,48
1350203,3237,13,21,50
1350204,3238,11,14,48
1350205,3239,2,14,27
1350206,3240,3,9,18
1350207,3241,0,1,4
1350208,3242,8,16,46
1350209,3243,4,3,20
1350301,3244,13,29,41
1350302,3245,6,5,20
1350303,3246,7,13,15
1350304,3247,8,6,8
1350305,3248,1,8,14
1350306,3249,0,8,11
1350307,3250,1,18,30
1350308,3251,2,4,20
1350309,3252,5,11,19
1350310,3253,6,4,15
1350311,3254,2,12,12
1350312,3255,8,12,26
1350313,3256,2,4,7
1350314,3257,11,13,17
1350401,3258,7,16,11
1350402,3259,38,34,34
1350403,3260,63,98,58
1350404,3261,10,24,21
1350405,3262,12,36,18
1350406,3263,16,57,31
1350407,3264,7,14,16
1350408,3265,4,13,8
1350409,3266,2,23,17
1350412,3267,8,5,13
1370001,3268,0,1,1
1370002,3269,1,4,3
1370003,3270,2,3,4
1370004,3271,4,2,6
1391001,3272,74,86,38
1391002,3273,0,0,3
1391003,3274,25,27,35
1391004,3275,0,0,0
1391005,3276,17,20,59
1391006,3277,21,20,49
1391007,3278,14,17,39
1391008,3279,0,1,4
1391009,3280,23,23,44
1391010,3281,17,29,43
1391011,3282,32,37,50
1391012,3283,35,48,43
