CNTYVTD,VTDKEY,AllredD_22G_U.S. Rep 32,SwadR_22G_U.S. Rep 32,AllredD_22G_U.S. Rep 32_Percentage,SwadR_22G_U.S. Rep 32_Percentage
1131412,2169,70,65,0.5185185185185185,0.48148148148148145
1131703,2173,741,419,0.6387931034482759,0.3612068965517241
1131704,2174,360,203,0.6394316163410302,0.3605683836589698
1131705,2175,508,320,0.6135265700483091,0.3864734299516908
1131706,2176,593,390,0.6032553407934893,0.3967446592065107
1131707,2177,88,32,0.7333333333333333,0.26666666666666666
1131730,2200,0,0,0.0,0.0
1131731,2201,0,0,0.0,0.0
1131748,2218,591,295,0.6670428893905191,0.3329571106094808
1131749,2219,968,599,0.6177409061901723,0.3822590938098277
1131750,2220,736,666,0.5249643366619116,0.47503566333808844
1131751,2221,1595,1192,0.5722999641191245,0.4277000358808755
1131752,2222,1023,702,0.5930434782608696,0.40695652173913044
1132017,2237,512,216,0.7032967032967034,0.2967032967032967
1132020,2240,966,577,0.626053143227479,0.37394685677252104
1132031,2250,1213,665,0.6458998935037273,0.3541001064962726
1132032,2251,760,358,0.6797853309481217,0.32021466905187834
1132033,2252,741,477,0.6083743842364532,0.3916256157635468
1132035,2253,646,385,0.6265761396702231,0.3734238603297769
1132038,2255,1248,823,0.6026074360212458,0.3973925639787542
1132039,2256,1187,591,0.6676040494938132,0.3323959505061867
1132040,2257,739,472,0.6102394715111478,0.3897605284888522
1132041,2258,1225,1467,0.4550520059435364,0.5449479940564635
1132042,2259,1242,763,0.6194513715710723,0.38054862842892767
1132043,2260,833,570,0.5937277263007841,0.406272273699216
1132044,2261,379,282,0.573373676248109,0.4266263237518911
1132045,2262,803,509,0.6120426829268293,0.3879573170731707
1132048,2265,1272,671,0.6546577457539887,0.34534225424601134
1132053,2270,812,315,0.7204968944099379,0.2795031055900621
1132054,2271,757,286,0.725790987535954,0.274209012464046
1132055,2272,357,173,0.6735849056603773,0.3264150943396226
1132079,2279,551,140,0.7973950795947902,0.20260492040520983
1132081,2281,249,32,0.8861209964412812,0.11387900355871886
1132082,2282,951,235,0.8018549747048904,0.1981450252951096
1132083,2283,579,284,0.6709154113557358,0.3290845886442642
1132084,2284,150,33,0.819672131147541,0.18032786885245902
1132085,2285,108,45,0.7058823529411765,0.29411764705882354
1132086,2286,1191,499,0.7047337278106509,0.2952662721893491
1132087,2287,1183,392,0.7511111111111111,0.24888888888888888
1132108,2306,210,164,0.5614973262032086,0.4385026737967914
1132118,2316,305,44,0.8739255014326648,0.12607449856733524
1132119,2317,71,49,0.5916666666666667,0.4083333333333333
1132120,2318,603,318,0.6547231270358306,0.34527687296416937
1132121,2319,240,36,0.8695652173913043,0.13043478260869565
1132122,2320,401,210,0.6563011456628478,0.3436988543371522
1132123,2321,366,127,0.742393509127789,0.25760649087221094
1132124,2322,540,119,0.8194233687405159,0.18057663125948406
1132125,2323,965,93,0.9120982986767486,0.08790170132325142
1132126,2324,236,78,0.7515923566878981,0.2484076433121019
1132127,2325,984,476,0.673972602739726,0.32602739726027397
1132128,2326,965,422,0.695746214852199,0.304253785147801
1132129,2327,147,30,0.8305084745762712,0.1694915254237288
1132130,2328,306,113,0.7303102625298329,0.26968973747016706
1132131,2329,538,124,0.8126888217522659,0.18731117824773413
1132132,2330,211,83,0.717687074829932,0.282312925170068
1132133,2331,40,9,0.8163265306122449,0.1836734693877551
1132134,2332,544,171,0.7608391608391608,0.23916083916083916
1132137,2333,305,69,0.8155080213903744,0.18449197860962566
1132138,2334,195,64,0.752895752895753,0.2471042471042471
1132139,2335,165,50,0.7674418604651163,0.23255813953488372
1132140,2336,176,47,0.7892376681614349,0.21076233183856502
1132141,2337,222,68,0.7655172413793103,0.23448275862068965
1132142,2338,302,91,0.7684478371501272,0.23155216284987276
1132143,2339,110,57,0.6586826347305389,0.3413173652694611
1132144,2340,577,370,0.6092925026399155,0.3907074973600845
1132145,2341,975,542,0.6427158866183257,0.3572841133816744
1132146,2342,801,303,0.7255434782608695,0.27445652173913043
1132147,2343,840,447,0.6526806526806527,0.3473193473193473
1132148,2344,249,61,0.8032258064516129,0.1967741935483871
1132149,2345,687,182,0.7905638665132336,0.2094361334867664
1132150,2346,374,99,0.7906976744186046,0.20930232558139536
1132151,2347,87,41,0.6796875,0.3203125
1132152,2348,664,237,0.7369589345172031,0.2630410654827969
1132153,2349,447,161,0.7351973684210527,0.26480263157894735
1132154,2350,8,5,0.6153846153846154,0.38461538461538464
1132155,2351,1010,395,0.7188612099644128,0.28113879003558717
1132305,2367,730,354,0.6734317343173432,0.32656826568265684
1132402,2380,837,683,0.5506578947368421,0.4493421052631579
1132403,2381,0,1,0.0,1.0
1132404,2382,502,358,0.5837209302325581,0.41627906976744183
1132406,2384,955,625,0.6044303797468354,0.39556962025316456
1132410,2388,447,256,0.635846372688478,0.36415362731152207
1132417,2391,56,53,0.5137614678899083,0.48623853211009177
1132501,2393,484,443,0.5221143473570659,0.4778856526429342
1132502,2394,549,764,0.4181264280274181,0.5818735719725818
1132505,2397,678,475,0.588031222896791,0.411968777103209
1132508,2400,1058,512,0.6738853503184713,0.32611464968152865
1132509,2401,964,895,0.5185583647122108,0.48144163528778916
1132510,2402,643,401,0.6159003831417624,0.38409961685823757
1132511,2403,661,519,0.5601694915254237,0.4398305084745763
1132512,2404,458,370,0.5531400966183575,0.4468599033816425
1132513,2405,802,550,0.5931952662721893,0.4068047337278107
1132514,2406,850,673,0.5581089954038083,0.44189100459619174
1132517,2408,764,289,0.7255460588793922,0.2744539411206078
1132518,2409,649,467,0.5815412186379928,0.41845878136200715
1132519,2410,733,368,0.6657584014532243,0.33424159854677565
1132520,2411,1145,538,0.6803327391562686,0.3196672608437314
1132521,2412,782,505,0.6076146076146076,0.3923853923853924
1132523,2413,499,206,0.7078014184397163,0.29219858156028367
1132901,2440,450,174,0.7211538461538461,0.27884615384615385
1132902,2441,519,288,0.6431226765799256,0.35687732342007433
1132903,2442,930,484,0.6577086280056577,0.3422913719943423
1132913,2447,0,2,0.0,1.0
113291,2448,0,0,0.0,0.0
1133116,2570,1,0,1.0,0.0
1133308,2596,445,310,0.5894039735099338,0.4105960264900662
1133314,2602,1031,501,0.672976501305483,0.32702349869451697
1133327,2610,4,0,1.0,0.0
1133328,2611,9,7,0.5625,0.4375
1212100,3038,951,379,0.7150375939849624,0.2849624060150376
1212101,3039,1009,352,0.7413666421748715,0.2586333578251286
1212102,3040,1266,681,0.650231124807396,0.349768875192604
1212103,3041,637,408,0.6095693779904306,0.39043062200956935
1212109,3047,1033,702,0.5953890489913545,0.4046109510086455
