CNTYVTD,VTDKEY,CarterR_18P_U.S. Rep 31,SweeneyR_18P_U.S. Rep 31,CarterR_18P_U.S. Rep 31_Percentage,SweeneyR_18P_U.S. Rep 31_Percentage
270412,249,26,5,0.8387096774193549,0.16129032258064516
270414,251,0,0,0.0,0.0
270415,252,121,37,0.7658227848101266,0.23417721518987342
270419,253,142,33,0.8114285714285714,0.18857142857142858
4910116,9460,86,36,0.7049180327868853,0.29508196721311475
4910116,9461,0,0,0.0,0.0
4910117,9462,106,62,0.6309523809523809,0.36904761904761907
4910118,9463,184,88,0.6764705882352942,0.3235294117647059
4910119,9464,284,110,0.7208121827411168,0.27918781725888325
4910122,9465,45,17,0.7258064516129032,0.27419354838709675
4910123,9466,143,61,0.7009803921568627,0.29901960784313725
4910135,9467,94,29,0.7642276422764228,0.23577235772357724
4910136,9468,4,1,0.8,0.2
4910138,9469,181,67,0.7298387096774194,0.2701612903225806
4910139,9470,133,48,0.7348066298342542,0.26519337016574585
4910143,9471,13,6,0.6842105263157895,0.3157894736842105
4910144,9472,32,13,0.7111111111111111,0.28888888888888886
4910145,9473,121,51,0.7034883720930233,0.29651162790697677
4910146,9474,128,64,0.6666666666666666,0.3333333333333333
4910147,9475,158,84,0.6528925619834711,0.34710743801652894
4910149,9476,83,29,0.7410714285714286,0.25892857142857145
4910150,9477,185,73,0.7170542635658915,0.28294573643410853
4910151,9478,183,84,0.6853932584269663,0.3146067415730337
4910155,9479,109,39,0.7364864864864865,0.2635135135135135
4910162,9480,158,69,0.6960352422907489,0.3039647577092511
4910163,9481,92,39,0.7022900763358778,0.29770992366412213
4910164,9482,14,7,0.6666666666666666,0.3333333333333333
4910166,9483,94,44,0.6811594202898551,0.3188405797101449
4910173,9484,161,63,0.71875,0.28125
4910174,9485,54,27,0.6666666666666666,0.3333333333333333
4910175,9486,149,45,0.7680412371134021,0.23195876288659795
4910180,9487,172,91,0.6539923954372624,0.34600760456273766
4910181,9488,83,43,0.6587301587301587,0.3412698412698413
4910182,9489,119,34,0.7777777777777778,0.2222222222222222
4910184,9490,65,28,0.6989247311827957,0.3010752688172043
4910186,9491,132,64,0.673469387755102,0.32653061224489793
4910189,9492,146,62,0.7019230769230769,0.2980769230769231
4910191,9493,33,14,0.7021276595744681,0.2978723404255319
4910192,9494,25,10,0.7142857142857143,0.2857142857142857
4910198,9495,4,2,0.6666666666666666,0.3333333333333333
4910201,9496,170,83,0.6719367588932806,0.32806324110671936
4910202,9497,44,19,0.6984126984126984,0.30158730158730157
4910203,9498,4,2,0.6666666666666666,0.3333333333333333
4910204,9499,167,89,0.65234375,0.34765625
4910205,9500,10,3,0.7692307692307693,0.23076923076923078
4910206,9501,135,85,0.6136363636363636,0.38636363636363635
4910207,9502,209,123,0.6295180722891566,0.3704819277108434
4910208,9503,112,58,0.6588235294117647,0.3411764705882353
4910209,9504,244,148,0.6224489795918368,0.37755102040816324
4910210,9505,56,43,0.5656565656565656,0.43434343434343436
4910216,9506,95,40,0.7037037037037037,0.2962962962962963
4910229,9507,13,7,0.65,0.35
4910230,9508,203,88,0.697594501718213,0.3024054982817869
4910231,9509,95,57,0.625,0.375
4910243,9510,70,55,0.56,0.44
4910244,9511,99,74,0.5722543352601156,0.4277456647398844
4910245,9512,159,103,0.6068702290076335,0.3931297709923664
4910251,9513,7,4,0.6363636363636364,0.36363636363636365
4910252,9514,160,94,0.6299212598425197,0.3700787401574803
4910253,9515,268,145,0.648910411622276,0.35108958837772397
4910254,9516,207,110,0.6529968454258676,0.3470031545741325
4910255,9517,58,44,0.5686274509803921,0.43137254901960786
4910256,9518,63,31,0.6702127659574468,0.32978723404255317
4910257,9519,128,80,0.6153846153846154,0.38461538461538464
4910258,9520,4,2,0.6666666666666666,0.3333333333333333
4910259,9521,59,28,0.6781609195402298,0.3218390804597701
4910261,9522,122,61,0.6666666666666666,0.3333333333333333
4910262,9523,86,39,0.688,0.312
4910263,9524,131,57,0.6968085106382979,0.30319148936170215
4910264,9525,142,50,0.7395833333333334,0.2604166666666667
4910266,9526,139,61,0.695,0.305
4910267,9527,41,30,0.5774647887323944,0.4225352112676056
4910276,9528,125,53,0.702247191011236,0.29775280898876405
4910277,9529,297,139,0.6811926605504587,0.31880733944954126
4910278,9530,302,158,0.6565217391304348,0.34347826086956523
4910279,9531,7,2,0.7777777777777778,0.2222222222222222
4910283,9532,180,96,0.6521739130434783,0.34782608695652173
4910284,9533,230,102,0.6927710843373494,0.3072289156626506
4910287,9534,158,68,0.6991150442477876,0.3008849557522124
4910301,9535,201,90,0.6907216494845361,0.30927835051546393
4910302,9536,50,16,0.7575757575757576,0.24242424242424243
4910303,9537,122,47,0.7218934911242604,0.2781065088757396
4910305,9538,73,66,0.5251798561151079,0.4748201438848921
4910306,9539,291,290,0.5008605851979346,0.4991394148020654
4910307,9540,64,47,0.5765765765765766,0.42342342342342343
4910308,9541,101,82,0.5519125683060109,0.44808743169398907
4910309,9542,246,209,0.5406593406593406,0.4593406593406593
4910310,9543,171,90,0.6551724137931034,0.3448275862068966
4910311,9544,8,3,0.7272727272727273,0.2727272727272727
4910312,9545,71,86,0.45222929936305734,0.5477707006369427
4910314,9546,188,116,0.618421052631579,0.3815789473684211
4910317,9547,97,38,0.7185185185185186,0.2814814814814815
4910318,9548,35,16,0.6862745098039216,0.3137254901960784
4910319,9549,15,7,0.6818181818181818,0.3181818181818182
4910320,9550,117,53,0.6882352941176471,0.31176470588235294
4910321,9551,2,1,0.6666666666666666,0.3333333333333333
4910322,9552,142,57,0.7135678391959799,0.2864321608040201
4910323,9553,8,4,0.6666666666666666,0.3333333333333333
4910331,9554,62,28,0.6888888888888889,0.3111111111111111
4910332,9555,139,71,0.6619047619047619,0.3380952380952381
4910333,9556,33,14,0.7021276595744681,0.2978723404255319
4910338,9557,247,86,0.7417417417417418,0.25825825825825827
4910340,9558,141,62,0.6945812807881774,0.3054187192118227
4910341,9559,243,161,0.6014851485148515,0.39851485148514854
4910342,9560,53,32,0.6235294117647059,0.3764705882352941
4910343,9561,212,149,0.5872576177285319,0.41274238227146814
4910344,9562,107,84,0.5602094240837696,0.4397905759162304
4910345,9563,59,42,0.5841584158415841,0.4158415841584158
4910346,9564,88,70,0.5569620253164557,0.4430379746835443
4910360,9565,232,110,0.6783625730994152,0.3216374269005848
4910367,9566,4,2,0.6666666666666666,0.3333333333333333
4910368,9567,121,63,0.657608695652174,0.3423913043478261
4910369,9568,135,80,0.627906976744186,0.37209302325581395
4910370,9569,139,86,0.6177777777777778,0.38222222222222224
4910371,9570,269,237,0.5316205533596838,0.4683794466403162
4910372,9571,275,128,0.6823821339950372,0.3176178660049628
4910379,9572,393,324,0.5481171548117155,0.45188284518828453
4910380,9573,4,3,0.5714285714285714,0.42857142857142855
4910381,9574,471,619,0.43211009174311926,0.5678899082568807
4910390,9575,264,125,0.6786632390745502,0.3213367609254499
4910390,9576,0,0,0.0,0.0
4910391,9577,156,139,0.5288135593220339,0.4711864406779661
4910392,9578,310,294,0.5132450331125827,0.4867549668874172
4910393,9579,503,615,0.44991055456171736,0.5500894454382826
4910394,9580,427,623,0.4066666666666667,0.5933333333333334
4910395,9581,22,23,0.4888888888888889,0.5111111111111111
4910396,9582,204,302,0.4031620553359684,0.5968379446640316
4910397,9583,221,304,0.42095238095238097,0.579047619047619
4910398,9584,195,96,0.6701030927835051,0.32989690721649484
4910399,9585,46,19,0.7076923076923077,0.2923076923076923
4910401,9586,149,74,0.6681614349775785,0.33183856502242154
4910402,9587,161,90,0.6414342629482072,0.35856573705179284
4910403,9588,61,30,0.6703296703296703,0.32967032967032966
4910409,9589,15,8,0.6521739130434783,0.34782608695652173
4910410,9590,203,141,0.5901162790697675,0.40988372093023256
4910411,9591,225,175,0.5625,0.4375
4910412,9592,61,29,0.6777777777777778,0.32222222222222224
4910413,9593,305,132,0.6979405034324943,0.30205949656750575
4910415,9594,155,110,0.5849056603773585,0.41509433962264153
4910418,9595,1,0,1.0,0.0
4910419,9596,21,13,0.6176470588235294,0.38235294117647056
4910420,9597,100,53,0.6535947712418301,0.3464052287581699
4910421,9598,74,40,0.6491228070175439,0.3508771929824561
4910422,9599,141,80,0.6380090497737556,0.36199095022624433
4910424,9600,492,211,0.6998577524893315,0.30014224751066854
4910425,9601,54,34,0.6136363636363636,0.38636363636363635
4910426,9602,72,31,0.6990291262135923,0.30097087378640774
4910427,9603,232,129,0.6426592797783933,0.3573407202216066
4910428,9604,246,123,0.6666666666666666,0.3333333333333333
4910429,9605,114,69,0.6229508196721312,0.3770491803278688
4910432,9606,18,11,0.6206896551724138,0.3793103448275862
4910433,9607,250,154,0.6188118811881188,0.3811881188118812
4910434,9608,126,57,0.6885245901639344,0.3114754098360656
4910436,9609,79,33,0.7053571428571429,0.29464285714285715
4910437,9610,298,129,0.6978922716627635,0.30210772833723654
4910456,9611,103,50,0.673202614379085,0.32679738562091504
4910468,9612,38,22,0.6333333333333333,0.36666666666666664
4910470,9613,134,71,0.6536585365853659,0.3463414634146341
4910471,9614,15,7,0.6818181818181818,0.3181818181818182
4910472,9615,35,20,0.6363636363636364,0.36363636363636365
4910473,9616,73,39,0.6517857142857143,0.3482142857142857
4910482,9617,380,103,0.7867494824016563,0.21325051759834368
4910484,9618,144,67,0.6824644549763034,0.3175355450236967
4910485,9619,80,33,0.7079646017699115,0.2920353982300885
4910486,9620,53,35,0.6022727272727273,0.3977272727272727
4910487,9621,9,2,0.8181818181818182,0.18181818181818182
4910488,9622,215,82,0.7239057239057239,0.2760942760942761
4910489,9623,239,107,0.6907514450867052,0.3092485549132948
4910490,9624,230,122,0.6534090909090909,0.3465909090909091
4910491,9625,151,63,0.705607476635514,0.29439252336448596
