CNTYVTD,VTDKEY,QuintanillaD_22P_U.S. Rep 33,VeaseyD_22P_U.S. Rep 33,QuintanillaD_22P_U.S. Rep 33_Percentage,VeaseyD_22P_U.S. Rep 33_Percentage
1134120,2785,13,7,0.65,0.35
1134125,2787,0,0,0.0,0.0
1134147,2798,0,1,0.0,1.0
1134149,2799,0,3,0.0,1.0
1134152,2800,0,0,0.0,0.0
1134153,2801,6,12,0.3333333333333333,0.6666666666666666
1134157,2802,8,5,0.6153846153846154,0.38461538461538464
1134300,2806,47,36,0.5662650602409639,0.43373493975903615
1134507,2814,10,84,0.10638297872340426,0.8936170212765957
1134508,2815,9,12,0.42857142857142855,0.5714285714285714
1134510,2817,59,53,0.5267857142857143,0.4732142857142857
1134515,2822,42,25,0.6268656716417911,0.373134328358209
1134516,2823,0,0,0.0,0.0
1134527,2832,13,26,0.3333333333333333,0.6666666666666666
1134530,2835,8,7,0.5333333333333333,0.4666666666666667
1134531,2836,9,10,0.47368421052631576,0.5263157894736842
1134532,2837,5,11,0.3125,0.6875
1134533,2838,20,29,0.40816326530612246,0.5918367346938775
1134534,2839,1,1,0.5,0.5
1134535,2840,26,33,0.4406779661016949,0.559322033898305
1134554,2847,1,4,0.2,0.8
1134555,2848,2,1,0.6666666666666666,0.3333333333333333
1134557,2849,0,0,0.0,0.0
1134558,2850,0,0,0.0,0.0
1134559,2851,0,0,0.0,0.0
1134603,2855,2,1,0.6666666666666666,0.3333333333333333
1134607,2859,37,45,0.45121951219512196,0.5487804878048781
1134608,2860,98,130,0.4298245614035088,0.5701754385964912
1134613,2865,15,18,0.45454545454545453,0.5454545454545454
1134616,2868,22,33,0.4,0.6
1134621,2873,69,86,0.44516129032258067,0.5548387096774193
1134628,2880,57,63,0.475,0.525
1134632,2884,38,51,0.42696629213483145,0.5730337078651685
1134633,2885,22,26,0.4583333333333333,0.5416666666666666
1134640,2888,0,0,0.0,0.0
1134641,2889,70,86,0.44871794871794873,0.5512820512820513
1134648,2893,0,0,0.0,0.0
1134649,2894,59,96,0.38064516129032255,0.6193548387096774
1134651,2895,2,0,1.0,0.0
1134652,2896,13,21,0.38235294117647056,0.6176470588235294
1134656,2900,4,2,0.6666666666666666,0.3333333333333333
1134661,2905,9,30,0.23076923076923078,0.7692307692307693
1134662,2906,2,12,0.14285714285714285,0.8571428571428571
1134675,2913,3,0,1.0,0.0
1134677,2914,7,9,0.4375,0.5625
1134678,2915,2,8,0.2,0.8
4391005,7897,8,88,0.08333333333333333,0.9166666666666666
4391008,7898,1,30,0.03225806451612903,0.967741935483871
4391010,7900,2,11,0.15384615384615385,0.8461538461538461
4391011,7901,12,41,0.22641509433962265,0.7735849056603774
4391012,7902,56,194,0.224,0.776
4391013,7903,29,297,0.08895705521472393,0.911042944785276
4391019,7906,0,28,0.0,1.0
4391025,7911,23,131,0.14935064935064934,0.8506493506493507
4391059,7914,11,61,0.1527777777777778,0.8472222222222222
4391066,7918,19,55,0.25675675675675674,0.7432432432432432
4391074,7920,13,41,0.24074074074074073,0.7592592592592593
4391075,7921,11,33,0.25,0.75
4391078,7923,11,87,0.11224489795918367,0.8877551020408163
4391079,7924,20,88,0.18518518518518517,0.8148148148148148
4391080,7925,10,105,0.08695652173913043,0.9130434782608695
4391082,7927,10,28,0.2631578947368421,0.7368421052631579
4391083,7928,11,57,0.16176470588235295,0.8382352941176471
4391085,7930,17,25,0.40476190476190477,0.5952380952380952
4391088,7931,12,47,0.2033898305084746,0.7966101694915254
4391089,7932,11,173,0.059782608695652176,0.9402173913043478
4391090,7933,17,109,0.1349206349206349,0.8650793650793651
4391098,7936,12,110,0.09836065573770492,0.9016393442622951
4391099,7937,11,46,0.19298245614035087,0.8070175438596491
4391104,7939,32,415,0.07158836689038031,0.9284116331096197
4391106,7941,15,273,0.052083333333333336,0.9479166666666666
4391109,7943,38,41,0.4810126582278481,0.5189873417721519
4391126,7948,35,211,0.14227642276422764,0.8577235772357723
4391127,7949,14,230,0.05737704918032787,0.9426229508196722
4391132,7950,17,137,0.11038961038961038,0.8896103896103896
4391146,7953,50,299,0.14326647564469913,0.8567335243553008
4391149,7954,21,247,0.07835820895522388,0.9216417910447762
4391151,7956,10,110,0.08333333333333333,0.9166666666666666
4391153,7957,14,262,0.050724637681159424,0.9492753623188406
4391154,7958,8,48,0.14285714285714285,0.8571428571428571
4391165,7959,9,15,0.375,0.625
4391170,7961,58,225,0.2049469964664311,0.7950530035335689
4391188,7965,5,76,0.06172839506172839,0.9382716049382716
4391198,7968,5,11,0.3125,0.6875
4391211,7973,26,241,0.09737827715355805,0.9026217228464419
4391227,7974,28,97,0.224,0.776
4391236,7975,25,61,0.29069767441860467,0.7093023255813954
4391237,7976,20,20,0.5,0.5
4391270,7985,12,35,0.2553191489361702,0.7446808510638298
4391273,7987,34,55,0.38202247191011235,0.6179775280898876
4391277,7988,16,151,0.09580838323353294,0.9041916167664671
4391278,7989,35,247,0.12411347517730496,0.875886524822695
4391279,7990,46,261,0.1498371335504886,0.8501628664495114
4391291,7991,19,341,0.05277777777777778,0.9472222222222222
4391293,7993,10,127,0.072992700729927,0.927007299270073
4391295,7995,7,55,0.11290322580645161,0.8870967741935484
4391297,7997,19,315,0.05688622754491018,0.9431137724550899
4391301,8000,18,278,0.060810810810810814,0.9391891891891891
4391311,8001,38,248,0.13286713286713286,0.8671328671328671
4391346,8005,5,86,0.054945054945054944,0.945054945054945
4391351,8008,0,0,0.0,0.0
4391382,8015,89,91,0.49444444444444446,0.5055555555555555
4391388,8016,169,154,0.5232198142414861,0.47678018575851394
4391404,8018,62,91,0.40522875816993464,0.5947712418300654
4391407,8019,2,11,0.15384615384615385,0.8461538461538461
4391412,8021,0,0,0.0,0.0
4391414,8022,1,2,0.3333333333333333,0.6666666666666666
4391415,8023,20,64,0.23809523809523808,0.7619047619047619
4391416,8024,1,10,0.09090909090909091,0.9090909090909091
4391420,8026,0,0,0.0,0.0
4391437,8034,10,57,0.14925373134328357,0.8507462686567164
4391439,8035,1,15,0.0625,0.9375
4391445,8039,2,6,0.25,0.75
4391460,8043,31,220,0.12350597609561753,0.8764940239043825
4391473,8046,10,10,0.5,0.5
4391476,8047,6,2,0.75,0.25
4391477,8048,13,55,0.19117647058823528,0.8088235294117647
4391479,8049,1,15,0.0625,0.9375
4391481,8050,5,11,0.3125,0.6875
4391482,8051,6,34,0.15,0.85
4391489,8052,59,136,0.30256410256410254,0.6974358974358974
4391490,8053,10,45,0.18181818181818182,0.8181818181818182
4391491,8054,1,0,1.0,0.0
4391514,8057,0,0,0.0,0.0
4391518,8059,10,28,0.2631578947368421,0.7368421052631579
4391544,8061,1,1,0.5,0.5
4391550,8064,2,7,0.2222222222222222,0.7777777777777778
4391555,8065,0,0,0.0,0.0
4391564,8067,0,0,0.0,0.0
4391576,8068,2,19,0.09523809523809523,0.9047619047619048
4391577,8069,26,97,0.21138211382113822,0.7886178861788617
4391578,8070,25,94,0.21008403361344538,0.7899159663865546
4391589,8072,2,2,0.5,0.5
4391594,8073,0,0,0.0,0.0
4391597,8074,12,18,0.4,0.6
4391605,8076,0,0,0.0,0.0
4391607,8077,0,0,0.0,0.0
4391610,8079,1,5,0.16666666666666666,0.8333333333333334
4391617,8081,1,5,0.16666666666666666,0.8333333333333334
4391619,8082,0,5,0.0,1.0
4391631,8088,2,11,0.15384615384615385,0.8461538461538461
4391652,8094,1,11,0.08333333333333333,0.9166666666666666
4391672,8095,0,0,0.0,0.0
4391679,8100,0,0,0.0,0.0
4391714,8105,50,340,0.1282051282051282,0.8717948717948718
4391738,8113,1,3,0.25,0.75
4391753,8119,0,0,0.0,0.0
4391801,8120,0,0,0.0,0.0
4391821,8121,0,0,0.0,0.0
4392134,8142,10,22,0.3125,0.6875
4392169,8150,9,20,0.3103448275862069,0.6896551724137931
4392180,8154,22,102,0.1774193548387097,0.8225806451612904
4392225,8165,26,54,0.325,0.675
4392413,8218,18,60,0.23076923076923078,0.7692307692307693
4392428,8222,11,23,0.3235294117647059,0.6764705882352942
4392442,8225,117,252,0.3170731707317073,0.6829268292682927
4392461,8231,40,111,0.26490066225165565,0.7350993377483444
4392609,8266,0,0,0.0,0.0
4392673,8284,0,0,0.0,0.0
4392741,8296,0,8,0.0,1.0
4392742,8297,9,18,0.3333333333333333,0.6666666666666666
4392755,8304,0,0,0.0,0.0
4392775,8305,0,0,0.0,0.0
4392827,8306,0,0,0.0,0.0
4392827,8307,0,0,0.0,0.0
4392839,8310,21,45,0.3181818181818182,0.6818181818181818
4394017,8485,43,83,0.3412698412698413,0.6587301587301587
4394048,8493,6,23,0.20689655172413793,0.7931034482758621
4394050,8494,24,50,0.32432432432432434,0.6756756756756757
4394051,8495,1,0,1.0,0.0
4394067,8500,46,46,0.5,0.5
4394068,8501,22,18,0.55,0.45
4394077,8505,13,25,0.34210526315789475,0.6578947368421053
4394087,8507,15,16,0.4838709677419355,0.5161290322580645
4394092,8509,20,17,0.5405405405405406,0.4594594594594595
4394093,8510,45,30,0.6,0.4
4394097,8512,35,50,0.4117647058823529,0.5882352941176471
4394101,8513,29,56,0.3411764705882353,0.6588235294117647
4394107,8515,19,17,0.5277777777777778,0.4722222222222222
4394110,8516,35,48,0.42168674698795183,0.5783132530120482
4394122,8522,34,14,0.7083333333333334,0.2916666666666667
4394123,8523,40,26,0.6060606060606061,0.3939393939393939
4394124,8524,44,91,0.32592592592592595,0.674074074074074
4394155,8535,54,59,0.4778761061946903,0.5221238938053098
4394162,8537,11,9,0.55,0.45
4394195,8543,20,25,0.4444444444444444,0.5555555555555556
4394201,8544,34,38,0.4722222222222222,0.5277777777777778
4394231,8551,36,28,0.5625,0.4375
4394233,8553,34,49,0.40963855421686746,0.5903614457831325
4394245,8558,1,1,0.5,0.5
4394245,8559,0,0,0.0,0.0
4394256,8563,8,10,0.4444444444444444,0.5555555555555556
4394288,8570,4,7,0.36363636363636365,0.6363636363636364
4394312,8572,1,4,0.2,0.8
4394370,8582,0,0,0.0,0.0
4394432,8593,1,1,0.5,0.5
4394475,8598,4,8,0.3333333333333333,0.6666666666666666
4394478,8599,0,0,0.0,0.0
4394494,8606,0,1,0.0,1.0
4394495,8607,1,10,0.09090909090909091,0.9090909090909091
4394503,8612,16,37,0.3018867924528302,0.6981132075471698
4394563,8622,0,0,0.0,0.0
4394573,8626,0,0,0.0,0.0
4394587,8627,1,20,0.047619047619047616,0.9523809523809523
4394596,8633,3,2,0.6,0.4
4394682,8648,8,9,0.47058823529411764,0.5294117647058824
4394685,8650,0,0,0.0,0.0
