CNTYVTD,VTDKEY,BinkleyR_24P_President,HaleyR_24P_President,StuckenbergR_24P_President,TrumpR_24P_President,ChristieR_24P_President,RamaswamyR_24P_President,HutchinsonR_24P_President,DeSantisR_24P_President,UncommittedR_24P_President,BinkleyR_24P_President_Percentage,HaleyR_24P_President_Percentage,StuckenbergR_24P_President_Percentage,TrumpR_24P_President_Percentage,ChristieR_24P_President_Percentage,RamaswamyR_24P_President_Percentage,HutchinsonR_24P_President_Percentage,DeSantisR_24P_President_Percentage,UncommittedR_24P_President_Percentage
50010,37,0,1,0,18,0,0,0,0,0,0.0,0.05263157894736842,0.0,0.9473684210526315,0.0,0.0,0.0,0.0,0.0
50011,38,0,45,2,620,2,0,1,3,5,0.0,0.06637168141592921,0.0029498525073746312,0.9144542772861357,0.0029498525073746312,0.0,0.0014749262536873156,0.004424778761061947,0.007374631268436578
50012,39,0,21,0,188,0,1,0,4,4,0.0,0.0963302752293578,0.0,0.8623853211009175,0.0,0.0045871559633027525,0.0,0.01834862385321101,0.01834862385321101
50013,40,0,17,0,75,1,0,0,3,2,0.0,0.17346938775510204,0.0,0.7653061224489796,0.01020408163265306,0.0,0.0,0.030612244897959183,0.02040816326530612
50014,41,0,61,1,294,5,2,1,8,15,0.0,0.15762273901808785,0.002583979328165375,0.7596899224806202,0.012919896640826873,0.00516795865633075,0.002583979328165375,0.020671834625323,0.03875968992248062
50015,42,0,19,0,150,0,1,2,3,4,0.0,0.10614525139664804,0.0,0.8379888268156425,0.0,0.00558659217877095,0.0111731843575419,0.01675977653631285,0.0223463687150838
50016,43,0,31,0,236,3,0,1,5,6,0.0,0.1099290780141844,0.0,0.8368794326241135,0.010638297872340425,0.0,0.0035460992907801418,0.01773049645390071,0.02127659574468085
50017,44,0,27,0,480,2,1,1,1,3,0.0,0.05242718446601942,0.0,0.9320388349514563,0.003883495145631068,0.001941747572815534,0.001941747572815534,0.001941747572815534,0.005825242718446602
50018,45,1,36,0,115,0,0,0,5,5,0.006172839506172839,0.2222222222222222,0.0,0.7098765432098766,0.0,0.0,0.0,0.030864197530864196,0.030864197530864196
50019,46,0,117,0,233,1,2,1,7,16,0.0,0.3103448275862069,0.0,0.6180371352785146,0.002652519893899204,0.005305039787798408,0.002652519893899204,0.01856763925729443,0.042440318302387266
50020,47,0,11,0,53,0,0,1,1,2,0.0,0.16176470588235295,0.0,0.7794117647058824,0.0,0.0,0.014705882352941176,0.014705882352941176,0.029411764705882353
50021,48,0,17,0,170,2,1,0,0,4,0.0,0.08762886597938144,0.0,0.8762886597938144,0.010309278350515464,0.005154639175257732,0.0,0.0,0.020618556701030927
50022,49,0,23,1,310,1,1,1,1,6,0.0,0.06686046511627906,0.0029069767441860465,0.9011627906976745,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.0029069767441860465,0.01744186046511628
50023,50,1,28,0,134,2,1,1,3,1,0.005847953216374269,0.16374269005847952,0.0,0.783625730994152,0.011695906432748537,0.005847953216374269,0.005847953216374269,0.017543859649122806,0.005847953216374269
50024,51,0,48,0,358,0,0,1,3,8,0.0,0.11483253588516747,0.0,0.8564593301435407,0.0,0.0,0.0023923444976076554,0.007177033492822967,0.019138755980861243
50025,52,0,31,0,494,4,2,2,7,10,0.0,0.056363636363636366,0.0,0.8981818181818182,0.007272727272727273,0.0036363636363636364,0.0036363636363636364,0.012727272727272728,0.01818181818181818
50026,53,0,45,0,474,4,1,0,2,13,0.0,0.08348794063079777,0.0,0.8794063079777366,0.0074211502782931356,0.0018552875695732839,0.0,0.0037105751391465678,0.02411873840445269
50027,54,0,9,0,102,0,0,1,0,2,0.0,0.07894736842105263,0.0,0.8947368421052632,0.0,0.0,0.008771929824561403,0.0,0.017543859649122806
50028,55,0,32,0,320,0,1,0,6,3,0.0,0.08839779005524862,0.0,0.8839779005524862,0.0,0.0027624309392265192,0.0,0.016574585635359115,0.008287292817679558
50029,56,0,24,1,356,0,1,2,3,3,0.0,0.06153846153846154,0.002564102564102564,0.9128205128205128,0.0,0.002564102564102564,0.005128205128205128,0.007692307692307693,0.007692307692307693
50030,57,0,21,0,269,1,0,0,4,1,0.0,0.07094594594594594,0.0,0.9087837837837838,0.0033783783783783786,0.0,0.0,0.013513513513513514,0.0033783783783783786
50031,58,1,7,0,80,0,0,0,0,4,0.010869565217391304,0.07608695652173914,0.0,0.8695652173913043,0.0,0.0,0.0,0.0,0.043478260869565216
50032,59,0,0,0,42,0,0,0,1,0,0.0,0.0,0.0,0.9767441860465116,0.0,0.0,0.0,0.023255813953488372,0.0
50033,60,0,19,0,336,1,1,0,3,3,0.0,0.05234159779614325,0.0,0.9256198347107438,0.0027548209366391185,0.0027548209366391185,0.0,0.008264462809917356,0.008264462809917356
50034,61,1,130,0,399,4,2,2,10,14,0.0017793594306049821,0.2313167259786477,0.0,0.7099644128113879,0.0071174377224199285,0.0035587188612099642,0.0035587188612099642,0.017793594306049824,0.02491103202846975
50035,62,1,61,0,350,2,6,0,11,9,0.0022727272727272726,0.13863636363636364,0.0,0.7954545454545454,0.004545454545454545,0.013636363636363636,0.0,0.025,0.020454545454545454
50037,63,0,12,0,111,0,0,1,1,2,0.0,0.09448818897637795,0.0,0.8740157480314961,0.0,0.0,0.007874015748031496,0.007874015748031496,0.015748031496062992
50038,64,0,5,0,102,0,1,0,0,1,0.0,0.045871559633027525,0.0,0.9357798165137615,0.0,0.009174311926605505,0.0,0.0,0.009174311926605505
50039,65,0,21,0,75,1,1,1,1,2,0.0,0.20588235294117646,0.0,0.7352941176470589,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.0196078431372549
50040,66,0,20,0,136,2,0,1,3,2,0.0,0.12195121951219512,0.0,0.8292682926829268,0.012195121951219513,0.0,0.006097560975609756,0.018292682926829267,0.012195121951219513
5011,67,0,11,0,222,0,0,0,2,7,0.0,0.045454545454545456,0.0,0.9173553719008265,0.0,0.0,0.0,0.008264462809917356,0.028925619834710745
5017,68,1,3,0,71,0,0,0,2,0,0.012987012987012988,0.03896103896103896,0.0,0.922077922077922,0.0,0.0,0.0,0.025974025974025976,0.0
70001,69,0,75,0,523,1,3,0,8,11,0.0,0.12077294685990338,0.0,0.8421900161030595,0.001610305958132045,0.004830917874396135,0.0,0.01288244766505636,0.017713365539452495
70002,70,1,98,0,605,3,6,1,12,22,0.001336898395721925,0.13101604278074866,0.0,0.8088235294117647,0.004010695187165776,0.008021390374331552,0.001336898395721925,0.016042780748663103,0.029411764705882353
70003,71,1,270,0,1078,1,3,1,29,49,0.0006983240223463687,0.18854748603351956,0.0,0.7527932960893855,0.0006983240223463687,0.002094972067039106,0.0006983240223463687,0.020251396648044692,0.034217877094972066
70004,72,0,188,0,925,3,5,0,17,36,0.0,0.16013628620102216,0.0,0.7879045996592845,0.002555366269165247,0.004258943781942078,0.0,0.014480408858603067,0.030664395229982964
7001,73,0,16,0,225,0,0,0,4,3,0.0,0.06451612903225806,0.0,0.907258064516129,0.0,0.0,0.0,0.016129032258064516,0.012096774193548387
7004,74,0,55,0,341,1,2,1,7,8,0.0,0.13253012048192772,0.0,0.8216867469879519,0.0024096385542168677,0.004819277108433735,0.0024096385542168677,0.016867469879518072,0.01927710843373494
90001,75,0,40,0,348,4,1,0,6,8,0.0,0.09828009828009827,0.0,0.855036855036855,0.009828009828009828,0.002457002457002457,0.0,0.014742014742014743,0.019656019656019656
90002,76,0,30,0,246,2,1,0,2,12,0.0,0.10238907849829351,0.0,0.8395904436860068,0.006825938566552901,0.0034129692832764505,0.0,0.006825938566552901,0.040955631399317405
90003,77,0,13,0,113,0,0,0,2,3,0.0,0.09923664122137404,0.0,0.8625954198473282,0.0,0.0,0.0,0.015267175572519083,0.022900763358778626
90004,78,0,18,0,239,1,1,0,1,5,0.0,0.06792452830188679,0.0,0.9018867924528302,0.0037735849056603774,0.0037735849056603774,0.0,0.0037735849056603774,0.018867924528301886
90005,79,0,7,0,61,0,0,0,0,1,0.0,0.10144927536231885,0.0,0.8840579710144928,0.0,0.0,0.0,0.0,0.014492753623188406
90006,80,0,39,0,353,0,1,1,7,16,0.0,0.09352517985611511,0.0,0.8465227817745803,0.0,0.002398081534772182,0.002398081534772182,0.016786570743405275,0.03836930455635491
90007,81,0,4,0,89,0,0,0,0,1,0.0,0.0425531914893617,0.0,0.9468085106382979,0.0,0.0,0.0,0.0,0.010638297872340425
90008,82,0,11,0,105,0,0,0,3,4,0.0,0.08943089430894309,0.0,0.8536585365853658,0.0,0.0,0.0,0.024390243902439025,0.032520325203252036
90009,83,0,3,0,46,1,0,0,0,0,0.0,0.06,0.0,0.92,0.02,0.0,0.0,0.0,0.0
90010,84,1,29,1,247,1,3,0,6,5,0.0034129692832764505,0.09897610921501707,0.0034129692832764505,0.8430034129692833,0.0034129692832764505,0.010238907849829351,0.0,0.020477815699658702,0.017064846416382253
90011,85,0,1,0,3,0,0,0,0,0,0.0,0.25,0.0,0.75,0.0,0.0,0.0,0.0,0.0
90012,86,0,7,0,23,0,0,0,0,0,0.0,0.23333333333333334,0.0,0.7666666666666667,0.0,0.0,0.0,0.0,0.0
90013,87,1,9,0,55,0,0,0,1,5,0.014084507042253521,0.1267605633802817,0.0,0.7746478873239436,0.0,0.0,0.0,0.014084507042253521,0.07042253521126761
110101,88,0,12,0,113,0,1,0,6,5,0.0,0.08759124087591241,0.0,0.8248175182481752,0.0,0.0072992700729927005,0.0,0.043795620437956206,0.0364963503649635
110201,89,0,11,0,98,1,1,0,3,4,0.0,0.09322033898305085,0.0,0.8305084745762712,0.00847457627118644,0.00847457627118644,0.0,0.025423728813559324,0.03389830508474576
110202,90,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110301,91,0,15,0,121,0,1,0,2,3,0.0,0.1056338028169014,0.0,0.852112676056338,0.0,0.007042253521126761,0.0,0.014084507042253521,0.02112676056338028
110303,92,0,5,0,20,1,0,0,2,0,0.0,0.17857142857142858,0.0,0.7142857142857143,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0
110401,93,0,8,0,72,0,0,0,4,2,0.0,0.09302325581395349,0.0,0.8372093023255814,0.0,0.0,0.0,0.046511627906976744,0.023255813953488372
110402,94,0,8,0,64,0,1,0,1,0,0.0,0.10810810810810811,0.0,0.8648648648648649,0.0,0.013513513513513514,0.0,0.013513513513513514,0.0
110404,95,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130001,96,0,26,0,214,1,0,0,5,6,0.0,0.10317460317460317,0.0,0.8492063492063492,0.003968253968253968,0.0,0.0,0.01984126984126984,0.023809523809523808
130003,97,0,41,2,219,2,1,1,5,5,0.0,0.14855072463768115,0.007246376811594203,0.7934782608695652,0.007246376811594203,0.0036231884057971015,0.0036231884057971015,0.018115942028985508,0.018115942028985508
130004,98,0,6,0,84,0,0,0,2,6,0.0,0.061224489795918366,0.0,0.8571428571428571,0.0,0.0,0.0,0.02040816326530612,0.061224489795918366
130005,99,0,14,0,137,0,1,0,4,4,0.0,0.0875,0.0,0.85625,0.0,0.00625,0.0,0.025,0.025
130006,100,0,8,0,85,0,0,0,1,1,0.0,0.08421052631578947,0.0,0.8947368421052632,0.0,0.0,0.0,0.010526315789473684,0.010526315789473684
130007,101,0,29,0,235,2,0,0,3,10,0.0,0.1039426523297491,0.0,0.8422939068100358,0.007168458781362007,0.0,0.0,0.010752688172043012,0.035842293906810034
130008,102,1,22,0,132,0,1,0,0,5,0.006211180124223602,0.13664596273291926,0.0,0.8198757763975155,0.0,0.006211180124223602,0.0,0.0,0.031055900621118012
130009,103,0,18,0,246,0,3,0,4,6,0.0,0.06498194945848375,0.0,0.8880866425992779,0.0,0.010830324909747292,0.0,0.01444043321299639,0.021660649819494584
130010,104,0,24,0,122,0,0,0,2,5,0.0,0.1568627450980392,0.0,0.7973856209150327,0.0,0.0,0.0,0.013071895424836602,0.032679738562091505
130011,105,0,36,1,267,0,2,3,2,0,0.0,0.1157556270096463,0.003215434083601286,0.8585209003215434,0.0,0.006430868167202572,0.00964630225080386,0.006430868167202572,0.0
130012,106,0,20,0,203,0,0,1,11,3,0.0,0.08403361344537816,0.0,0.8529411764705882,0.0,0.0,0.004201680672268907,0.046218487394957986,0.012605042016806723
130013,107,0,52,1,469,2,0,1,11,11,0.0,0.09506398537477148,0.0018281535648994515,0.8574040219378428,0.003656307129798903,0.0,0.0018281535648994515,0.02010968921389397,0.02010968921389397
130014,108,0,6,0,62,0,2,0,2,0,0.0,0.08333333333333333,0.0,0.8611111111111112,0.0,0.027777777777777776,0.0,0.027777777777777776,0.0
130015,109,0,39,0,349,2,2,0,6,12,0.0,0.0951219512195122,0.0,0.8512195121951219,0.004878048780487805,0.004878048780487805,0.0,0.014634146341463415,0.02926829268292683
130017,110,1,28,0,189,1,1,0,4,6,0.004347826086956522,0.12173913043478261,0.0,0.8217391304347826,0.004347826086956522,0.004347826086956522,0.0,0.017391304347826087,0.02608695652173913
130018,111,0,25,0,262,0,0,0,6,7,0.0,0.08333333333333333,0.0,0.8733333333333333,0.0,0.0,0.0,0.02,0.023333333333333334
130019,112,0,10,0,74,0,1,0,2,2,0.0,0.11235955056179775,0.0,0.8314606741573034,0.0,0.011235955056179775,0.0,0.02247191011235955,0.02247191011235955
130020,113,2,157,0,945,8,5,0,20,47,0.0016891891891891893,0.13260135135135134,0.0,0.7981418918918919,0.006756756756756757,0.004222972972972973,0.0,0.016891891891891893,0.03969594594594594
130021,114,0,31,0,221,1,1,0,9,4,0.0,0.11610486891385768,0.0,0.8277153558052435,0.003745318352059925,0.003745318352059925,0.0,0.033707865168539325,0.0149812734082397
130022,115,0,24,0,208,0,0,1,2,9,0.0,0.09836065573770492,0.0,0.8524590163934426,0.0,0.0,0.004098360655737705,0.00819672131147541,0.036885245901639344
150101,116,0,31,0,309,1,1,0,2,7,0.0,0.08831908831908832,0.0,0.8803418803418803,0.002849002849002849,0.002849002849002849,0.0,0.005698005698005698,0.019943019943019943
150102,117,0,33,0,349,0,1,0,3,10,0.0,0.08333333333333333,0.0,0.8813131313131313,0.0,0.0025252525252525255,0.0,0.007575757575757576,0.025252525252525252
150103,118,2,72,0,385,1,0,0,5,8,0.004228329809725159,0.1522198731501057,0.0,0.813953488372093,0.0021141649048625794,0.0,0.0,0.010570824524312896,0.016913319238900635
150104,119,1,30,0,220,0,3,1,1,2,0.003875968992248062,0.11627906976744186,0.0,0.8527131782945736,0.0,0.011627906976744186,0.003875968992248062,0.003875968992248062,0.007751937984496124
150205,120,0,116,1,677,3,0,1,11,23,0.0,0.13942307692307693,0.001201923076923077,0.8137019230769231,0.003605769230769231,0.0,0.001201923076923077,0.013221153846153846,0.027644230769230768
150206,121,0,51,0,360,1,2,0,1,4,0.0,0.12171837708830549,0.0,0.8591885441527446,0.002386634844868735,0.00477326968973747,0.0,0.002386634844868735,0.00954653937947494
150207,122,1,28,1,237,1,0,0,3,3,0.0036496350364963502,0.10218978102189781,0.0036496350364963502,0.864963503649635,0.0036496350364963502,0.0,0.0,0.010948905109489052,0.010948905109489052
150208,123,0,29,0,187,0,0,0,0,0,0.0,0.13425925925925927,0.0,0.8657407407407407,0.0,0.0,0.0,0.0,0.0
150309,124,0,30,0,224,1,0,0,2,5,0.0,0.11450381679389313,0.0,0.8549618320610687,0.003816793893129771,0.0,0.0,0.007633587786259542,0.019083969465648856
150310,125,0,80,0,599,1,3,0,11,9,0.0,0.11379800853485064,0.0,0.8520625889046942,0.001422475106685633,0.004267425320056899,0.0,0.015647226173541962,0.012802275960170697
150311,126,1,16,0,97,0,2,0,1,2,0.008403361344537815,0.13445378151260504,0.0,0.8151260504201681,0.0,0.01680672268907563,0.0,0.008403361344537815,0.01680672268907563
150412,127,0,8,1,127,1,0,0,4,4,0.0,0.05517241379310345,0.006896551724137931,0.8758620689655172,0.006896551724137931,0.0,0.0,0.027586206896551724,0.027586206896551724
150413,128,1,46,0,348,2,0,1,5,6,0.0024449877750611247,0.11246943765281174,0.0,0.8508557457212714,0.004889975550122249,0.0,0.0024449877750611247,0.012224938875305624,0.014669926650366748
150414,129,0,30,0,252,0,0,0,3,2,0.0,0.10452961672473868,0.0,0.8780487804878049,0.0,0.0,0.0,0.010452961672473868,0.006968641114982578
150415,130,0,39,1,282,0,0,0,3,3,0.0,0.11890243902439024,0.003048780487804878,0.8597560975609756,0.0,0.0,0.0,0.009146341463414634,0.009146341463414634
170001,131,1,13,0,207,0,0,0,2,7,0.004347826086956522,0.05652173913043478,0.0,0.9,0.0,0.0,0.0,0.008695652173913044,0.030434782608695653
170002,132,1,25,3,247,0,1,3,5,4,0.0034602076124567475,0.08650519031141868,0.010380622837370242,0.8546712802768166,0.0,0.0034602076124567475,0.010380622837370242,0.01730103806228374,0.01384083044982699
170003,133,0,20,0,110,0,1,0,3,6,0.0,0.14285714285714285,0.0,0.7857142857142857,0.0,0.007142857142857143,0.0,0.02142857142857143,0.04285714285714286
170004,134,0,9,0,41,1,0,0,0,0,0.0,0.17647058823529413,0.0,0.803921568627451,0.0196078431372549,0.0,0.0,0.0,0.0
170004,135,0,1,0,5,0,0,0,0,0,0.0,0.16666666666666666,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
190101,136,1,69,1,454,4,1,0,9,12,0.0018148820326678765,0.12522686025408347,0.0018148820326678765,0.8239564428312159,0.007259528130671506,0.0018148820326678765,0.0,0.016333938294010888,0.021778584392014518
190102,137,0,124,0,720,1,1,0,14,28,0.0,0.13963963963963963,0.0,0.8108108108108109,0.0011261261261261261,0.0011261261261261261,0.0,0.015765765765765764,0.03153153153153153
190203,138,1,111,1,528,1,2,0,10,12,0.0015015015015015015,0.16666666666666666,0.0015015015015015015,0.7927927927927928,0.0015015015015015015,0.003003003003003003,0.0,0.015015015015015015,0.018018018018018018
190204,139,0,62,0,509,1,2,0,8,13,0.0,0.10420168067226891,0.0,0.8554621848739495,0.0016806722689075631,0.0033613445378151263,0.0,0.013445378151260505,0.021848739495798318
190305,140,0,121,0,828,1,1,1,10,14,0.0,0.12397540983606557,0.0,0.8483606557377049,0.0010245901639344263,0.0010245901639344263,0.0010245901639344263,0.010245901639344262,0.014344262295081968
190306,141,0,66,1,484,2,0,0,8,6,0.0,0.1164021164021164,0.001763668430335097,0.8536155202821869,0.003527336860670194,0.0,0.0,0.014109347442680775,0.010582010582010581
190407,142,0,138,2,841,3,2,1,14,23,0.0,0.134765625,0.001953125,0.8212890625,0.0029296875,0.001953125,0.0009765625,0.013671875,0.0224609375
190408,143,0,13,0,80,1,0,0,1,3,0.0,0.1326530612244898,0.0,0.8163265306122449,0.01020408163265306,0.0,0.0,0.01020408163265306,0.030612244897959183
190409,144,0,27,1,195,0,1,0,4,3,0.0,0.11688311688311688,0.004329004329004329,0.8441558441558441,0.0,0.004329004329004329,0.0,0.017316017316017316,0.012987012987012988
190410,145,0,15,0,188,0,0,0,6,2,0.0,0.07109004739336493,0.0,0.8909952606635071,0.0,0.0,0.0,0.02843601895734597,0.009478672985781991
211001,146,0,11,0,74,0,0,0,3,4,0.0,0.11956521739130435,0.0,0.8043478260869565,0.0,0.0,0.0,0.03260869565217391,0.043478260869565216
211002,147,0,33,0,121,1,1,1,3,4,0.0,0.20121951219512196,0.0,0.7378048780487805,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.018292682926829267,0.024390243902439025
211003,148,0,87,0,459,5,5,2,22,19,0.0,0.14524207011686144,0.0,0.7662771285475793,0.008347245409015025,0.008347245409015025,0.00333889816360601,0.03672787979966611,0.03171953255425709
211004,149,0,95,2,312,3,3,0,6,14,0.0,0.21839080459770116,0.004597701149425287,0.7172413793103448,0.006896551724137931,0.006896551724137931,0.0,0.013793103448275862,0.03218390804597701
211005,150,0,34,0,172,1,2,0,4,10,0.0,0.15246636771300448,0.0,0.7713004484304933,0.004484304932735426,0.008968609865470852,0.0,0.017937219730941704,0.04484304932735426
211006,151,0,28,0,283,1,2,0,5,7,0.0,0.08588957055214724,0.0,0.8680981595092024,0.003067484662576687,0.006134969325153374,0.0,0.015337423312883436,0.02147239263803681
211007,152,0,142,3,463,4,4,0,14,12,0.0,0.22118380062305296,0.004672897196261682,0.721183800623053,0.006230529595015576,0.006230529595015576,0.0,0.021806853582554516,0.018691588785046728
211008,153,0,59,0,213,1,3,0,7,4,0.0,0.20557491289198607,0.0,0.7421602787456446,0.003484320557491289,0.010452961672473868,0.0,0.024390243902439025,0.013937282229965157
211009,154,0,42,1,262,0,1,1,8,4,0.0,0.13166144200626959,0.003134796238244514,0.8213166144200627,0.0,0.003134796238244514,0.003134796238244514,0.025078369905956112,0.012539184952978056
212010,155,0,18,0,84,1,1,1,6,3,0.0,0.15789473684210525,0.0,0.7368421052631579,0.008771929824561403,0.008771929824561403,0.008771929824561403,0.05263157894736842,0.02631578947368421
