CNTYVTD,VTDKEY,BinkleyR_24P_President,HaleyR_24P_President,StuckenbergR_24P_President,TrumpR_24P_President,ChristieR_24P_President,RamaswamyR_24P_President,HutchinsonR_24P_President,DeSantisR_24P_President,UncommittedR_24P_President
0291007,260,0,8,0,34,0,0,0,0,0
0291008,261,0,36,1,49,1,1,0,2,1
0291009,262,1,21,0,88,1,0,0,1,1
0291010,263,0,8,0,17,0,0,0,0,1
0291011,264,1,1,0,28,0,0,0,0,1
0291012,265,0,10,0,98,2,2,0,1,1
0291013,266,0,5,1,62,0,0,0,2,0
0291014,267,0,4,0,23,0,0,0,0,0
0291015,268,1,2,0,28,0,0,0,0,0
0291016,269,0,0,0,34,0,0,0,0,0
0291017,270,0,2,0,14,0,1,0,0,0
0291018,271,0,2,0,25,0,0,1,0,0
0291019,272,0,3,1,22,0,0,0,0,0
0291020,273,0,7,1,83,0,1,0,0,1
0291021,274,0,3,0,39,0,0,0,1,0
0291022,275,0,3,0,20,0,0,0,0,0
0291023,276,0,8,0,40,0,0,0,0,0
0291024,277,0,15,0,151,1,1,0,3,2
0291025,278,0,1,0,8,0,0,0,0,0
0291026,279,0,1,0,27,0,0,0,0,0
0291027,280,0,1,0,31,0,0,0,0,0
0291028,281,0,2,0,29,0,0,0,0,0
0291029,282,0,9,0,42,1,2,0,0,1
0291030,283,0,0,0,3,0,0,0,0,0
0291031,284,0,6,0,30,0,0,0,1,1
0291032,285,0,4,0,29,1,0,0,0,1
0291033,286,0,7,0,47,1,0,0,0,2
0291034,287,0,79,0,314,1,4,0,10,4
0291035,288,0,9,0,12,0,2,0,0,0
0291036,289,1,39,0,141,1,2,0,2,2
0291037,290,0,9,0,78,0,0,1,2,0
0291038,291,0,20,0,121,1,1,1,2,0
0291039,292,2,4,0,53,0,0,1,1,2
0291040,293,0,4,0,47,0,0,1,0,1
0291041,294,0,4,0,46,0,0,1,0,1
0291042,295,0,5,0,36,0,0,0,1,0
0291043,296,0,3,0,65,1,1,0,1,0
0291044,297,1,7,0,74,0,0,0,0,1
0291045,298,1,9,0,91,0,0,0,0,2
0291046,299,0,7,0,53,0,0,0,0,0
0291047,300,0,4,0,54,0,0,0,1,0
0291048,301,0,9,0,86,0,0,0,1,0
0291049,302,0,6,0,93,0,0,0,2,1
0291050,303,0,3,0,26,1,0,0,0,2
0291051,304,0,4,0,91,1,0,0,0,0
0291052,305,1,7,0,74,1,0,0,0,0
0291053,306,0,1,0,4,0,0,0,0,0
0291054,307,1,14,1,94,0,0,0,3,1
0291055,308,0,26,0,128,1,0,0,1,1
0291056,309,0,30,0,169,1,0,1,4,0
0291057,310,0,13,0,145,1,0,0,1,2
0291058,311,0,14,1,176,1,1,0,2,2
0291059,312,0,4,1,15,0,0,0,0,0
0291060,313,2,4,0,56,1,0,0,1,1
0291061,314,0,10,0,54,0,0,0,1,0
0291062,315,0,0,0,13,0,0,0,0,0
0291063,316,1,15,0,158,1,3,0,0,4
0291064,317,0,12,0,72,0,0,0,0,1
0291065,318,1,15,0,205,1,0,0,0,1
0291066,319,1,2,0,25,0,0,0,0,0
0291067,320,0,27,0,263,2,3,0,3,2
0291068,321,1,19,1,214,0,4,0,3,7
0291069,322,0,16,0,52,0,1,0,1,1
0291070,323,0,11,0,47,0,0,0,0,0
0291071,324,0,15,0,65,0,0,1,0,1
0291072,325,0,19,1,46,0,0,0,3,1
0291073,326,0,39,0,212,1,0,0,6,4
0291074,327,0,0,0,0,0,0,0,0,0
0291075,328,1,4,0,51,0,0,0,0,0
0291076,329,0,23,2,147,0,0,0,0,3
0291077,330,0,7,0,32,0,0,0,0,1
0291078,331,0,0,0,6,0,0,0,0,1
0291079,332,1,20,0,89,0,2,0,2,3
0291080,333,0,10,0,47,0,0,0,1,0
0291081,334,1,99,1,248,1,3,0,11,3
0291082,335,0,10,0,123,1,0,0,2,4
0291083,336,0,33,1,143,0,0,1,2,2
0291084,337,0,11,0,83,0,0,0,1,0
0291085,338,0,5,0,48,0,1,0,1,0
0291086,339,1,14,0,89,2,1,0,1,1
0291087,340,0,4,1,51,1,0,0,0,0
0291088,341,0,1,0,19,0,1,0,0,0
0291089,342,0,0,0,2,0,0,0,0,0
0291090,343,0,0,0,0,0,0,0,0,0
0291091,344,0,15,0,89,0,1,0,0,1
0291092,345,1,4,1,42,0,0,0,1,0
0291093,346,0,17,0,64,2,0,0,2,0
0291094,347,0,9,0,69,0,1,0,2,0
0291095,348,0,2,0,11,0,0,0,0,0
0291096,349,0,1,0,1,0,0,0,0,0
0291097,350,0,2,0,29,0,0,0,0,0
0291098,351,0,14,0,30,0,0,0,0,0
0291099,352,0,27,0,139,1,0,0,3,1
0291100,353,0,26,0,141,0,0,0,1,0
0291101,354,0,0,0,0,0,0,0,0,0
0291102,355,0,10,0,70,0,0,0,0,3
0291103,356,0,14,0,96,0,0,0,1,2
0291104,357,0,61,1,218,2,0,0,1,2
0291105,358,0,11,0,32,0,0,0,1,1
0291106,359,0,0,0,0,0,0,0,0,0
0291107,360,0,14,0,201,1,3,0,3,1
0291108,361,1,26,1,109,1,1,0,2,2
0291109,362,0,0,0,2,0,0,0,0,0
0291110,363,0,21,0,133,0,3,0,1,1
0291111,364,2,45,0,175,1,0,0,1,3
0291112,365,1,13,0,95,2,2,0,1,2
0291113,366,1,40,0,114,4,0,0,3,1
0291114,367,0,1,0,12,0,1,0,1,0
0291115,368,0,8,0,50,0,0,0,1,0
0291116,369,1,18,0,88,1,0,1,0,0
0291117,370,0,1,0,19,0,0,0,0,0
0291118,371,1,56,0,297,3,4,0,3,7
0291119,372,0,0,0,6,0,0,0,0,0
0291120,373,0,0,0,2,0,0,0,0,0
0291121,374,0,57,0,184,0,2,0,7,5
0291122,375,0,60,0,214,0,2,1,2,6
0291122,376,0,3,0,11,0,0,0,0,0
0291123,377,0,2,1,52,0,1,0,2,0
0291124,378,0,3,0,4,0,0,0,0,0
0291125,379,0,41,1,155,1,1,0,1,1
0291126,380,0,0,0,0,0,0,0,0,0
0291127,381,0,2,0,17,0,0,0,1,0
0291128,382,0,14,0,105,0,0,1,3,3
0291129,383,0,56,0,231,0,0,0,3,8
0291130,384,0,0,0,0,0,0,0,0,0
0291131,385,0,0,0,0,0,0,0,0,0
0291132,386,0,2,0,25,0,0,0,0,0
0291133,387,0,0,0,0,0,0,0,0,0
0291134,388,0,0,0,0,0,0,0,0,0
0291135,389,0,0,0,0,0,0,0,0,0
0291136,390,0,1,0,5,0,0,0,0,0
0291137,391,0,0,0,0,0,0,0,0,0
0291138,392,0,9,1,22,0,0,0,0,1
0291139,393,0,9,0,91,0,2,0,1,0
0291140,394,0,13,0,48,0,0,0,1,2
0291141,395,3,29,0,152,0,2,0,2,3
0291142,396,0,4,0,74,0,0,0,0,0
0291143,397,0,51,2,234,0,3,1,5,2
0291144,398,0,278,0,746,4,4,2,15,15
0291145,399,0,26,0,128,0,0,0,0,1
0291146,400,0,0,0,17,1,0,0,0,0
0291147,401,0,17,0,104,0,2,1,4,2
0291148,402,0,1,0,28,0,0,0,0,0
0291149,403,0,17,0,111,0,0,0,0,1
0291150,404,0,36,1,136,2,0,0,0,1
0291151,405,1,40,0,160,0,2,0,0,1
0291152,406,0,36,0,135,0,0,0,0,2
0291153,407,1,22,1,123,0,3,0,3,3
0291154,408,0,36,0,139,0,0,0,4,6
0291154,409,0,0,0,0,0,0,0,0,0
0291154,410,0,0,0,2,0,0,0,0,0
0291155,411,0,6,0,52,1,1,0,1,0
0291156,412,0,50,0,182,1,2,0,1,1
0291157,413,0,6,0,62,1,2,0,0,3
0291158,414,0,8,0,41,1,0,0,2,1
0291159,415,0,0,0,7,0,0,0,0,0
0292001,416,0,7,0,14,0,0,0,0,0
0292002,417,0,3,0,16,0,1,0,0,0
0292003,418,0,2,0,37,0,0,0,0,0
0292004,419,0,10,0,48,0,0,0,0,0
0292005,420,0,8,0,20,0,0,0,1,0
0292006,421,0,0,0,0,0,0,0,0,0
0292007,422,0,1,0,23,0,0,0,0,0
0292008,423,0,2,0,14,0,0,0,0,0
0292009,424,1,5,0,44,0,0,0,0,1
0292010,425,0,24,0,78,0,0,0,2,1
0292011,426,0,7,0,22,0,0,0,0,0
0292012,427,0,5,0,20,0,0,0,0,0
0292013,428,1,7,0,33,0,1,0,0,3
0292014,429,0,5,0,28,0,0,0,1,0
0292015,430,1,1,0,32,0,1,0,0,1
0292016,431,0,2,0,9,0,0,0,0,0
0292017,432,0,4,0,9,0,0,0,0,0
0292018,433,1,3,0,33,0,0,0,1,1
0292019,434,0,4,0,23,0,0,0,0,2
0292020,435,0,11,1,48,0,1,0,3,1
0292021,436,0,5,0,56,1,0,0,0,1
0292022,437,0,3,0,43,0,0,0,1,0
0292023,438,0,5,0,68,0,0,0,1,0
0292024,439,0,8,0,74,1,0,2,1,0
0292025,440,0,28,0,78,0,1,0,2,1
0292026,441,0,22,0,105,2,3,1,1,1
0292027,442,1,21,0,62,0,2,0,2,1
0292028,443,0,23,0,122,1,1,0,0,0
0292029,444,0,1,0,21,0,0,0,0,0
0292030,445,0,3,0,30,0,0,0,1,0
0292031,446,0,0,0,23,0,0,0,0,1
0292032,447,0,0,0,9,0,0,0,0,1
0292033,448,0,0,1,13,0,0,0,1,0
0292034,449,0,3,0,12,0,0,0,2,1
0292035,450,0,42,0,42,0,0,0,1,5
0292036,451,0,93,0,100,1,0,0,3,2
0292037,452,0,47,0,131,0,0,0,2,3
0292038,453,0,19,0,92,0,0,0,1,4
0292039,454,0,16,0,21,0,0,0,1,1
0292040,455,0,12,0,107,1,2,0,1,0
0292041,456,0,11,0,95,0,1,0,1,2
0292042,457,0,4,0,47,0,0,0,0,0
0292043,458,0,0,0,26,0,0,0,0,0
0292044,459,0,7,0,70,1,1,0,0,0
0292045,460,0,20,0,52,2,0,0,2,2
0292046,461,0,22,0,76,1,1,0,3,2
0292047,462,0,13,0,65,0,1,0,1,1
0292048,463,1,10,0,25,1,0,0,1,0
0292049,464,0,18,0,110,0,0,0,0,1
0292050,465,0,15,1,87,0,0,1,1,1
0292051,466,0,10,0,20,0,0,0,1,0
0292052,467,0,2,0,20,0,0,0,1,0
0292053,468,0,2,0,34,0,0,0,0,0
0292054,469,0,12,0,63,0,1,0,1,0
0292055,470,0,33,0,44,0,0,0,0,1
0292056,471,0,5,1,42,1,0,0,1,1
0292057,472,0,11,0,66,1,0,0,0,1
0292058,473,0,8,0,54,1,0,0,0,0
0292059,474,0,8,0,78,0,1,0,0,2
0292060,475,0,16,1,67,1,0,0,0,1
0292061,476,1,14,0,65,0,1,0,1,0
0292062,477,1,9,1,69,0,0,1,1,1
0292063,478,0,73,1,270,1,0,0,5,4
0292064,479,0,15,0,139,2,0,0,1,3
0292065,480,0,11,0,83,1,1,0,1,3
0292065,481,0,0,0,5,0,0,0,0,0
0292066,482,0,85,1,341,3,4,1,7,10
0292067,483,0,3,0,8,0,0,0,0,0
0292068,484,0,65,0,309,3,2,0,7,2
0292069,485,0,21,0,143,0,2,0,0,2
0292070,486,0,2,0,35,0,0,0,0,0
0292071,487,0,1,0,12,0,0,0,0,0
0292072,488,0,40,1,230,2,3,0,5,2
0292073,489,1,10,0,47,0,1,0,0,0
0292074,490,0,1,0,16,1,1,0,0,0
0292075,491,0,0,0,19,0,0,0,0,0
0292076,492,0,38,0,201,1,3,0,1,3
0292077,493,1,36,0,170,0,2,0,0,1
0292078,494,0,26,0,139,0,0,0,4,5
0292079,495,0,0,0,7,0,0,0,0,0
0292080,496,0,3,1,54,1,0,1,3,1
0292081,497,0,11,0,36,0,0,0,2,0
0292082,498,0,16,1,80,0,0,0,4,2
0292083,499,0,7,0,30,0,0,0,2,1
0292084,500,1,113,0,418,0,6,0,9,4
0292085,501,0,13,0,63,0,0,0,3,0
0292086,502,0,58,2,261,3,1,1,5,5
0292087,503,0,27,0,217,1,3,0,3,3
0292088,504,2,43,2,212,0,1,0,2,3
0292089,505,0,1,0,6,0,0,0,0,0
0292090,506,1,9,0,40,0,0,0,1,0
0292091,507,0,32,0,81,0,0,0,0,1
0292092,508,0,7,0,31,0,0,0,0,1
0292093,509,0,14,0,62,0,0,0,0,2
0292094,510,0,21,0,10,0,0,0,0,0
0292095,511,1,45,0,199,4,0,0,6,3
0292096,512,1,31,0,59,0,2,0,1,2
0292097,513,0,22,0,140,1,0,0,2,1
0292098,514,2,15,0,91,0,0,0,3,0
0292099,515,0,35,0,143,3,0,0,2,3
0292100,516,0,11,0,53,0,0,0,1,2
0292101,517,0,2,0,7,0,1,0,0,0
0292102,518,0,50,1,214,1,3,0,1,3
0292103,519,0,0,0,3,0,0,0,0,0
0292104,520,0,1,0,8,0,0,1,0,0
0292105,521,0,1,0,9,0,0,0,0,0
0292106,522,1,0,0,24,0,0,0,0,0
0292107,523,0,36,0,156,0,0,0,4,4
0292108,524,0,43,0,143,1,1,0,2,2
0292109,525,0,0,0,0,0,0,0,0,0
0292110,526,0,22,0,95,1,0,1,1,0
0292111,527,0,4,0,50,0,0,0,0,0
0292112,528,0,23,0,132,3,0,0,1,3
0292113,529,0,0,0,2,0,0,0,0,0
0292114,530,0,9,0,96,0,0,0,1,1
0292115,531,0,60,0,373,0,4,0,8,6
0292116,532,0,0,0,0,0,0,0,0,0
0292117,533,0,4,0,10,0,0,0,0,0
0292118,534,0,0,0,0,0,0,0,0,0
0292119,535,0,4,0,3,0,0,0,0,0
0292120,536,0,56,1,242,0,0,1,9,2
0292121,537,0,4,0,27,0,0,0,0,0
0292122,538,0,5,1,44,0,0,0,1,1
0292123,539,1,27,1,123,1,1,0,3,0
0292124,540,0,14,0,46,0,0,0,1,0
0292125,541,1,60,0,297,2,1,1,5,3
0292126,542,0,11,0,75,0,0,0,0,0
0292127,543,0,55,1,208,2,2,0,4,5
0292128,544,1,6,0,30,1,0,0,0,1
0292129,545,0,0,0,0,0,0,0,0,0
0292130,546,0,31,0,109,0,1,1,3,1
0292131,547,0,6,0,22,0,0,0,0,0
0292132,548,0,0,0,0,0,0,0,0,0
0292133,549,0,6,0,28,0,0,0,0,0
0292134,550,0,3,0,42,0,0,0,1,0
0292135,551,0,4,0,14,0,0,0,1,1
0292136,552,0,73,1,219,2,1,1,2,7
0292137,553,1,11,1,63,0,0,0,0,1
0292138,554,0,17,0,50,0,0,0,0,1
0292139,555,2,23,3,146,1,1,0,1,3
0292140,556,0,12,0,57,0,1,0,0,0
0292141,557,0,25,0,104,0,0,0,3,0
0292142,558,1,1,0,23,0,0,0,0,0
0292143,559,0,35,0,150,1,0,0,0,4
0292144,560,1,28,0,104,0,2,0,1,2
0292145,561,0,7,0,29,0,0,0,0,1
0292146,562,0,2,0,0,0,0,0,0,0
0292147,563,0,4,0,34,1,1,0,0,0
0292148,564,2,42,0,109,3,2,0,3,0
0292149,565,0,17,1,68,1,1,0,0,1
0292150,566,0,0,0,0,0,0,0,0,0
0292151,567,0,0,0,1,0,0,0,0,0
0292152,568,0,5,0,14,0,0,0,0,1
0292153,569,0,3,0,8,0,0,0,0,0
0292154,570,0,46,1,195,2,2,0,3,0
0292155,571,0,0,0,0,0,0,0,0,0
0292156,572,0,10,0,36,0,0,0,1,1
0292157,573,0,0,0,0,0,0,0,0,0
