CNTYVTD,VTDKEY,CruzR_24P_U.S. Sen,GibsonR_24P_U.S. Sen,LopezR_24P_U.S. Sen
2010461,4695,825,85,73
2010462,4696,174,23,22
2010463,4697,57,9,8
2010464,4698,202,14,9
2010465,4699,204,11,14
2010466,4700,372,32,22
2010467,4701,32,3,0
2010468,4702,114,8,10
2010469,4703,607,66,27
2010470,4704,137,8,6
2010471,4705,359,22,6
2010472,4706,65,10,10
2010473,4707,249,17,15
2010474,4708,109,7,2
2010475,4709,60,4,4
2010476,4710,62,4,2
2010477,4711,498,31,25
2010478,4712,362,28,17
2010479,4713,571,37,29
2010480,4714,315,20,6
2010481,4715,465,23,22
2010482,4716,413,48,17
2010483,4717,457,43,29
2010484,4718,374,29,20
2010485,4719,452,27,21
2010486,4720,649,35,26
2010487,4721,137,10,5
2010488,4722,88,8,7
2010489,4723,96,4,3
2010490,4724,114,16,14
2010491,4725,211,25,14
2010492,4726,228,13,15
2010493,4727,180,14,8
2010494,4728,27,4,4
2010495,4729,395,22,21
2010496,4730,70,5,5
2010497,4731,10,1,0
2010498,4732,91,1,4
2010499,4733,467,40,34
2010500,4734,434,18,19
2010501,4735,133,22,10
2010502,4736,455,24,6
2010503,4737,358,33,21
2010504,4738,392,27,28
2010505,4739,255,31,11
2010506,4740,69,13,8
2010507,4741,50,7,0
2010508,4742,185,12,7
2010509,4743,102,5,6
2010510,4744,261,25,15
2010511,4745,300,29,19
2010512,4746,201,14,9
2010513,4747,509,40,30
2010514,4748,495,38,24
2010515,4749,512,36,18
2010516,4750,223,8,11
2010517,4751,170,7,4
2010518,4752,431,33,15
2010519,4753,342,11,12
2010520,4754,1,0,0
2010521,4755,184,8,4
2010522,4756,503,37,22
2010523,4757,311,32,12
2010524,4758,139,15,11
2010525,4759,90,5,6
2010526,4760,17,3,2
2010527,4761,15,0,0
2010528,4762,16,8,2
2010529,4763,705,30,21
2010530,4764,15,2,5
2010531,4765,370,18,10
2010532,4766,93,3,3
2010533,4767,60,1,2
2010534,4768,181,5,6
2010535,4769,10,0,0
2010536,4770,176,9,17
2010537,4771,544,25,23
2010538,4772,2,3,1
2010539,4773,104,15,6
2010540,4774,104,19,20
2010541,4775,8,3,2
2010542,4776,9,5,2
2010543,4777,45,5,4
2010544,4778,1,0,0
2010545,4779,199,9,10
2010546,4780,604,43,37
2010547,4781,282,16,16
2010548,4782,118,9,6
2010549,4783,39,6,2
2010550,4784,131,9,14
2010551,4785,377,42,25
2010552,4786,744,40,25
2010553,4787,126,11,7
2010554,4788,38,4,3
2010555,4789,34,5,4
2010556,4790,67,3,4
2010557,4791,98,8,4
2010558,4792,51,5,7
2010559,4793,92,9,4
2010560,4794,27,2,3
2010561,4795,283,18,13
2010562,4796,9,0,0
2010563,4797,626,33,22
2010564,4798,65,12,8
2010565,4799,21,1,1
2010566,4800,89,8,10
2010567,4801,77,13,3
2010568,4802,407,34,16
2010569,4803,253,37,15
2010570,4804,54,2,5
2010571,4805,46,4,2
2010572,4806,180,19,11
2010573,4807,2,1,1
2010574,4808,7,0,2
2010575,4809,309,18,18
2010576,4810,37,4,6
2010577,4811,249,17,35
2010578,4812,228,23,14
2010579,4813,17,1,1
2010580,4814,5,2,0
2010581,4815,2,1,0
2010582,4816,19,1,0
2010583,4817,7,1,0
2010584,4818,7,3,1
2010585,4819,11,1,1
2010586,4820,236,15,4
2010587,4821,107,10,8
2010588,4822,503,40,25
2010589,4823,169,13,10
2010590,4824,466,32,22
2010591,4825,41,5,3
2010592,4826,94,7,6
2010593,4827,219,13,13
2010594,4828,72,6,6
2010595,4829,17,2,3
2010596,4830,211,25,9
2010597,4831,106,7,6
2010598,4832,110,2,3
2010599,4833,80,9,4
2010600,4834,207,10,4
2010601,4835,597,32,22
2010602,4836,166,11,4
2010603,4837,235,16,10
2010604,4838,717,31,11
2010605,4839,56,6,4
2010606,4840,0,0,2
2010607,4841,11,3,0
2010608,4842,25,2,0
2010609,4843,445,28,23
2010610,4844,138,13,13
2010611,4845,18,1,1
2010612,4846,595,36,26
2010613,4847,47,3,4
2010614,4848,114,10,6
2010615,4849,187,12,4
2010616,4850,345,39,25
2010617,4851,159,7,8
2010618,4852,187,9,13
2010619,4853,715,64,35
2010620,4854,310,23,17
2010621,4855,78,1,5
2010622,4856,439,27,22
2010623,4857,398,40,24
2010624,4858,255,17,13
2010625,4859,283,26,21
2010626,4860,517,56,32
2010627,4861,112,7,8
2010628,4862,63,10,3
2010629,4863,8,0,0
2010630,4864,42,5,9
2010631,4865,371,20,16
2010632,4866,4,0,0
2010633,4867,539,49,26
2010634,4868,239,7,15
2010635,4869,439,27,16
2010636,4870,445,15,7
2010637,4871,90,15,15
2010638,4872,16,3,3
2010639,4873,353,23,11
2010640,4874,353,10,9
2010641,4875,312,20,12
2010642,4876,307,16,12
2010643,4877,293,14,18
2010644,4878,382,23,16
2010645,4879,110,19,6
2010646,4880,104,5,3
2010647,4881,135,15,12
2010648,4882,411,24,15
2010649,4883,146,15,6
2010650,4884,633,46,29
2010651,4885,215,26,5
2010652,4886,68,5,6
2010653,4887,16,0,1
2010654,4888,197,15,9
2010655,4889,292,34,29
2010656,4890,6,0,0
2010657,4891,134,7,3
2010658,4892,314,15,13
2010659,4893,411,29,17
2010660,4894,38,7,1
2010661,4895,299,29,14
2010662,4896,360,12,3
2010663,4897,60,7,8
2010664,4898,63,5,5
2010665,4899,478,28,8
2010666,4900,0,0,0
2010667,4901,320,16,13
2010668,4902,321,25,18
2010669,4903,474,45,29
2010670,4904,706,47,31
2010671,4905,193,13,5
2010672,4906,375,18,11
2010673,4907,540,27,15
2010674,4908,615,35,27
2010675,4909,405,24,9
2010675,4910,0,0,0
2010676,4911,137,4,6
2010677,4912,32,2,3
2010678,4913,28,0,1
2010679,4914,158,7,5
2010680,4915,1,2,1
2010681,4916,2,0,2
2010682,4917,380,23,16
2010683,4918,4,0,0
2010684,4919,324,23,12
2010685,4920,24,1,1
2010686,4921,7,1,0
2010687,4922,339,37,27
2010688,4923,681,51,33
2010689,4924,157,16,7
2010690,4925,579,44,16
2010691,4926,551,37,21
2010692,4927,389,26,23
2010693,4928,34,4,6
2010694,4929,73,8,2
2010695,4930,132,8,5
2010696,4931,130,9,2
2010697,4932,82,3,8
2010698,4933,13,0,1
2010699,4934,277,31,17
2010700,4935,482,19,8
2010701,4936,42,2,1
2010702,4937,4,1,0
2010703,4938,472,51,29
2010704,4939,503,25,15
2010705,4940,5,1,1
2010706,4941,154,17,12
2010707,4942,161,8,9
2010708,4943,8,1,2
2010709,4944,326,21,24
2010710,4945,201,27,27
2010711,4946,362,44,40
2010712,4947,174,11,9
2010713,4948,117,9,8
2010714,4949,14,1,1
2010715,4950,10,0,1
2010716,4951,270,17,10
2010717,4952,26,2,2
2010718,4953,440,49,32
2010719,4954,94,7,5
2010720,4955,286,30,10
2010721,4956,351,33,31
2010722,4957,39,4,3
2010723,4958,61,6,4
2010724,4959,145,19,12
2010725,4960,131,5,5
2010726,4961,391,20,10
2010727,4962,38,4,2
2010728,4963,79,4,5
2010729,4964,11,1,4
2010730,4965,331,34,29
2010731,4966,116,8,3
2010732,4967,200,12,6
2010733,4968,6,1,2
2010734,4969,308,12,18
2010735,4970,341,25,14
2010736,4971,125,23,26
2010737,4972,2,0,0
2010738,4973,3,0,2
2010739,4974,122,7,3
2010740,4975,46,5,0
2010741,4976,68,6,8
2010742,4977,111,5,2
2010743,4978,6,0,1
2010744,4979,226,17,12
2010745,4980,298,27,12
2010746,4981,54,4,2
2010747,4982,174,12,7
2010748,4983,77,6,0
2010749,4984,9,0,0
2010750,4985,56,4,4
2010751,4986,146,12,12
2010752,4987,140,11,5
2010753,4988,18,0,2
2010754,4989,4,2,1
2010755,4990,116,11,9
2010756,4991,86,3,1
2010757,4992,54,10,8
2010758,4993,370,19,12
2010759,4994,185,18,8
2010760,4995,586,40,23
2010761,4996,351,25,24
2010762,4997,114,11,6
2010763,4998,36,2,2
2010764,4999,189,14,4
2010765,5000,177,11,4
2010766,5001,7,0,0
2010767,5002,2,0,0
2010768,5003,358,28,19
2010769,5004,3,1,0
2010770,5005,4,0,0
2010771,5006,69,8,4
2010772,5007,699,75,52
2010773,5008,76,12,1
2010774,5009,16,0,1
2010775,5010,126,23,25
2010776,5011,240,13,7
2010777,5012,12,2,1
2010778,5013,5,2,1
2010779,5014,18,0,2
2010780,5015,14,2,1
2010781,5016,155,11,13
2010782,5017,222,14,8
2010783,5018,9,2,1
2010784,5019,5,0,0
2010785,5020,138,18,10
2010786,5021,29,3,2
2010787,5022,18,1,3
2010788,5023,34,1,1
2010789,5024,297,12,15
2010790,5025,153,16,4
2010791,5026,0,0,0
2010792,5027,46,0,6
2010793,5028,152,10,9
2010794,5029,2,2,1
2010795,5030,36,4,3
2010796,5031,162,11,9
2010797,5032,0,0,0
2010798,5033,21,1,6
2010799,5034,19,1,0
2010800,5035,391,27,25
2010801,5036,12,0,0
2010802,5037,0,0,0
2010803,5038,556,41,17
2010804,5039,258,19,19
2010805,5040,427,33,16
2010806,5041,276,21,9
2010807,5042,27,5,2
2010808,5043,2,0,0
2010809,5044,5,1,0
2010810,5045,1,0,0
2010811,5046,12,0,3
2010812,5047,0,0,0
2010813,5048,215,16,11
2010814,5049,57,7,4
2010815,5050,0,0,0
2010816,5051,3,0,0
2010817,5052,244,12,12
2010818,5053,19,2,2
2010819,5054,14,2,4
2010820,5055,77,5,2
2010821,5056,19,2,1
2010822,5057,8,1,0
2010823,5058,214,9,11
2010824,5059,40,6,2
2010825,5060,188,7,5
2010826,5061,23,4,1
2010827,5062,20,2,0
2010828,5063,331,35,20
2010829,5064,10,0,0
2010830,5065,3,0,0
2010831,5066,0,0,0
2010832,5067,6,0,0
2010833,5068,0,0,0
2010834,5069,0,0,0
2010835,5070,5,1,0
2010836,5071,1,0,0
2010837,5072,5,0,0
2010838,5073,0,0,0
2010839,5074,28,6,3
2010840,5075,90,3,4
2010841,5076,121,12,6
2010842,5077,76,5,4
2010843,5078,33,5,1
2010844,5079,454,25,20
2010845,5080,44,2,1
2010846,5081,5,0,1
2010847,5082,66,5,5
2010848,5083,96,8,2
2010849,5084,101,5,10
2010850,5085,9,0,2
2010851,5086,456,21,16
2010852,5087,340,12,7
2010853,5088,422,19,18
2010854,5089,3,0,1
2010855,5090,56,10,11
2010856,5091,0,0,0
2010857,5092,0,0,0
2010858,5093,1,1,0
2010859,5094,29,4,1
2010860,5095,309,21,15
2010861,5096,34,3,2
2010862,5097,356,21,16
2010863,5098,3,0,0
2010864,5099,38,2,4
2010865,5100,158,17,10
2010866,5101,0,0,0
2010867,5102,22,3,4
2010868,5103,55,5,2
2010869,5104,4,0,0
2010870,5105,0,0,0
2010871,5106,7,3,1
2010872,5107,45,4,3
2010873,5108,25,3,4
2010874,5109,437,41,19
2010875,5110,200,28,12
2010876,5111,209,16,12
2010877,5112,85,10,5
2010878,5113,263,22,18
2010879,5114,161,9,8
2010880,5115,431,35,26
2010881,5116,90,7,5
2010882,5117,130,6,5
2010883,5118,28,3,8
2010884,5119,6,0,2
2010885,5120,286,16,12
2010886,5121,53,8,8
2010887,5122,14,2,2
2010888,5123,77,6,6
2010889,5124,2,0,0
2010890,5125,77,5,10
2010891,5126,81,12,12
2010892,5127,33,3,5
2010893,5128,103,11,9
2010894,5129,26,3,2
2010895,5130,62,6,9
2010896,5131,94,23,21
2010897,5132,131,12,5
2010898,5133,90,7,7
2010899,5134,129,16,12
2010900,5135,0,0,0
2010901,5136,195,14,6
2010902,5137,257,25,30
2010903,5138,411,26,11
2010904,5139,0,0,0
2010905,5140,48,1,1
2010906,5141,358,35,24
2010907,5142,3,0,0
2010908,5143,0,0,0
2010909,5144,219,11,11
2010910,5145,3,0,1
2010911,5146,55,2,4
2010912,5147,160,7,7
2010913,5148,4,0,0
2010914,5149,2,0,0
2010915,5150,243,22,16
2010916,5151,596,38,26
2010917,5152,0,0,0
2010918,5153,0,0,0
2010919,5154,304,57,36
2010920,5155,19,1,0
2010921,5156,52,2,1
2010922,5157,0,0,0
2010923,5158,492,43,25
2010924,5159,0,0,0
2010925,5160,0,0,0
2010926,5161,207,18,10
2010927,5162,300,35,31
2010928,5163,3,0,0
2010929,5164,0,0,0
2010930,5165,4,0,0
2010931,5166,6,3,0
2010932,5167,0,0,0
2010933,5168,46,11,10
2010934,5169,1,0,0
2010935,5170,96,4,4
2010936,5171,1,0,0
2010937,5172,159,24,19
2010938,5173,2,0,0
2010939,5174,0,0,0
2010940,5175,0,0,0
2010941,5176,45,4,3
2010942,5177,7,0,1
2010943,5178,17,2,0
2010944,5179,0,0,0
2010945,5180,0,0,0
2010946,5181,34,7,5
2010947,5182,64,12,7
2010948,5183,104,4,4
2010949,5184,50,4,9
2010950,5185,0,0,0
2010951,5186,6,3,0
2010952,5187,7,0,0
2010953,5188,29,1,1
2010954,5189,4,0,0
2010955,5190,321,42,29
2010956,5191,47,5,7
2010957,5192,14,0,1
2010958,5193,34,2,5
2010959,5194,0,0,0
2010960,5195,41,3,5
2010961,5196,32,0,1
2010962,5197,3,1,0
2010963,5198,35,4,2
2010964,5199,154,15,5
2010965,5200,24,2,1
2010966,5201,32,6,4
2010967,5202,26,4,2
2010968,5203,63,6,10
2010969,5204,5,0,1
2010970,5205,7,2,0
2010971,5206,15,3,1
2010972,5207,411,42,22
2010973,5208,163,14,21
2010974,5209,50,4,7
2010975,5210,21,1,1
2010976,5211,38,2,0
2010977,5212,41,2,1
2010978,5213,21,3,1
2010979,5214,0,0,0
2010980,5215,216,17,6
2010981,5216,13,1,0
2010982,5217,413,26,17
2010983,5218,291,22,12
2010984,5219,2,1,0
2010985,5220,30,3,1
2010986,5221,11,1,0
2010987,5222,4,1,0
2010988,5223,422,17,10
2010989,5224,0,0,0
2010990,5225,2,0,0
2010991,5226,193,10,6
2010992,5227,69,4,2
2010993,5228,0,0,0
2010994,5229,44,9,1
2010995,5230,20,6,6
2010996,5231,62,5,5
2010997,5232,7,1,0
2010998,5233,0,0,0
2010999,5234,0,0,0
2011000,5235,10,0,1
2011001,5236,40,4,2
2011002,5237,3,0,0
2011003,5238,3,0,0
2011004,5239,53,5,0
2011005,5240,0,0,0
2011006,5241,12,1,2
2011007,5242,47,1,4
2011008,5243,215,7,4
2011009,5244,7,0,2
2011010,5245,26,3,3
2011011,5246,1,0,0
2011012,5247,38,5,5
2011013,5248,0,0,0
2011014,5249,0,0,0
2011015,5250,0,0,0
2011016,5251,358,17,9
2011017,5252,0,0,0
2011018,5253,0,0,0
2011019,5254,4,0,0
2011020,5255,58,5,2
2011021,5256,60,7,1
2011022,5257,250,10,12
2011023,5258,14,2,1
2011024,5259,43,0,2
2011025,5260,91,7,3
2011026,5261,89,1,1
2011027,5262,38,3,0
2011028,5263,261,22,9
2011029,5264,236,27,12
2011030,5265,5,2,1
2011031,5266,138,6,4
2011032,5267,9,0,0
2011033,5268,44,2,3
2011034,5269,62,10,3
2011035,5270,0,0,0
2011036,5271,12,0,0
2011037,5272,90,5,4
2011038,5273,303,20,16
2011039,5274,0,0,0
2011040,5275,66,2,0
2011041,5276,14,0,0
2011042,5277,90,14,6
2011043,5278,183,12,10
2011044,5279,20,3,2
2011045,5280,32,3,3
2011046,5281,118,2,7
2011047,5282,30,3,1
2011048,5283,40,3,4
2011049,5284,8,1,2
2011050,5285,6,0,0
2011051,5286,0,0,0
2011052,5287,0,0,0
2011053,5288,25,2,1
2011054,5289,436,36,21
2011055,5290,322,14,14
2011056,5291,289,33,20
2011057,5292,0,0,0
2011058,5293,4,0,0
2011059,5294,77,7,4
2011060,5295,11,1,1
2011061,5296,64,5,2
2011062,5297,284,19,6
2011063,5298,87,4,2
2011064,5299,154,14,15
2011065,5300,346,29,14
2011066,5301,0,0,0
2011067,5302,76,9,6
2011068,5303,144,10,5
2011069,5304,0,0,0
2011070,5305,12,0,1
2011071,5306,156,7,7
2011072,5307,37,4,3
2011073,5308,0,0,0
2011074,5309,13,0,0
2011075,5310,0,0,0
2011076,5311,116,17,5
2011077,5312,59,5,7
2011078,5313,185,13,6
2011079,5314,55,1,4
2011080,5315,33,2,2
2011081,5316,5,0,0
2011082,5317,0,0,0
2011083,5318,0,0,0
2011084,5319,44,2,2
2011085,5320,471,18,3
2011086,5321,716,40,22
2011087,5322,179,14,9
2011088,5323,46,4,2
2011089,5324,0,0,0
2011090,5325,42,2,0
2011091,5326,232,8,2
2011092,5327,37,4,1
2011093,5328,354,26,10
2011094,5329,0,0,0
2011095,5330,296,21,13
2011096,5331,471,26,10
2011097,5332,35,4,0
2011098,5333,29,3,1
2011099,5334,1,0,0
2011100,5335,79,4,5
2011101,5336,262,25,10
2011102,5337,243,25,16
2011103,5338,115,5,3
2011104,5339,174,10,5
2011105,5340,1,0,0
2011106,5341,24,1,0
2011107,5342,10,0,0
2011108,5343,1,0,0
2011109,5344,29,2,1
2011110,5345,240,18,10
2011111,5346,67,7,2
2011112,5347,367,24,21
2011113,5348,110,7,2
2011114,5349,37,3,2
2011115,5350,45,4,3
2011116,5351,141,22,19
2011117,5352,248,16,9
2011118,5353,57,10,3
2011119,5354,1,0,0
2011120,5355,172,13,10
2011121,5356,4,1,0
2011122,5357,7,2,2
2011123,5358,90,6,10
2011124,5359,0,0,0
2011125,5360,0,0,0
2011126,5361,48,3,8
2011127,5362,17,3,2
2011128,5363,381,21,15
2011129,5364,0,0,0
2011130,5365,43,3,3
2011131,5366,59,6,3
2011132,5367,0,0,0
2011133,5368,7,0,1
2011134,5369,366,33,21
2011135,5370,157,10,7
2011136,5371,60,2,0
2011137,5372,51,5,3
2011138,5373,33,5,5
2011139,5374,38,5,2
2011140,5375,9,2,0
2011141,5376,0,0,0
2011142,5377,78,1,3
2011143,5378,0,0,0
2011144,5379,229,23,14
2011145,5380,447,57,31
2011146,5381,322,28,19
2011147,5382,2,0,0
2011148,5383,18,2,1
2011149,5384,332,22,19
2011150,5385,0,0,0
2011151,5386,383,33,19
2011152,5387,52,1,2
2011153,5388,0,0,0
2011154,5389,0,0,0
2011155,5390,0,0,0
2011156,5391,0,0,0
2011157,5392,0,0,0
2011158,5393,1,0,0
2011159,5394,0,0,0
2011160,5395,0,0,0
2011161,5396,0,0,0
2011162,5397,0,0,0
2011163,5398,0,0,0
2011164,5399,0,0,0
2011165,5400,0,0,0
2011166,5401,217,9,6
2011167,5402,30,7,3
2011168,5403,147,8,13
2011169,5404,150,7,3
2011170,5405,225,24,13
2011171,5406,463,23,15
2011172,5407,114,13,5
2030001,5408,377,19,21
2030002,5409,111,7,3
2030003,5410,27,6,4
2030004,5411,126,12,4
2030005,5412,258,8,8
2030006,5413,321,12,8
2030007,5414,189,9,8
2030008,5415,478,28,29
2030009,5416,297,12,8
2030010,5417,258,9,3
2030011,5418,93,4,2
2030012,5419,658,31,19
2030013,5420,567,27,20
2030014,5421,312,7,9
2030015,5422,242,9,5
2030016,5423,161,1,3
2030017,5424,204,16,8
2030018,5425,470,25,13
2030019,5426,620,15,21
2030020,5427,448,17,15
2030021,5428,162,7,2
2030022,5429,101,5,4
2030023,5430,176,6,2
2030024,5431,222,5,3
2030025,5432,660,37,14
2030026,5433,559,20,19
2050101,5434,137,2,5
2050102,5435,121,1,1
2050201,5436,90,2,3
2050202,5437,154,3,2
2050301,5438,253,4,14
2050401,5439,200,4,6
2070001,5440,136,4,6
2070002,5441,175,11,11
2070003,5442,133,3,5
2070004,5443,56,2,2
2070005,5444,89,4,6
2070006,5445,97,3,4
2070007,5446,35,0,0
2070008,5447,33,1,1
2070009,5448,86,4,0
2070010,5449,45,2,2
2090100,5450,0,0,0
2090101,5451,0,0,0
2090102,5452,0,0,0
2090103,5453,0,0,0
2090110,5454,178,15,9
2090112,5455,70,10,11
2090113,5456,56,7,5
2090114,5457,57,6,4
2090115,5458,86,10,6
2090120,5459,101,12,18
2090121,5460,21,7,5
2090125,5461,73,6,6
2090128,5462,69,1,2
2090132,5463,28,4,6
2090134,5464,106,12,12
2090136,5465,89,10,7
2090140,5466,39,7,5
2090141,5467,28,0,4
2090142,5468,11,1,1
2090146,5469,0,0,0
2090200,5470,0,0,0
2090203,5471,149,16,13
2090204,5472,65,4,7
2090205,5473,177,11,17
2090206,5474,176,15,10
2090216,5475,15,1,1
2090219,5476,66,5,5
2090220,5477,228,27,18
2090221,5478,168,26,23
2090223,5479,142,15,10
2090225,5480,41,8,4
2090227,5481,131,16,18
2090228,5482,200,26,26
2090231,5483,118,13,15
2090252,5484,96,11,12
2090253,5485,124,7,13
2090254,5486,139,20,17
2090314,5487,603,65,33
2090315,5488,285,34,23
2090316,5489,223,22,21
2090319,5490,155,14,13
2090320,5491,330,23,21
2090325,5492,79,5,4
2090332,5493,139,16,14
2090333,5494,431,35,24
2090335,5495,581,40,46
2090336,5496,309,37,31
2090337,5497,515,26,43
2090338,5498,433,34,34
2090339,5499,224,19,16
2090340,5500,102,11,21
2090342,5501,266,20,16
2090344,5502,524,51,53
2090347,5503,209,15,10
2090351,5504,15,2,3
2090371,5505,242,41,17
2090372,5506,6,0,0
2090373,5507,77,10,4
2090374,5508,59,2,2
2090375,5509,14,1,1
2090376,5510,10,2,0
2090400,5511,0,0,0
2090422,5512,108,6,14
2090423,5513,124,15,15
2090424,5514,246,23,19
2090425,5515,130,12,6
2090426,5516,338,31,22
2090430,5517,171,16,11
2090432,5518,314,33,26
2090435,5519,358,47,33
2090436,5520,380,29,19
2090438,5521,14,6,2
2090440,5522,226,29,13
2090441,5523,400,35,24
2090442,5524,364,41,42
2090443,5525,349,57,39
2090444,5526,147,21,7
2090445,5527,330,27,37
2090446,5528,394,32,55
2090448,5529,281,42,31
2090449,5530,468,38,41
2090450,5531,236,25,21
2090451,5532,162,33,30
2090452,5533,418,51,34
2090453,5534,0,0,0
2090455,5535,0,0,0
2090456,5536,0,0,0
2110101,5537,109,3,9
2110201,5538,127,4,6
2110202,5539,9,0,0
2110301,5540,215,9,8
2110302,5541,7,0,0
2110303,5542,28,2,0
2110401,5543,102,4,1
2110402,5544,32,6,4
2130001,5545,117,9,4
2130002,5546,99,2,7
2130003,5547,71,3,5
2130004,5548,380,34,20
213001,5549,367,16,11
213001,5550,421,29,23
213001,5551,489,33,22
213002,5552,413,24,12
213002,5553,95,4,4
213003,5554,644,29,17
213003,5555,452,13,10
213003,5556,325,10,7
213003,5557,326,11,4
213004,5558,97,1,6
213004,5559,271,28,22
213004,5560,211,16,13
21301,5561,537,22,17
21301,5562,224,11,6
21301,5563,496,29,28
21303,5564,465,20,7
21303,5565,174,15,2
21303,5566,250,14,7
21304,5567,601,32,15
21304,5568,161,7,4
21304,5569,936,44,31
2132,5570,415,26,28
2132,5571,349,22,9
2132,5572,357,28,14
2132,5573,499,26,25
2134,5574,468,12,9
2150001,5575,16,2,1
2150002,5576,90,2,5
2150003,5577,31,0,3
2150004,5578,131,8,11
2150005,5579,29,1,4
2150006,5580,163,6,13
2150007,5581,186,6,9
2150008,5582,122,9,3
2150009,5583,185,10,13
2150010,5584,65,3,5
2150011,5585,27,5,1
2150012,5586,16,0,1
2150013,5587,170,7,16
2150014,5588,44,2,1
2150015,5589,32,2,1
2150016,5590,24,3,2
2150017,5591,24,1,2
2150018,5592,12,1,0
2150019,5593,24,0,0
2150020,5594,56,1,6
2150021,5595,15,0,2
2150022,5596,11,0,2
2150023,5597,96,7,4
2150024,5598,28,0,0
2150025,5599,139,6,6
2150026,5600,21,4,2
2150027,5601,17,0,1
2150028,5602,89,3,11
2150029,5603,114,10,6
2150030,5604,137,7,9
2150031,5605,119,7,1
2150032,5606,99,3,8
2150033,5607,47,3,2
2150034,5608,38,3,5
2150035,5609,100,3,3
2150036,5610,102,7,7
2150037,5611,39,3,7
2150038,5612,241,11,13
2150039,5613,36,2,4
2150040,5614,45,4,6
2150041,5615,68,14,10
2150042,5616,146,7,8
2150043,5617,64,5,4
2150044,5618,26,4,2
2150045,5619,75,6,3
2150046,5620,16,2,0
2150047,5621,29,2,6
2150048,5622,83,10,3
2150049,5623,66,4,2
2150050,5624,61,5,6
2150051,5625,48,4,6
2150052,5626,206,10,13
2150053,5627,110,3,7
2150054,5628,147,8,7
2150055,5629,71,5,5
2150056,5630,60,5,6
2150057,5631,24,0,1
2150058,5632,119,5,6
2150059,5633,53,1,7
2150060,5634,68,5,6
2150061,5635,48,5,4
2150062,5636,245,7,15
2150063,5637,27,4,2
2150064,5638,25,0,2
2150065,5639,117,11,11
2150066,5640,48,5,5
2150067,5641,145,8,8
2150068,5642,136,8,6
2150069,5643,115,4,7
2150070,5644,47,3,2
2150071,5645,5,0,0
2150072,5646,74,5,4
2150073,5647,230,23,17
2150074,5648,61,3,3
2150075,5649,11,1,0
2150076,5650,6,0,1
2150077,5651,69,2,1
2150078,5652,64,10,7
2150079,5653,15,0,3
2150080,5654,14,1,1
2150081,5655,161,2,7
2150082,5656,0,0,0
2150083,5657,332,12,15
2150084,5658,84,5,3
2150085,5659,124,6,11
2150086,5660,32,1,4
2150087,5661,21,4,3
2150088,5662,71,3,4
2150089,5663,20,2,2
2150090,5664,76,5,4
2150091,5665,46,4,1
2150092,5666,4,0,0
2150093,5667,14,2,0
2150094,5668,59,7,3
2150095,5669,70,5,11
2150096,5670,202,9,9
2150097,5671,107,2,4
2150098,5672,98,8,4
2150099,5673,63,10,1
2150100,5674,104,6,4
2150101,5675,81,2,3
2150102,5676,114,9,1
2150103,5677,219,7,15
2150104,5678,83,3,4
2150105,5679,139,6,10
2150106,5680,120,2,9
2150107,5681,88,2,4
2150108,5682,38,3,6
2150109,5683,67,5,10
2150110,5684,23,1,1
2150111,5685,126,12,7
2150112,5686,24,2,4
2150113,5687,193,7,18
2150114,5688,328,22,13
2150115,5689,72,4,5
2150116,5690,97,7,8
2150117,5691,62,8,3
2150118,5692,88,4,6
2150119,5693,34,3,1
2150120,5694,81,3,5
2150121,5695,10,2,1
2150122,5696,36,3,3
2150123,5697,44,1,5
2150124,5698,95,3,4
2150125,5699,37,2,1
2150126,5700,82,5,9
2150127,5701,20,1,2
2150128,5702,44,0,3
2150129,5703,16,2,0
2150130,5704,88,6,2
2150131,5705,2,0,0
2150132,5706,20,2,2
2150133,5707,4,0,0
2150134,5708,221,9,11
2150135,5709,94,4,2
2150136,5710,115,6,5
2150137,5711,5,1,0
2150138,5712,8,0,0
2150139,5713,12,1,0
2150140,5714,0,0,0
2150141,5715,3,0,1
2150142,5716,72,2,5
2150143,5717,125,5,5
2150144,5718,0,0,0
2150145,5719,20,2,0
2150146,5720,32,7,1
2150147,5721,6,1,0
2150148,5722,1,0,0
2150149,5723,1,0,0
2150150,5724,41,1,5
2150151,5725,250,18,19
2150152,5726,141,8,10
2150153,5727,5,0,1
2150154,5728,78,5,3
2150155,5729,17,0,2
2150156,5730,38,0,4
2150157,5731,43,2,2
2150158,5732,96,10,9
2150159,5733,10,0,1
2150160,5734,28,0,4
2150161,5735,85,1,4
2150162,5736,74,3,6
2150163,5737,65,7,0
2150164,5738,127,13,10
2150165,5739,45,4,1
2150166,5740,23,0,0
2150167,5741,51,1,1
2150168,5742,9,0,0
2150169,5743,11,2,2
2150170,5744,17,2,0
2150171,5745,1,0,0
2150172,5746,2,0,0
2150173,5747,96,2,3
2150174,5748,26,1,4
2150175,5749,34,1,2
2150176,5750,35,8,4
2150177,5751,25,2,0
2150178,5752,5,0,0
2150179,5753,10,1,1
2150180,5754,4,0,3
2150181,5755,124,6,0
2150182,5756,19,2,0
2150183,5757,59,6,7
2150184,5758,7,0,0
2150185,5759,0,0,0
2150186,5760,5,0,0
2150187,5761,85,4,3
2150188,5762,155,11,8
2150189,5763,14,1,1
2150190,5764,30,1,1
2150191,5765,24,1,1
2150192,5766,10,2,1
2150193,5767,16,1,1
2150194,5768,122,7,8
