CNTYVTD,VTDKEY,AbelR_24P_U.S. Rep 31,AndersonR_24P_U.S. Rep 31,CarterR_24P_U.S. Rep 31,GarapatiR_24P_U.S. Rep 31,LatimerR_24P_U.S. Rep 31,WilliamsR_24P_U.S. Rep 31,AbelR_24P_U.S. Rep 31_Percentage,AndersonR_24P_U.S. Rep 31_Percentage,CarterR_24P_U.S. Rep 31_Percentage,GarapatiR_24P_U.S. Rep 31_Percentage,LatimerR_24P_U.S. Rep 31_Percentage,WilliamsR_24P_U.S. Rep 31_Percentage
270302,224,49,30,477,24,78,61,0.06815020862308763,0.04172461752433936,0.6634214186369958,0.03337969401947149,0.10848400556328233,0.08484005563282336
270303,225,37,22,467,32,78,78,0.05182072829131653,0.03081232492997199,0.65406162464986,0.04481792717086835,0.1092436974789916,0.1092436974789916
270304,226,5,2,64,4,10,6,0.054945054945054944,0.02197802197802198,0.7032967032967034,0.04395604395604396,0.10989010989010989,0.06593406593406594
270305,227,27,15,342,12,66,48,0.052941176470588235,0.029411764705882353,0.6705882352941176,0.023529411764705882,0.12941176470588237,0.09411764705882353
270306,228,19,9,154,7,25,27,0.07883817427385892,0.03734439834024896,0.6390041493775933,0.029045643153526972,0.1037344398340249,0.11203319502074689
270307,229,13,5,91,6,12,17,0.09027777777777778,0.034722222222222224,0.6319444444444444,0.041666666666666664,0.08333333333333333,0.11805555555555555
270308,230,29,18,382,24,62,74,0.04923599320882852,0.030560271646859084,0.6485568760611206,0.04074702886247878,0.10526315789473684,0.12563667232597622
270309,231,23,9,242,9,48,23,0.06497175141242938,0.025423728813559324,0.6836158192090396,0.025423728813559324,0.13559322033898305,0.06497175141242938
270310,232,4,5,127,2,22,17,0.022598870056497175,0.02824858757062147,0.7175141242937854,0.011299435028248588,0.12429378531073447,0.096045197740113
270311,233,54,32,584,40,100,81,0.06060606060606061,0.03591470258136925,0.6554433221099888,0.04489337822671156,0.1122334455667789,0.09090909090909091
270312,234,26,22,337,7,60,36,0.05327868852459016,0.045081967213114756,0.6905737704918032,0.014344262295081968,0.12295081967213115,0.07377049180327869
270313,235,66,41,792,37,99,120,0.05714285714285714,0.0354978354978355,0.6857142857142857,0.032034632034632034,0.08571428571428572,0.1038961038961039
270314,236,17,11,247,8,31,36,0.04857142857142857,0.03142857142857143,0.7057142857142857,0.022857142857142857,0.08857142857142856,0.10285714285714286
270315,237,36,27,439,34,74,64,0.05341246290801187,0.040059347181008904,0.6513353115727003,0.050445103857566766,0.10979228486646884,0.09495548961424333
270317,238,28,11,333,24,60,46,0.055776892430278883,0.021912350597609563,0.6633466135458167,0.04780876494023904,0.11952191235059761,0.09163346613545817
270318,239,62,22,606,25,107,99,0.06731813246471227,0.023887079261672096,0.6579804560260586,0.02714440825190011,0.11617806731813246,0.10749185667752444
270319,240,30,31,439,39,90,70,0.04291845493562232,0.044349070100143065,0.6280400572246065,0.055793991416309016,0.12875536480686695,0.10014306151645208
350001,1055,14,15,129,4,18,30,0.06666666666666667,0.07142857142857142,0.6142857142857143,0.01904761904761905,0.08571428571428572,0.14285714285714285
350002,1056,14,7,135,4,13,27,0.07,0.035,0.675,0.02,0.065,0.135
350003,1057,10,13,191,13,23,39,0.03460207612456748,0.04498269896193772,0.6608996539792388,0.04498269896193772,0.07958477508650519,0.13494809688581316
350004,1058,2,11,105,8,17,20,0.012269938650306749,0.06748466257668712,0.6441717791411042,0.049079754601226995,0.10429447852760736,0.12269938650306748
350005,1059,19,17,263,11,26,55,0.04859335038363171,0.043478260869565216,0.6726342710997443,0.028132992327365727,0.06649616368286446,0.14066496163682865
350006,1060,13,25,239,14,21,49,0.036011080332409975,0.06925207756232687,0.6620498614958449,0.038781163434903045,0.05817174515235457,0.13573407202216067
350007,1061,9,13,140,15,16,27,0.04090909090909091,0.05909090909090909,0.6363636363636364,0.06818181818181818,0.07272727272727272,0.12272727272727273
350008,1062,41,37,415,48,36,64,0.06396255850234009,0.057722308892355696,0.6474258970358814,0.0748829953198128,0.056162246489859596,0.0998439937597504
350009,1063,15,12,147,18,25,31,0.06048387096774194,0.04838709677419355,0.592741935483871,0.07258064516129033,0.10080645161290322,0.125
350010,1064,35,20,207,7,17,20,0.11437908496732026,0.06535947712418301,0.6764705882352942,0.02287581699346405,0.05555555555555555,0.06535947712418301
350011,1065,21,13,169,4,15,18,0.0875,0.05416666666666667,0.7041666666666667,0.016666666666666666,0.0625,0.075
530001,1353,24,13,296,47,16,53,0.053452115812917596,0.028953229398663696,0.6592427616926503,0.10467706013363029,0.035634743875278395,0.11804008908685969
530002,1354,14,28,456,64,41,99,0.019943019943019943,0.039886039886039885,0.6495726495726496,0.09116809116809117,0.0584045584045584,0.14102564102564102
530003,1355,5,11,158,25,6,20,0.022222222222222223,0.04888888888888889,0.7022222222222222,0.1111111111111111,0.02666666666666667,0.08888888888888889
530004,1356,18,30,439,62,34,114,0.02582496413199426,0.043041606886657105,0.629842180774749,0.08895265423242468,0.04878048780487805,0.16355810616929697
530005,1357,15,14,213,30,17,46,0.04477611940298507,0.041791044776119404,0.6358208955223881,0.08955223880597014,0.050746268656716415,0.1373134328358209
530006,1358,8,6,111,14,2,22,0.049079754601226995,0.03680981595092025,0.6809815950920245,0.08588957055214724,0.012269938650306749,0.13496932515337423
530007,1359,2,3,134,12,7,26,0.010869565217391304,0.016304347826086956,0.7282608695652174,0.06521739130434782,0.03804347826086957,0.14130434782608695
530008,1360,16,7,241,22,19,61,0.04371584699453552,0.01912568306010929,0.6584699453551912,0.060109289617486336,0.05191256830601093,0.16666666666666666
530009,1361,27,27,549,62,30,138,0.03241296518607443,0.03241296518607443,0.65906362545018,0.0744297719087635,0.03601440576230492,0.16566626650660263
530010,1362,16,7,313,43,35,63,0.033542976939203356,0.014675052410901468,0.6561844863731656,0.09014675052410902,0.07337526205450734,0.1320754716981132
530011,1363,12,7,145,7,11,28,0.05714285714285714,0.03333333333333333,0.6904761904761905,0.03333333333333333,0.05238095238095238,0.13333333333333333
530012,1364,24,11,322,29,27,79,0.04878048780487805,0.022357723577235773,0.6544715447154471,0.05894308943089431,0.054878048780487805,0.16056910569105692
530013,1365,13,9,171,22,6,41,0.04961832061068702,0.03435114503816794,0.6526717557251909,0.08396946564885496,0.022900763358778626,0.15648854961832062
530014,1366,2,2,114,13,14,22,0.011976047904191617,0.011976047904191617,0.6826347305389222,0.07784431137724551,0.08383233532934131,0.1317365269461078
530015,1367,8,3,170,21,20,38,0.03076923076923077,0.011538461538461539,0.6538461538461539,0.08076923076923077,0.07692307692307693,0.14615384615384616
530016,1368,10,6,108,7,10,18,0.06289308176100629,0.03773584905660377,0.6792452830188679,0.0440251572327044,0.06289308176100629,0.11320754716981132
530017,1369,17,16,437,61,28,103,0.0256797583081571,0.02416918429003021,0.6601208459214502,0.09214501510574018,0.04229607250755287,0.1555891238670695
530018,1370,13,14,179,16,10,45,0.04693140794223827,0.05054151624548736,0.6462093862815884,0.05776173285198556,0.036101083032490974,0.1624548736462094
530019,1371,46,36,638,112,36,178,0.04397705544933078,0.03441682600382409,0.609942638623327,0.10707456978967496,0.03441682600382409,0.1701720841300191
530020,1372,29,21,516,93,20,116,0.03647798742138365,0.026415094339622643,0.6490566037735849,0.1169811320754717,0.025157232704402517,0.1459119496855346
990101,1985,100,24,435,29,28,67,0.14641288433382138,0.03513909224011713,0.636896046852123,0.0424597364568082,0.040995607613469986,0.09809663250366032
990102,1986,39,11,280,17,36,44,0.09133489461358314,0.02576112412177986,0.6557377049180327,0.03981264637002342,0.08430913348946135,0.10304449648711944
990103,1987,20,4,73,4,2,9,0.17857142857142858,0.03571428571428571,0.6517857142857143,0.03571428571428571,0.017857142857142856,0.08035714285714286
990104,1988,90,22,388,31,37,65,0.14218009478672985,0.03475513428120063,0.6129541864139021,0.04897314375987362,0.05845181674565561,0.10268562401263823
990205,1989,49,24,410,23,18,47,0.08581436077057793,0.04203152364273205,0.7180385288966725,0.040280210157618214,0.03152364273204904,0.08231173380035026
990206,1990,21,7,109,10,11,9,0.12574850299401197,0.041916167664670656,0.6526946107784432,0.059880239520958084,0.0658682634730539,0.05389221556886228
990207,1991,53,15,306,29,29,52,0.10950413223140495,0.030991735537190084,0.6322314049586777,0.05991735537190083,0.05991735537190083,0.10743801652892562
990308,1992,116,36,673,44,31,85,0.11776649746192894,0.03654822335025381,0.683248730964467,0.04467005076142132,0.03147208121827411,0.08629441624365482
990309,1993,19,8,149,8,10,19,0.0892018779342723,0.03755868544600939,0.6995305164319249,0.03755868544600939,0.046948356807511735,0.0892018779342723
990310,1994,16,10,153,2,6,21,0.07692307692307693,0.04807692307692308,0.7355769230769231,0.009615384615384616,0.028846153846153848,0.10096153846153846
990311,1995,0,0,3,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0
990412,1996,34,10,249,17,16,34,0.09444444444444444,0.027777777777777776,0.6916666666666667,0.04722222222222222,0.044444444444444446,0.09444444444444444
990413,1997,61,24,405,20,23,67,0.10166666666666667,0.04,0.675,0.03333333333333333,0.03833333333333333,0.11166666666666666
990414,1998,20,8,92,9,6,18,0.13071895424836602,0.05228758169934641,0.6013071895424836,0.058823529411764705,0.0392156862745098,0.11764705882352941
990415,1999,4,2,46,4,5,7,0.058823529411764705,0.029411764705882353,0.6764705882352942,0.058823529411764705,0.07352941176470588,0.10294117647058823
990416,2000,40,9,192,13,18,34,0.13071895424836602,0.029411764705882353,0.6274509803921569,0.042483660130718956,0.058823529411764705,0.1111111111111111
1930001,4192,16,5,267,49,3,37,0.042440318302387266,0.013262599469496022,0.7082228116710876,0.129973474801061,0.007957559681697613,0.09814323607427056
1930004,4193,4,0,31,6,3,6,0.08,0.0,0.62,0.12,0.06,0.12
1930005,4194,5,0,39,5,2,6,0.08771929824561403,0.0,0.6842105263157895,0.08771929824561403,0.03508771929824561,0.10526315789473684
1930007,4195,19,16,318,21,25,72,0.040339702760084924,0.03397027600849257,0.6751592356687898,0.044585987261146494,0.05307855626326964,0.15286624203821655
1930009,4196,2,1,56,2,2,3,0.030303030303030304,0.015151515151515152,0.8484848484848485,0.030303030303030304,0.030303030303030304,0.045454545454545456
1930012,4197,5,0,59,7,1,9,0.06172839506172839,0.0,0.7283950617283951,0.08641975308641975,0.012345679012345678,0.1111111111111111
1930014,4198,4,2,45,8,1,6,0.06060606060606061,0.030303030303030304,0.6818181818181818,0.12121212121212122,0.015151515151515152,0.09090909090909091
1930015,4199,5,4,56,10,3,8,0.05813953488372093,0.046511627906976744,0.6511627906976745,0.11627906976744186,0.03488372093023256,0.09302325581395349
1930017,4200,4,1,48,8,1,4,0.06060606060606061,0.015151515151515152,0.7272727272727273,0.12121212121212122,0.015151515151515152,0.06060606060606061
1930022,4201,27,8,265,40,13,49,0.06716417910447761,0.01990049751243781,0.6592039800995025,0.09950248756218906,0.03233830845771144,0.12189054726368159
1930023,4202,25,13,294,33,19,28,0.06067961165048544,0.03155339805825243,0.7135922330097088,0.08009708737864078,0.04611650485436893,0.06796116504854369
4910119,9464,15,15,318,13,23,43,0.0351288056206089,0.0351288056206089,0.7447306791569087,0.03044496487119438,0.053864168618266976,0.10070257611241218
4910182,9489,9,0,78,8,6,14,0.0782608695652174,0.0,0.6782608695652174,0.06956521739130435,0.05217391304347826,0.12173913043478261
4910184,9490,1,1,62,2,4,9,0.012658227848101266,0.012658227848101266,0.7848101265822784,0.02531645569620253,0.05063291139240506,0.11392405063291139
4910191,9493,1,4,39,8,6,7,0.015384615384615385,0.06153846153846154,0.6,0.12307692307692308,0.09230769230769231,0.1076923076923077
4910192,9494,0,1,20,5,3,3,0.0,0.03125,0.625,0.15625,0.09375,0.09375
4910201,9496,22,9,180,28,15,33,0.07665505226480836,0.0313588850174216,0.627177700348432,0.0975609756097561,0.05226480836236934,0.11498257839721254
4910202,9497,1,1,28,3,12,11,0.017857142857142856,0.017857142857142856,0.5,0.05357142857142857,0.21428571428571427,0.19642857142857142
4910203,9498,1,0,25,1,2,2,0.03225806451612903,0.0,0.8064516129032258,0.03225806451612903,0.06451612903225806,0.06451612903225806
4910204,9499,17,9,197,19,18,36,0.057432432432432436,0.030405405405405407,0.6655405405405406,0.06418918918918919,0.060810810810810814,0.12162162162162163
4910205,9500,5,2,45,9,4,5,0.07142857142857142,0.02857142857142857,0.6428571428571429,0.12857142857142856,0.05714285714285714,0.07142857142857142
4910206,9501,24,8,301,26,24,57,0.05454545454545454,0.01818181818181818,0.6840909090909091,0.05909090909090909,0.05454545454545454,0.12954545454545455
4910207,9502,46,16,460,60,44,74,0.06571428571428571,0.022857142857142857,0.6571428571428571,0.08571428571428572,0.06285714285714286,0.10571428571428572
4910208,9503,18,5,168,13,18,37,0.0694980694980695,0.019305019305019305,0.6486486486486487,0.05019305019305019,0.0694980694980695,0.14285714285714285
4910209,9504,34,16,479,47,58,79,0.047685834502103785,0.02244039270687237,0.6718092566619915,0.06591865357643759,0.08134642356241234,0.11079943899018233
4910210,9505,27,16,315,32,32,71,0.05476673427991886,0.032454361054766734,0.6389452332657201,0.06490872210953347,0.06490872210953347,0.1440162271805274
4910229,9507,3,0,38,3,2,4,0.06,0.0,0.76,0.06,0.04,0.08
4910230,9508,28,7,257,32,33,44,0.06982543640897755,0.017456359102244388,0.6408977556109726,0.0798004987531172,0.08229426433915212,0.10972568578553615
4910231,9509,6,6,121,16,52,32,0.02575107296137339,0.02575107296137339,0.51931330472103,0.06866952789699571,0.22317596566523606,0.13733905579399142
4910243,9510,22,15,241,37,24,59,0.05527638190954774,0.03768844221105527,0.6055276381909548,0.09296482412060302,0.06030150753768844,0.14824120603015076
4910244,9511,29,18,338,35,48,98,0.05123674911660778,0.03180212014134275,0.5971731448763251,0.061837455830388695,0.08480565371024736,0.17314487632508835
4910245,9512,27,20,407,30,39,82,0.04462809917355372,0.03305785123966942,0.6727272727272727,0.049586776859504134,0.06446280991735537,0.13553719008264462
4910251,9513,3,2,12,1,0,0,0.16666666666666666,0.1111111111111111,0.6666666666666666,0.05555555555555555,0.0,0.0
4910252,9514,21,11,302,42,33,61,0.04468085106382979,0.023404255319148935,0.6425531914893617,0.08936170212765958,0.07021276595744681,0.12978723404255318
4910253,9515,34,13,377,90,34,51,0.05676126878130217,0.021702838063439065,0.6293823038397329,0.15025041736227046,0.05676126878130217,0.08514190317195326
4910254,9516,16,12,213,42,138,48,0.03411513859275053,0.0255863539445629,0.4541577825159915,0.08955223880597014,0.2942430703624733,0.1023454157782516
4910255,9517,14,13,195,31,36,36,0.043076923076923075,0.04,0.6,0.09538461538461539,0.11076923076923077,0.11076923076923077
4910256,9518,11,17,153,30,19,42,0.04044117647058824,0.0625,0.5625,0.11029411764705882,0.06985294117647059,0.15441176470588236
4910257,9519,18,14,276,50,29,56,0.040632054176072234,0.03160270880361174,0.6230248306997742,0.11286681715575621,0.0654627539503386,0.12641083521444696
4910258,9520,5,2,31,10,9,14,0.07042253521126761,0.028169014084507043,0.43661971830985913,0.14084507042253522,0.1267605633802817,0.19718309859154928
4910259,9521,17,12,148,34,13,41,0.06415094339622641,0.045283018867924525,0.5584905660377358,0.12830188679245283,0.04905660377358491,0.15471698113207547
4910261,9522,14,6,200,26,25,39,0.04516129032258064,0.01935483870967742,0.6451612903225806,0.08387096774193549,0.08064516129032258,0.12580645161290321
4910262,9523,15,6,231,18,12,52,0.04491017964071856,0.017964071856287425,0.6916167664670658,0.05389221556886228,0.03592814371257485,0.15568862275449102
4910263,9524,12,15,270,37,21,46,0.029925187032418952,0.03740648379052369,0.6733167082294265,0.09226932668329177,0.05236907730673317,0.11471321695760599
4910264,9525,12,11,183,25,21,43,0.04067796610169491,0.03728813559322034,0.6203389830508474,0.0847457627118644,0.0711864406779661,0.14576271186440679
4910267,9527,23,14,222,25,22,55,0.06371191135734072,0.038781163434903045,0.6149584487534626,0.06925207756232687,0.060941828254847646,0.1523545706371191
4910276,9528,13,5,158,17,14,31,0.0546218487394958,0.02100840336134454,0.6638655462184874,0.07142857142857142,0.058823529411764705,0.13025210084033614
4910277,9529,24,30,365,73,117,67,0.03550295857988166,0.04437869822485207,0.5399408284023669,0.10798816568047337,0.17307692307692307,0.09911242603550297
4910278,9530,22,27,276,29,25,44,0.05200945626477541,0.06382978723404255,0.6524822695035462,0.06855791962174941,0.0591016548463357,0.10401891252955082
4910279,9531,1,1,7,0,2,1,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.0,0.16666666666666666,0.08333333333333333
4910283,9532,8,12,199,48,19,27,0.025559105431309903,0.038338658146964855,0.6357827476038339,0.15335463258785942,0.06070287539936102,0.08626198083067092
4910284,9533,21,16,332,48,28,47,0.042682926829268296,0.032520325203252036,0.6747967479674797,0.0975609756097561,0.056910569105691054,0.09552845528455285
4910287,9534,13,5,200,22,33,29,0.04304635761589404,0.016556291390728478,0.6622516556291391,0.0728476821192053,0.10927152317880795,0.09602649006622517
4910301,9535,16,16,234,49,31,28,0.0427807486631016,0.0427807486631016,0.6256684491978609,0.13101604278074866,0.08288770053475936,0.0748663101604278
4910302,9536,4,4,76,10,5,9,0.037037037037037035,0.037037037037037035,0.7037037037037037,0.09259259259259259,0.046296296296296294,0.08333333333333333
4910305,9538,12,8,115,28,19,31,0.056338028169014086,0.03755868544600939,0.539906103286385,0.13145539906103287,0.0892018779342723,0.14553990610328638
4910306,9539,85,31,760,157,88,138,0.06751389992057188,0.024622716441620333,0.6036536934074662,0.12470214455917394,0.0698967434471803,0.1096108022239873
4910307,9540,6,4,151,31,18,21,0.025974025974025976,0.017316017316017316,0.6536796536796536,0.1341991341991342,0.07792207792207792,0.09090909090909091
4910308,9541,11,7,118,9,12,12,0.0650887573964497,0.04142011834319527,0.6982248520710059,0.05325443786982249,0.07100591715976332,0.07100591715976332
4910309,9542,29,11,521,93,52,85,0.03666245259165613,0.01390644753476612,0.6586599241466498,0.11757269279393173,0.06573957016434892,0.10745891276864729
4910310,9543,11,12,266,18,28,42,0.029177718832891247,0.03183023872679045,0.7055702917771883,0.04774535809018567,0.07427055702917772,0.11140583554376658
4910311,9544,1,2,30,4,2,3,0.023809523809523808,0.047619047619047616,0.7142857142857143,0.09523809523809523,0.047619047619047616,0.07142857142857142
4910312,9545,6,4,189,39,25,24,0.020905923344947737,0.013937282229965157,0.6585365853658537,0.13588850174216027,0.08710801393728224,0.08362369337979095
4910314,9546,22,14,296,37,17,58,0.04954954954954955,0.03153153153153153,0.6666666666666666,0.08333333333333333,0.038288288288288286,0.13063063063063063
4910318,9548,0,2,33,1,0,2,0.0,0.05263157894736842,0.868421052631579,0.02631578947368421,0.0,0.05263157894736842
4910319,9549,1,0,15,2,1,0,0.05263157894736842,0.0,0.7894736842105263,0.10526315789473684,0.05263157894736842,0.0
4910320,9550,13,6,161,18,61,24,0.045936395759717315,0.02120141342756184,0.568904593639576,0.0636042402826855,0.21554770318021202,0.08480565371024736
4910331,9554,5,2,33,9,2,1,0.09615384615384616,0.038461538461538464,0.6346153846153846,0.17307692307692307,0.038461538461538464,0.019230769230769232
4910332,9555,21,15,236,35,19,28,0.059322033898305086,0.0423728813559322,0.6666666666666666,0.09887005649717515,0.05367231638418079,0.07909604519774012
4910333,9556,4,8,53,8,4,6,0.04819277108433735,0.0963855421686747,0.6385542168674698,0.0963855421686747,0.04819277108433735,0.07228915662650602
4910341,9559,14,7,288,31,30,44,0.033816425120772944,0.016908212560386472,0.6956521739130435,0.0748792270531401,0.07246376811594203,0.10628019323671498
4910342,9560,10,3,143,10,12,19,0.050761421319796954,0.015228426395939087,0.7258883248730964,0.050761421319796954,0.06091370558375635,0.09644670050761421
4910343,9561,28,24,438,35,41,90,0.042682926829268296,0.036585365853658534,0.6676829268292683,0.053353658536585365,0.0625,0.13719512195121952
4910344,9562,20,20,284,39,40,62,0.043010752688172046,0.043010752688172046,0.610752688172043,0.08387096774193549,0.08602150537634409,0.13333333333333333
4910345,9563,20,5,184,21,20,33,0.0706713780918728,0.0176678445229682,0.6501766784452296,0.07420494699646643,0.0706713780918728,0.1166077738515901
4910346,9564,18,9,238,41,28,50,0.046875,0.0234375,0.6197916666666666,0.10677083333333333,0.07291666666666667,0.13020833333333334
4910360,9565,18,22,280,29,36,43,0.04205607476635514,0.0514018691588785,0.6542056074766355,0.06775700934579439,0.08411214953271028,0.10046728971962617
4910367,9566,0,1,4,2,3,3,0.0,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.23076923076923078
4910368,9567,13,8,252,35,24,45,0.034482758620689655,0.021220159151193633,0.6684350132625995,0.09283819628647215,0.0636604774535809,0.11936339522546419
4910369,9568,31,14,246,22,28,71,0.07524271844660194,0.03398058252427184,0.5970873786407767,0.05339805825242718,0.06796116504854369,0.17233009708737865
4910370,9569,13,12,228,19,18,59,0.03724928366762178,0.034383954154727794,0.6532951289398281,0.054441260744985676,0.05157593123209169,0.16905444126074498
4910371,9570,22,10,296,37,38,59,0.047619047619047616,0.021645021645021644,0.6406926406926406,0.08008658008658008,0.08225108225108226,0.1277056277056277
4910372,9571,27,16,359,37,26,51,0.05232558139534884,0.031007751937984496,0.6957364341085271,0.07170542635658915,0.050387596899224806,0.09883720930232558
4910379,9572,42,23,559,51,77,103,0.04912280701754386,0.026900584795321637,0.6538011695906433,0.05964912280701754,0.09005847953216374,0.12046783625730995
4910380,9573,2,2,12,2,6,6,0.06666666666666667,0.06666666666666667,0.4,0.06666666666666667,0.2,0.2
4910381,9574,38,27,697,269,100,90,0.031122031122031123,0.022113022113022112,0.5708435708435708,0.2203112203112203,0.0819000819000819,0.07371007371007371
4910390,9575,26,16,239,27,28,29,0.07123287671232877,0.043835616438356165,0.6547945205479452,0.07397260273972603,0.07671232876712329,0.07945205479452055
4910390,9576,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
4910391,9577,14,14,211,27,54,52,0.03763440860215054,0.03763440860215054,0.5672043010752689,0.07258064516129033,0.14516129032258066,0.13978494623655913
4910392,9578,34,23,535,107,61,89,0.04004711425206125,0.027090694935217905,0.6301531213191991,0.12603062426383982,0.071849234393404,0.10482921083627797
4910393,9579,46,29,693,228,112,92,0.03833333333333333,0.024166666666666666,0.5775,0.19,0.09333333333333334,0.07666666666666666
4910394,9580,30,47,577,384,86,89,0.0247320692497939,0.038746908491343775,0.4756801319043693,0.3165704863973619,0.07089859851607584,0.07337180544105523
4910395,9581,31,19,323,131,56,73,0.04897314375987362,0.030015797788309637,0.5102685624012638,0.20695102685624012,0.08846761453396525,0.11532385466034756
4910396,9582,21,22,359,119,66,68,0.03206106870229008,0.03358778625954199,0.5480916030534351,0.18167938931297709,0.10076335877862595,0.10381679389312977
4910397,9583,26,24,572,171,73,74,0.027659574468085105,0.02553191489361702,0.6085106382978723,0.1819148936170213,0.07765957446808511,0.07872340425531915
4910401,9586,16,12,248,15,31,49,0.0431266846361186,0.03234501347708895,0.6684636118598383,0.04043126684636118,0.08355795148247978,0.1320754716981132
4910402,9587,12,8,244,11,23,32,0.03636363636363636,0.024242424242424242,0.7393939393939394,0.03333333333333333,0.0696969696969697,0.09696969696969697
4910403,9588,22,17,163,17,17,34,0.08148148148148149,0.06296296296296296,0.6037037037037037,0.06296296296296296,0.06296296296296296,0.1259259259259259
4910409,9589,2,7,125,3,7,27,0.011695906432748537,0.04093567251461988,0.7309941520467836,0.017543859649122806,0.04093567251461988,0.15789473684210525
4910410,9590,23,13,240,17,15,42,0.06571428571428571,0.037142857142857144,0.6857142857142857,0.04857142857142857,0.04285714285714286,0.12
4910411,9591,26,18,353,32,36,84,0.04735883424408015,0.03278688524590164,0.6429872495446266,0.058287795992714025,0.06557377049180328,0.15300546448087432
4910412,9592,38,9,235,16,13,39,0.10857142857142857,0.025714285714285714,0.6714285714285714,0.045714285714285714,0.037142857142857144,0.11142857142857143
4910415,9594,4,12,273,8,13,37,0.011527377521613832,0.0345821325648415,0.7867435158501441,0.023054755043227664,0.037463976945244955,0.10662824207492795
4910419,9596,13,4,45,3,8,8,0.16049382716049382,0.04938271604938271,0.5555555555555556,0.037037037037037035,0.09876543209876543,0.09876543209876543
4910420,9597,11,6,204,20,16,30,0.03832752613240418,0.020905923344947737,0.710801393728223,0.06968641114982578,0.05574912891986063,0.10452961672473868
4910422,9599,9,12,251,17,21,57,0.02452316076294278,0.0326975476839237,0.6839237057220708,0.04632152588555858,0.05722070844686648,0.1553133514986376
