CNTYVTD,VTDKEY,AbelR_24P_U.S. Rep 31,AndersonR_24P_U.S. Rep 31,CarterR_24P_U.S. Rep 31,GarapatiR_24P_U.S. Rep 31,LatimerR_24P_U.S. Rep 31,WilliamsR_24P_U.S. Rep 31
4910256,9518,11,17,153,30,19,42
4910257,9519,18,14,276,50,29,56
4910258,9520,5,2,31,10,9,14
4910259,9521,17,12,148,34,13,41
4910261,9522,14,6,200,26,25,39
4910262,9523,15,6,231,18,12,52
4910263,9524,12,15,270,37,21,46
4910264,9525,12,11,183,25,21,43
4910267,9527,23,14,222,25,22,55
4910276,9528,13,5,158,17,14,31
4910277,9529,24,30,365,73,117,67
4910278,9530,22,27,276,29,25,44
4910279,9531,1,1,7,0,2,1
4910283,9532,8,12,199,48,19,27
4910284,9533,21,16,332,48,28,47
4910287,9534,13,5,200,22,33,29
4910301,9535,16,16,234,49,31,28
4910302,9536,4,4,76,10,5,9
4910305,9538,12,8,115,28,19,31
4910306,9539,85,31,760,157,88,138
4910307,9540,6,4,151,31,18,21
4910308,9541,11,7,118,9,12,12
4910309,9542,29,11,521,93,52,85
4910310,9543,11,12,266,18,28,42
4910311,9544,1,2,30,4,2,3
4910312,9545,6,4,189,39,25,24
4910314,9546,22,14,296,37,17,58
4910318,9548,0,2,33,1,0,2
4910319,9549,1,0,15,2,1,0
4910320,9550,13,6,161,18,61,24
4910331,9554,5,2,33,9,2,1
4910332,9555,21,15,236,35,19,28
4910333,9556,4,8,53,8,4,6
4910341,9559,14,7,288,31,30,44
4910342,9560,10,3,143,10,12,19
4910343,9561,28,24,438,35,41,90
4910344,9562,20,20,284,39,40,62
4910345,9563,20,5,184,21,20,33
4910346,9564,18,9,238,41,28,50
4910360,9565,18,22,280,29,36,43
4910367,9566,0,1,4,2,3,3
4910368,9567,13,8,252,35,24,45
4910369,9568,31,14,246,22,28,71
4910370,9569,13,12,228,19,18,59
4910371,9570,22,10,296,37,38,59
4910372,9571,27,16,359,37,26,51
4910379,9572,42,23,559,51,77,103
4910380,9573,2,2,12,2,6,6
4910381,9574,38,27,697,269,100,90
4910390,9575,26,16,239,27,28,29
4910390,9576,0,0,0,0,0,0
4910391,9577,14,14,211,27,54,52
4910392,9578,34,23,535,107,61,89
4910393,9579,46,29,693,228,112,92
4910394,9580,30,47,577,384,86,89
4910395,9581,31,19,323,131,56,73
4910396,9582,21,22,359,119,66,68
4910397,9583,26,24,572,171,73,74
4910401,9586,16,12,248,15,31,49
4910402,9587,12,8,244,11,23,32
4910403,9588,22,17,163,17,17,34
4910409,9589,2,7,125,3,7,27
4910410,9590,23,13,240,17,15,42
4910411,9591,26,18,353,32,36,84
4910412,9592,38,9,235,16,13,39
4910415,9594,4,12,273,8,13,37
4910419,9596,13,4,45,3,8,8
4910420,9597,11,6,204,20,16,30
4910422,9599,9,12,251,17,21,57
4910424,9600,26,14,487,28,33,67
4910425,9601,3,2,75,1,4,17
4910427,9603,11,18,282,30,11,42
4910428,9604,14,11,318,36,15,66
4910429,9605,7,10,200,22,10,22
4910432,9606,2,1,10,1,0,2
4910433,9607,30,26,351,32,41,67
4910434,9608,3,6,173,16,18,38
4910436,9609,10,6,186,9,13,26
4910437,9610,23,21,369,47,40,63
4910456,9611,11,6,160,17,10,14
4910468,9612,7,2,53,7,9,17
4910470,9613,21,13,332,18,37,62
4910471,9614,1,3,39,5,2,8
4910472,9615,7,3,77,3,3,19
4910473,9616,4,4,73,6,5,10
4910482,9617,12,17,337,21,23,46
4910484,9618,10,14,237,18,12,43
4910485,9619,9,4,145,12,16,24
4910486,9620,12,10,211,26,14,33
4910487,9621,0,0,15,2,1,2
4910488,9622,12,9,234,10,18,28
4910491,9625,15,12,223,20,22,48
