CNTYVTD,VTDKEY,CarterR_20G_U.S. Rep 31,ImamD_20G_U.S. Rep 31,PattersonL_20G_U.S. Rep 31
4910392,9578,1768,840,52
4910393,9579,1829,893,22
4910394,9580,1880,955,24
4910395,9581,170,62,5
4910396,9582,1214,596,9
4910397,9583,1251,616,10
4910398,9584,1159,1483,57
4910399,9585,281,367,10
4910401,9586,1525,1654,96
4910402,9587,1517,1624,107
4910403,9588,561,607,34
4910409,9589,142,65,6
4910410,9590,1739,850,71
4910411,9591,1359,518,40
4910412,9592,539,257,14
4910413,9593,1622,481,42
4910415,9594,908,345,22
4910418,9595,5,3,0
4910419,9596,248,268,13
4910420,9597,1097,1199,51
4910421,9598,469,357,24
4910422,9599,1491,1602,79
4910424,9600,1804,1248,55
4910425,9601,270,144,9
4910426,9602,437,327,17
4910427,9603,1105,744,39
4910428,9604,1236,702,38
4910429,9605,711,748,35
4910432,9606,137,129,7
4910433,9607,1800,1555,80
4910434,9608,667,170,19
4910436,9609,560,328,15
4910437,9610,2000,1956,81
4910456,9611,519,555,35
4910468,9612,383,395,22
4910470,9613,975,647,40
4910471,9614,105,71,4
4910472,9615,243,163,13
4910473,9616,515,328,24
4910482,9617,1453,1106,47
4910484,9618,1148,1300,59
4910485,9619,696,796,31
4910486,9620,499,424,24
4910487,9621,51,44,2
4910488,9622,1203,1117,48
4910489,9623,1155,1239,44
4910490,9624,1668,1612,87
4910491,9625,1199,1530,64
