CNTYVTD,VTDKEY,CarterR_20G_U.S. Rep 31,ImamD_20G_U.S. Rep 31,PattersonL_20G_U.S. Rep 31,CarterR_20G_U.S. Rep 31_Percentage,ImamD_20G_U.S. Rep 31_Percentage,PattersonL_20G_U.S. Rep 31_Percentage
270214,220,1242,1584,69,0.42901554404145076,0.5471502590673575,0.02383419689119171
270215,221,1244,1648,67,0.42041230145319364,0.5569449138222372,0.022642784724569112
270216,222,1191,908,41,0.5565420560747664,0.42429906542056073,0.019158878504672898
270301,223,2265,387,61,0.8348691485440471,0.1426465167711021,0.02248433468485072
270302,224,1795,1145,56,0.5991321762349799,0.3821762349799733,0.018691588785046728
270303,225,1576,1248,52,0.5479833101529903,0.4339360222531293,0.01808066759388039
270304,226,173,55,3,0.7489177489177489,0.23809523809523808,0.012987012987012988
270305,227,1052,455,27,0.6857887874837028,0.2966101694915254,0.017601043024771838
270306,228,809,948,29,0.45296752519596867,0.5307950727883539,0.016237402015677492
270307,229,475,1016,20,0.314361350099272,0.6724023825281271,0.013236267372600927
270308,230,1582,1055,61,0.586360266864344,0.3910303928836175,0.02260934025203855
270309,231,789,151,12,0.8287815126050421,0.15861344537815125,0.012605042016806723
270310,232,362,33,10,0.8938271604938272,0.08148148148148149,0.024691358024691357
270311,233,1843,354,39,0.8242397137745975,0.15831842576028624,0.01744186046511628
270312,234,1223,215,18,0.8399725274725275,0.14766483516483517,0.012362637362637362
270313,235,2125,949,64,0.677182919056724,0.3024219247928617,0.020395156150414276
270314,236,988,758,54,0.5488888888888889,0.4211111111111111,0.03
270315,237,1632,798,50,0.6580645161290323,0.3217741935483871,0.020161290322580645
270317,238,714,342,17,0.6654240447343895,0.31873252562907733,0.015843429636533086
270318,239,2079,1025,69,0.6552158840214308,0.3230381342578002,0.021745981720768987
270319,240,1527,752,39,0.6587575496117343,0.3244176013805004,0.016824849007765316
270401,241,683,218,21,0.7407809110629068,0.23644251626898047,0.0227765726681128
270402,242,770,340,18,0.6826241134751773,0.30141843971631205,0.015957446808510637
270404,243,665,1070,47,0.37317620650953987,0.6004489337822672,0.026374859708193043
270405,244,0,0,0,0.0,0.0,0.0
270406,245,682,810,26,0.4492753623188406,0.5335968379446641,0.017127799736495388
270408,246,844,1421,71,0.3613013698630137,0.608304794520548,0.030393835616438356
270409,247,659,686,29,0.4796215429403202,0.4992721979621543,0.021106259097525473
270410,248,429,700,38,0.3676092544987147,0.5998286203941731,0.032562125107112254
270412,249,154,251,6,0.3746958637469586,0.610705596107056,0.014598540145985401
270415,252,759,1258,54,0.36648961854176726,0.607436021245775,0.02607436021245775
270419,253,565,256,11,0.6790865384615384,0.3076923076923077,0.013221153846153846
4910116,9460,479,541,30,0.4561904761904762,0.5152380952380953,0.02857142857142857
4910116,9461,0,0,0,0.0,0.0,0.0
4910117,9462,1092,2327,81,0.312,0.6648571428571428,0.023142857142857142
4910118,9463,886,1379,57,0.3815676141257537,0.5938845822566753,0.02454780361757106
4910119,9464,1316,1350,67,0.48152213684595685,0.49396267837541163,0.02451518477863154
4910122,9465,176,188,6,0.4756756756756757,0.5081081081081081,0.016216216216216217
4910123,9466,988,1488,86,0.38563622170179546,0.5807962529274004,0.03356752537080406
4910135,9467,739,1269,69,0.35580163697640826,0.6109773712084737,0.03322099181511796
4910136,9468,49,91,3,0.34265734265734266,0.6363636363636364,0.02097902097902098
4910138,9469,662,678,38,0.48040638606676345,0.49201741654571846,0.027576197387518143
4910139,9470,995,1420,62,0.401695599515543,0.5732741219216795,0.025030278562777553
4910143,9471,123,209,12,0.35755813953488375,0.6075581395348837,0.03488372093023256
4910144,9472,232,296,13,0.4288354898336414,0.5471349353049908,0.024029574861367836
4910145,9473,786,1064,66,0.4102296450939457,0.5553235908141962,0.03444676409185804
4910146,9474,977,2145,81,0.3050265376209803,0.6696846706212926,0.025288791757727132
4910147,9475,1136,2475,95,0.30652995143011336,0.667835941716136,0.025634106853750675
4910149,9476,756,1084,61,0.3976854287217254,0.5702261967385587,0.03208837453971594
4910150,9477,1001,1643,75,0.36815005516734095,0.6042662743655756,0.027583670467083488
4910151,9478,1067,2304,87,0.30855986119144013,0.6662810873337189,0.02515905147484095
4910155,9479,859,1525,56,0.35204918032786886,0.625,0.022950819672131147
4910162,9480,942,2011,68,0.3118172790466733,0.6656736180072823,0.022509102946044357
4910163,9481,746,1327,49,0.351555136663525,0.6253534401508011,0.023091423185673893
4910164,9482,113,195,7,0.35873015873015873,0.6190476190476191,0.022222222222222223
4910166,9483,676,818,34,0.4424083769633508,0.5353403141361257,0.02225130890052356
4910173,9484,896,1003,54,0.45878136200716846,0.5135688684075781,0.027649769585253458
4910174,9485,552,1170,38,0.31363636363636366,0.6647727272727273,0.02159090909090909
4910175,9486,704,1308,52,0.34108527131782945,0.6337209302325582,0.025193798449612403
4910180,9487,1129,1777,73,0.3789862369922793,0.5965088956025512,0.02450486740516952
4910181,9488,517,801,37,0.381549815498155,0.5911439114391144,0.02730627306273063
4910182,9489,455,348,16,0.5555555555555556,0.4249084249084249,0.019536019536019536
4910184,9490,491,555,26,0.45802238805970147,0.5177238805970149,0.024253731343283583
4910186,9491,864,1301,37,0.3923705722070845,0.5908265213442325,0.016802906448683014
4910189,9492,1014,1543,42,0.39015005771450556,0.5936898807233552,0.016160061562139283
4910191,9493,265,340,16,0.42673107890499196,0.5475040257648953,0.02576489533011272
4910192,9494,197,250,9,0.43201754385964913,0.5482456140350878,0.019736842105263157
4910198,9495,28,36,1,0.4307692307692308,0.5538461538461539,0.015384615384615385
4910201,9496,1207,1314,47,0.47001557632398755,0.5116822429906542,0.018302180685358254
4910202,9497,269,223,12,0.5337301587301587,0.44246031746031744,0.023809523809523808
4910203,9498,44,46,1,0.4835164835164835,0.5054945054945055,0.01098901098901099
4910204,9499,1219,1351,51,0.4650896604349485,0.5154521175123998,0.019458222052651658
4910205,9500,66,86,3,0.4258064516129032,0.5548387096774193,0.01935483870967742
4910206,9501,1167,386,41,0.732120451693852,0.24215809284818068,0.025721455457967377
4910207,9502,1709,512,53,0.7515391380826737,0.22515391380826738,0.023306948109058926
4910208,9503,932,305,33,0.7338582677165354,0.24015748031496062,0.025984251968503937
4910209,9504,1949,580,64,0.7516390281527189,0.2236791361357501,0.024681835711531045
4910210,9505,1023,643,44,0.5982456140350877,0.3760233918128655,0.025730994152046785
4910216,9506,479,506,33,0.47053045186640474,0.49705304518664045,0.03241650294695481
4910229,9507,102,82,3,0.5454545454545454,0.4385026737967914,0.016042780748663103
4910230,9508,1579,1545,90,0.49128811449906656,0.4807093963907903,0.028002489110143122
4910231,9509,741,636,34,0.5251594613749114,0.45074415308291993,0.024096385542168676
4910243,9510,687,335,19,0.659942363112392,0.3218059558117195,0.01825168107588857
4910244,9511,936,463,28,0.6559215136650315,0.32445690259285215,0.019621583742116328
4910245,9512,1651,718,57,0.6805441055234954,0.2959604286892003,0.023495465787304205
4910251,9513,58,19,2,0.7341772151898734,0.24050632911392406,0.02531645569620253
4910252,9514,1539,1159,59,0.558215451577802,0.4203844758795793,0.02140007254261879
4910253,9515,2008,1404,104,0.571103526734926,0.3993174061433447,0.02957906712172924
4910254,9516,1406,1298,88,0.5035816618911175,0.4648997134670487,0.03151862464183381
4910255,9517,1214,796,56,0.5876089060987415,0.38528557599225555,0.027105517909002903
4910256,9518,648,474,33,0.561038961038961,0.4103896103896104,0.02857142857142857
4910257,9519,1588,1435,96,0.5091375440846425,0.4600833600512985,0.030779095864058994
4910258,9520,71,48,2,0.5867768595041323,0.39669421487603307,0.01652892561983471
4910259,9521,630,504,29,0.5417024935511608,0.43336199484092863,0.024935511607910577
4910261,9522,1128,1022,56,0.5113327289211242,0.46328195829555757,0.025385312783318223
4910262,9523,855,668,44,0.5456285896617741,0.4262922782386726,0.028079132099553285
4910263,9524,1230,1100,56,0.5155071248952221,0.46102263202011734,0.02347024308466052
4910264,9525,1218,929,56,0.5528824330458466,0.42169768497503407,0.02541988197911938
4910266,9526,990,1195,51,0.44275491949910556,0.5344364937388193,0.022808586762075134
4910267,9527,994,648,44,0.5895610913404508,0.38434163701067614,0.02609727164887307
4910276,9528,691,617,31,0.5160567587752054,0.4607916355489171,0.02315160567587752
4910277,9529,1590,1558,84,0.49195544554455445,0.48205445544554454,0.02599009900990099
4910278,9530,1531,1762,95,0.45188902007083825,0.5200708382526564,0.02804014167650531
4910279,9531,53,46,0,0.5353535353535354,0.46464646464646464,0.0
4910283,9532,1230,1370,76,0.45964125560538116,0.5119581464872944,0.028400597907324365
4910284,9533,1472,1485,88,0.4834154351395731,0.4876847290640394,0.02889983579638752
4910287,9534,906,883,60,0.4899945916711736,0.4775554353704705,0.03244997295835587
4910301,9535,1592,2033,63,0.4316702819956616,0.5512472885032538,0.017082429501084597
4910302,9536,301,249,8,0.5394265232974911,0.44623655913978494,0.014336917562724014
4910303,9537,841,1071,26,0.43395252837977294,0.5526315789473685,0.013415892672858616
4910305,9538,644,245,15,0.7123893805309734,0.27101769911504425,0.016592920353982302
4910306,9539,2547,960,59,0.7142456533931576,0.269209197980931,0.016545148625911384
4910307,9540,346,186,6,0.6431226765799256,0.34572490706319703,0.011152416356877323
4910308,9541,469,193,13,0.6948148148148148,0.2859259259259259,0.01925925925925926
4910309,9542,1885,652,51,0.7283616692426584,0.25193199381761977,0.01970633693972179
4910310,9543,1005,290,29,0.7590634441087614,0.2190332326283988,0.02190332326283988
4910311,9544,64,29,1,0.6808510638297872,0.30851063829787234,0.010638297872340425
4910312,9545,481,234,13,0.6607142857142857,0.32142857142857145,0.017857142857142856
4910314,9546,1478,1346,67,0.5112417848495331,0.46558284330681426,0.023175371843652714
4910317,9547,376,393,13,0.48081841432225064,0.5025575447570333,0.016624040920716114
4910318,9548,158,147,6,0.5080385852090032,0.47266881028938906,0.01929260450160772
4910319,9549,73,66,2,0.5177304964539007,0.46808510638297873,0.014184397163120567
4910320,9550,543,496,23,0.5112994350282486,0.4670433145009416,0.021657250470809793
4910321,9551,10,10,0,0.5,0.5,0.0
4910322,9552,553,577,24,0.47920277296360486,0.5,0.02079722703639515
4910323,9553,35,33,2,0.5,0.4714285714285714,0.02857142857142857
4910331,9554,461,354,16,0.5547533092659447,0.4259927797833935,0.019253910950661854
4910332,9555,1199,870,40,0.568515884305358,0.41251778093883357,0.01896633475580844
4910333,9556,243,215,11,0.5181236673773987,0.4584221748400853,0.023454157782515993
4910338,9557,882,910,46,0.47986942328618065,0.49510337323177367,0.025027203482045703
4910340,9558,750,863,36,0.45482110369921164,0.5233474833232262,0.021831412977562158
4910341,9559,1218,702,60,0.6151515151515151,0.35454545454545455,0.030303030303030304
4910342,9560,544,565,33,0.4763572679509632,0.4947460595446585,0.028896672504378284
4910343,9561,1584,1142,65,0.5675385166606951,0.40917233966320316,0.023289143676101756
4910344,9562,1025,504,30,0.6574727389352149,0.32328415651058373,0.01924310455420141
4910345,9563,485,283,18,0.6170483460559797,0.36005089058524176,0.022900763358778626
4910346,9564,833,411,24,0.6569400630914827,0.32413249211356465,0.01892744479495268
4910360,9565,1510,1899,96,0.43081312410841655,0.5417974322396576,0.027389443651925822
4910367,9566,37,40,2,0.46835443037974683,0.5063291139240507,0.02531645569620253
4910368,9567,1217,1217,50,0.48993558776167473,0.48993558776167473,0.020128824476650563
4910369,9568,1207,1050,55,0.5220588235294118,0.4541522491349481,0.02378892733564014
4910370,9569,991,753,54,0.5511679644048944,0.41879866518353726,0.030033370411568408
4910371,9570,1463,755,42,0.6473451327433628,0.334070796460177,0.018584070796460177
4910372,9571,1699,1493,64,0.5218058968058968,0.45853808353808356,0.019656019656019656
4910379,9572,1844,762,57,0.6924521216672925,0.28614344723995494,0.021404431092752536
4910380,9573,25,26,3,0.46296296296296297,0.48148148148148145,0.05555555555555555
4910381,9574,1869,943,25,0.6587945012336975,0.33239337328163554,0.008812125484666901
4910390,9575,1232,1133,50,0.5101449275362319,0.4691511387163561,0.020703933747412008
4910390,9576,0,0,0,0.0,0.0,0.0
4910391,9577,856,404,22,0.6677067082683308,0.31513260530421217,0.0171606864274571
4910392,9578,1768,840,52,0.6646616541353384,0.3157894736842105,0.019548872180451128
4910393,9579,1829,893,22,0.6665451895043731,0.32543731778425655,0.008017492711370262
4910394,9580,1880,955,24,0.6575725778244141,0.3340328786288912,0.008394543546694649
4910395,9581,170,62,5,0.7172995780590717,0.2616033755274262,0.02109704641350211
4910396,9582,1214,596,9,0.6673996701484332,0.3276525563496427,0.004947773501924134
4910397,9583,1251,616,10,0.6664890783164624,0.32818327117741075,0.005327650506126798
4910398,9584,1159,1483,57,0.42941830307521306,0.5494627639866617,0.02111893293812523
4910399,9585,281,367,10,0.4270516717325228,0.5577507598784195,0.015197568389057751
4910401,9586,1525,1654,96,0.46564885496183206,0.5050381679389313,0.02931297709923664
4910402,9587,1517,1624,107,0.46705665024630544,0.5,0.03294334975369458
4910403,9588,561,607,34,0.4667221297836938,0.5049916805324459,0.028286189683860232
4910409,9589,142,65,6,0.6666666666666666,0.3051643192488263,0.028169014084507043
4910410,9590,1739,850,71,0.6537593984962407,0.31954887218045114,0.02669172932330827
4910411,9591,1359,518,40,0.7089201877934272,0.27021387584767864,0.020865936358894107
4910412,9592,539,257,14,0.6654320987654321,0.3172839506172839,0.01728395061728395
4910413,9593,1622,481,42,0.7561771561771562,0.22424242424242424,0.019580419580419582
4910415,9594,908,345,22,0.712156862745098,0.27058823529411763,0.017254901960784313
4910418,9595,5,3,0,0.625,0.375,0.0
4910419,9596,248,268,13,0.46880907372400754,0.5066162570888468,0.024574669187145556
4910420,9597,1097,1199,51,0.4674051981252663,0.5108649339582446,0.021729867916489135
4910421,9598,469,357,24,0.5517647058823529,0.42,0.02823529411764706
4910422,9599,1491,1602,79,0.47005044136191676,0.5050441361916772,0.024905422446406054
4910424,9600,1804,1248,55,0.5806243965239781,0.401673640167364,0.017701963308657868
4910425,9601,270,144,9,0.6382978723404256,0.3404255319148936,0.02127659574468085
4910426,9602,437,327,17,0.559539052496799,0.4186939820742638,0.02176696542893726
4910427,9603,1105,744,39,0.5852754237288136,0.3940677966101695,0.02065677966101695
4910428,9604,1236,702,38,0.6255060728744939,0.35526315789473684,0.019230769230769232
4910429,9605,711,748,35,0.4759036144578313,0.500669344042838,0.023427041499330656
4910432,9606,137,129,7,0.5018315018315018,0.4725274725274725,0.02564102564102564
4910433,9607,1800,1555,80,0.5240174672489083,0.45269286754002913,0.023289665211062592
4910434,9608,667,170,19,0.7792056074766355,0.1985981308411215,0.02219626168224299
4910436,9609,560,328,15,0.6201550387596899,0.36323366555924697,0.016611295681063124
4910437,9610,2000,1956,81,0.49541738915035916,0.48451820658905126,0.020064404260589547
4910456,9611,519,555,35,0.46798917944093776,0.5004508566275925,0.031559963931469794
4910468,9612,383,395,22,0.47875,0.49375,0.0275
4910470,9613,975,647,40,0.5866425992779783,0.38929001203369434,0.024067388688327317
4910471,9614,105,71,4,0.5833333333333334,0.39444444444444443,0.022222222222222223
4910472,9615,243,163,13,0.5799522673031027,0.38902147971360385,0.031026252983293555
4910473,9616,515,328,24,0.5940023068050749,0.37831603229527105,0.02768166089965398
4910482,9617,1453,1106,47,0.5575594781273984,0.4244052187260169,0.018035303146584806
4910484,9618,1148,1300,59,0.4579178300757878,0.5185480654168328,0.023534104507379337
4910485,9619,696,796,31,0.45699277741300065,0.5226526592252134,0.020354563361785948
4910486,9620,499,424,24,0.5269271383315733,0.4477296726504752,0.025343189017951427
4910487,9621,51,44,2,0.5257731958762887,0.4536082474226804,0.020618556701030927
4910488,9622,1203,1117,48,0.5080236486486487,0.4717060810810811,0.02027027027027027
4910489,9623,1155,1239,44,0.47374897456931914,0.5082034454470877,0.01804757998359311
4910490,9624,1668,1612,87,0.4953964953964954,0.47876447876447875,0.02583902583902584
4910491,9625,1199,1530,64,0.4292875044754744,0.547798066595059,0.022914428929466525
