CNTYVTD,VTDKEY,CarterR_22P_U.S. Rep 31,GarapatiR_22P_U.S. Rep 31,WilliamsR_22P_U.S. Rep 31,CarterR_22P_U.S. Rep 31_Percentage,GarapatiR_22P_U.S. Rep 31_Percentage,WilliamsR_22P_U.S. Rep 31_Percentage
4910208,9503,138,25,62,0.6133333333333333,0.1111111111111111,0.27555555555555555
4910209,9504,421,40,97,0.7544802867383512,0.07168458781362007,0.17383512544802868
4910210,9505,265,23,125,0.6416464891041163,0.05569007263922518,0.3026634382566586
4910229,9507,49,6,8,0.7777777777777778,0.09523809523809523,0.12698412698412698
4910230,9508,275,38,81,0.6979695431472082,0.09644670050761421,0.20558375634517767
4910231,9509,124,16,51,0.6492146596858639,0.08376963350785341,0.2670157068062827
4910243,9510,235,36,79,0.6714285714285714,0.10285714285714286,0.2257142857142857
4910244,9511,335,48,110,0.6795131845841785,0.0973630831643002,0.2231237322515213
4910245,9512,336,54,141,0.632768361581921,0.1016949152542373,0.2655367231638418
4910251,9513,23,1,4,0.8214285714285714,0.03571428571428571,0.14285714285714285
4910252,9514,335,56,97,0.6864754098360656,0.11475409836065574,0.1987704918032787
4910253,9515,414,43,80,0.770949720670391,0.08007448789571694,0.148975791433892
4910254,9516,248,34,116,0.6231155778894473,0.08542713567839195,0.2914572864321608
4910255,9517,166,23,59,0.6693548387096774,0.09274193548387097,0.23790322580645162
4910256,9518,126,23,49,0.6363636363636364,0.11616161616161616,0.2474747474747475
4910257,9519,267,27,100,0.6776649746192893,0.06852791878172589,0.25380710659898476
4910258,9520,27,7,8,0.6428571428571429,0.16666666666666666,0.19047619047619047
4910259,9521,147,20,36,0.7241379310344828,0.09852216748768473,0.17733990147783252
4910261,9522,176,27,59,0.6717557251908397,0.10305343511450382,0.22519083969465647
4910262,9523,239,19,54,0.7660256410256411,0.060897435897435896,0.17307692307692307
4910263,9524,256,29,75,0.7111111111111111,0.08055555555555556,0.20833333333333334
4910264,9525,162,28,49,0.6778242677824268,0.11715481171548117,0.20502092050209206
4910267,9527,176,26,78,0.6285714285714286,0.09285714285714286,0.2785714285714286
4910276,9528,153,12,46,0.7251184834123223,0.05687203791469194,0.21800947867298578
4910277,9529,391,54,108,0.7070524412296564,0.09764918625678119,0.19529837251356238
4910278,9530,258,42,70,0.6972972972972973,0.11351351351351352,0.1891891891891892
4910279,9531,10,0,3,0.7692307692307693,0.0,0.23076923076923078
4910283,9532,214,25,61,0.7133333333333334,0.08333333333333333,0.20333333333333334
4910284,9533,319,35,79,0.7367205542725174,0.08083140877598152,0.18244803695150116
4910287,9534,178,26,48,0.7063492063492064,0.10317460317460317,0.19047619047619047
4910301,9535,245,50,55,0.7,0.14285714285714285,0.15714285714285714
4910302,9536,82,10,21,0.7256637168141593,0.08849557522123894,0.18584070796460178
4910305,9538,98,12,26,0.7205882352941176,0.08823529411764706,0.19117647058823528
4910306,9539,673,94,141,0.7411894273127754,0.10352422907488987,0.15528634361233482
4910307,9540,143,22,34,0.7185929648241206,0.11055276381909548,0.1708542713567839
4910308,9541,110,21,22,0.7189542483660131,0.13725490196078433,0.1437908496732026
4910309,9542,423,63,127,0.6900489396411092,0.10277324632952692,0.20717781402936378
4910310,9543,217,17,62,0.7331081081081081,0.057432432432432436,0.20945945945945946
4910311,9544,30,0,4,0.8823529411764706,0.0,0.11764705882352941
4910312,9545,178,28,38,0.7295081967213115,0.11475409836065574,0.1557377049180328
4910314,9546,256,43,58,0.7170868347338936,0.12044817927170869,0.16246498599439776
4910318,9548,33,0,2,0.9428571428571428,0.0,0.05714285714285714
4910319,9549,13,3,6,0.5909090909090909,0.13636363636363635,0.2727272727272727
4910320,9550,179,29,86,0.608843537414966,0.09863945578231292,0.2925170068027211
4910331,9554,33,13,16,0.532258064516129,0.20967741935483872,0.25806451612903225
4910332,9555,242,35,55,0.7289156626506024,0.10542168674698796,0.16566265060240964
4910333,9556,71,11,17,0.7171717171717171,0.1111111111111111,0.1717171717171717
4910341,9559,268,43,67,0.708994708994709,0.11375661375661375,0.17724867724867724
4910342,9560,132,19,39,0.6947368421052632,0.1,0.20526315789473684
4910343,9561,465,53,111,0.739268680445151,0.08426073131955485,0.17647058823529413
4910344,9562,280,33,93,0.6896551724137931,0.0812807881773399,0.229064039408867
4910345,9563,185,20,55,0.7115384615384616,0.07692307692307693,0.21153846153846154
4910346,9564,249,30,77,0.699438202247191,0.08426966292134831,0.21629213483146068
4910360,9565,305,49,83,0.6979405034324943,0.11212814645308924,0.18993135011441648
4910367,9566,11,0,4,0.7333333333333333,0.0,0.26666666666666666
4910368,9567,220,38,66,0.6790123456790124,0.11728395061728394,0.2037037037037037
4910369,9568,223,17,67,0.7263843648208469,0.05537459283387622,0.2182410423452769
4910370,9569,199,25,53,0.7184115523465704,0.09025270758122744,0.19133574007220217
4910371,9570,284,28,65,0.753315649867374,0.07427055702917772,0.1724137931034483
4910372,9571,420,60,108,0.7142857142857143,0.10204081632653061,0.1836734693877551
4910379,9572,559,54,119,0.7636612021857924,0.07377049180327869,0.16256830601092895
4910380,9573,21,3,7,0.6774193548387096,0.0967741935483871,0.22580645161290322
4910381,9574,725,188,125,0.6984585741811176,0.1811175337186898,0.12042389210019268
4910390,9575,246,31,68,0.7130434782608696,0.08985507246376812,0.19710144927536233
4910390,9576,0,0,0,0.0,0.0,0.0
4910391,9577,221,20,80,0.6884735202492211,0.06230529595015576,0.24922118380062305
4910392,9578,470,59,103,0.7436708860759493,0.09335443037974683,0.1629746835443038
4910393,9579,754,118,121,0.7593152064451159,0.11883182275931521,0.12185297079556898
4910394,9580,738,184,106,0.7178988326848249,0.17898832684824903,0.10311284046692606
4910395,9581,174,30,31,0.7404255319148936,0.1276595744680851,0.13191489361702127
4910396,9582,396,88,72,0.7122302158273381,0.15827338129496402,0.12949640287769784
4910397,9583,554,92,72,0.7715877437325905,0.12813370473537605,0.10027855153203342
4910401,9586,253,24,70,0.729106628242075,0.069164265129683,0.2017291066282421
4910402,9587,246,31,63,0.7235294117647059,0.09117647058823529,0.18529411764705883
4910403,9588,122,23,46,0.6387434554973822,0.12041884816753927,0.24083769633507854
4910409,9589,53,5,25,0.6385542168674698,0.060240963855421686,0.30120481927710846
4910410,9590,200,21,83,0.6578947368421053,0.06907894736842106,0.2730263157894737
4910411,9591,361,38,119,0.696911196911197,0.07335907335907337,0.22972972972972974
4910412,9592,232,7,56,0.7864406779661017,0.023728813559322035,0.18983050847457628
4910415,9594,277,22,59,0.7737430167597765,0.061452513966480445,0.164804469273743
4910419,9596,70,7,17,0.7446808510638298,0.07446808510638298,0.18085106382978725
4910420,9597,164,30,68,0.6259541984732825,0.11450381679389313,0.2595419847328244
4910422,9599,259,34,71,0.7115384615384616,0.09340659340659341,0.19505494505494506
4910424,9600,521,50,146,0.7266387726638772,0.0697350069735007,0.20362622036262204
4910425,9601,56,5,13,0.7567567567567568,0.06756756756756757,0.17567567567567569
4910427,9603,265,42,80,0.6847545219638242,0.10852713178294573,0.20671834625322996
4910428,9604,275,28,84,0.710594315245478,0.07235142118863049,0.21705426356589147
4910429,9605,201,22,34,0.7821011673151751,0.08560311284046693,0.13229571984435798
4910432,9606,10,3,4,0.5882352941176471,0.17647058823529413,0.23529411764705882
4910433,9607,395,50,124,0.6942003514938488,0.08787346221441125,0.2179261862917399
4910434,9608,192,18,56,0.7218045112781954,0.06766917293233082,0.21052631578947367
4910436,9609,175,19,19,0.8215962441314554,0.0892018779342723,0.0892018779342723
4910437,9610,467,52,78,0.7822445561139029,0.08710217755443886,0.1306532663316583
4910456,9611,164,7,41,0.7735849056603774,0.0330188679245283,0.19339622641509435
4910468,9612,44,6,13,0.6984126984126984,0.09523809523809523,0.20634920634920634
4910470,9613,246,24,82,0.6988636363636364,0.06818181818181818,0.23295454545454544
4910471,9614,46,5,8,0.7796610169491526,0.0847457627118644,0.13559322033898305
4910472,9615,69,3,27,0.696969696969697,0.030303030303030304,0.2727272727272727
4910473,9616,83,7,32,0.680327868852459,0.05737704918032787,0.26229508196721313
4910482,9617,424,56,78,0.7598566308243727,0.1003584229390681,0.13978494623655913
4910484,9618,295,31,61,0.7622739018087855,0.08010335917312661,0.15762273901808785
4910485,9619,159,17,35,0.7535545023696683,0.08056872037914692,0.16587677725118483
4910486,9620,186,23,45,0.7322834645669292,0.09055118110236221,0.17716535433070865
4910487,9621,19,5,4,0.6785714285714286,0.17857142857142858,0.14285714285714285
4910488,9622,240,18,63,0.7476635514018691,0.056074766355140186,0.19626168224299065
4910491,9625,257,16,80,0.7280453257790368,0.0453257790368272,0.22662889518413598
