CNTYVTD,VTDKEY,GuillenR_22P_State Rep 31,BerlangaR_22P_State Rep 31,MonrealR_22P_State Rep 31,GuillenR_22P_State Rep 31_Percentage,BerlangaR_22P_State Rep 31_Percentage,MonrealR_22P_State Rep 31_Percentage
3110004,6752,71,7,10,0.8068181818181818,0.07954545454545454,0.11363636363636363
4270001,7851,194,7,33,0.8290598290598291,0.029914529914529916,0.14102564102564102
4270002,7852,132,3,17,0.868421052631579,0.019736842105263157,0.1118421052631579
4270003,7853,21,1,6,0.75,0.03571428571428571,0.21428571428571427
4270004,7854,39,1,5,0.8666666666666667,0.022222222222222223,0.1111111111111111
4270005,7855,10,0,0,1.0,0.0,0.0
4270006,7856,42,2,7,0.8235294117647058,0.0392156862745098,0.13725490196078433
4270007,7857,32,0,5,0.8648648648648649,0.0,0.13513513513513514
4270008,7858,160,4,7,0.935672514619883,0.023391812865497075,0.04093567251461988
4270009,7859,99,0,8,0.9252336448598131,0.0,0.07476635514018691
4270010,7860,166,1,15,0.9120879120879121,0.005494505494505495,0.08241758241758242
4270011,7861,37,4,6,0.7872340425531915,0.0851063829787234,0.1276595744680851
4270012,7862,145,3,24,0.8430232558139535,0.01744186046511628,0.13953488372093023
4270013,7863,72,4,7,0.8674698795180723,0.04819277108433735,0.08433734939759036
4270014,7864,78,1,4,0.9397590361445783,0.012048192771084338,0.04819277108433735
4930101,9626,312,80,242,0.4921135646687697,0.12618296529968454,0.38170347003154576
4930102,9627,106,34,80,0.4818181818181818,0.15454545454545454,0.36363636363636365
4930103,9628,149,38,109,0.5033783783783784,0.12837837837837837,0.36824324324324326
4930104,9629,131,33,99,0.49809885931558934,0.12547528517110265,0.376425855513308
4930205,9630,390,61,426,0.44469783352337516,0.06955530216647662,0.48574686431014824
4930206,9631,216,86,235,0.4022346368715084,0.1601489757914339,0.4376163873370577
4930207,9632,303,147,294,0.40725806451612906,0.1975806451612903,0.3951612903225806
4930311,9633,268,60,154,0.5560165975103735,0.12448132780082988,0.31950207468879666
4930312,9634,236,73,233,0.4354243542435424,0.13468634686346864,0.42988929889298894
4930313,9635,304,98,197,0.5075125208681135,0.1636060100166945,0.328881469115192
4930414,9636,359,88,276,0.49654218533886585,0.12171507607192254,0.3817427385892116
4930415,9637,299,71,326,0.4295977011494253,0.10201149425287356,0.46839080459770116
4930416,9638,203,59,129,0.5191815856777494,0.15089514066496162,0.329923273657289
5050001,9700,14,1,4,0.7368421052631579,0.05263157894736842,0.21052631578947367
5050002,9701,5,0,3,0.625,0.0,0.375
5050003,9702,24,4,23,0.47058823529411764,0.0784313725490196,0.45098039215686275
5050004,9703,4,0,4,0.5,0.0,0.5
505001,9704,1,0,0,1.0,0.0,0.0
505001,9705,0,0,1,0.0,0.0,1.0
505002,9706,1,0,1,0.5,0.0,0.5
